['UO', 32, 'BO', 44, 'strings', 'cmp', 'O2', 'O2', 0.8646805455850682, 1.2397587299346924]
['CO', 411, 'BO', 71, 'sort', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.7954687013391467, 14.686599254608154]
['UO', 12, 'CO', 357, 'gprof', 'split', 'O1', 'O0', 0.8084036214501277, 1.7248363494873047]
['BO', 46, 'CO', 283, 'ruby', 'mv', 'O3', 'O2', 0.9318936135379303, 19.832975387573242]
['CO', 174, 'UO', 65, 'b2sum', 'sdiff', 'O1', 'O3', 0.12021276595744679, 0.06388068199157715]
['BO', 18, 'CO', 115, 'libvlc.so.12.0.0', 'groups', 'O1', 'O1', 0.7527568195008706, 0.563237190246582]
['BO', 70, 'CO', 8, 'diff', 'dir', 'O3', 'O3', 0.07583693919380552, 0.2397606372833252]
['CO', 320, 'UO', 28, 'dir', 'readelf', 'O0', 'O2', 0.3445850914205344, 0.7810869216918945]
['CO', 132, 'BO', 27, 'factor', 'perl', 'O1', 'O3', 0.9414140827061114, 4.026792049407959]
['UO', 70, 'BO', 80, 'ranlib', 'ssh', 'O0', 'O3', 0.133248296674237, 8.86220121383667]
['CO', 378, 'BO', 77, 'runcon', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.9323992357383314, 8.091638803482056]
['CO', 357, 'BO', 24, 'split', 'cluster', 'O0', 'O3', 0.3741044012282497, 0.21973037719726562]
['CO', 299, 'UO', 4, 'comm', 'strip', 'O2', 'O1', 0.9108196721311476, 1.971029281616211]
['UO', 0, 'CO', 108, 'locate', 'test', 'O1', 'O1', 0.505060398302318, 0.16346096992492676]
['CO', 126, 'BO', 66, 'pwd', 'svn', 'O1', 'O2', 0.7865941449368101, 0.7846529483795166]
['CO', 332, 'UO', 19, 'mkfifo', 'cmp', 'O0', 'O1', 0.36482496836777734, 0.11460494995117188]
['UO', 37, 'CO', 390, 'ar', 'chcon', 'O2', 'O0', 0.7470685448965138, 1.6840262413024902]
['BO', 48, 'CO', 191, 'libvlccore.so.9.0.0', 'id', 'O0', 'O1', 0.9566803864903524, 14.817498445510864]
['CO', 255, 'UO', 58, 'numfmt', 'objdump', 'O2', 'O3', 0.9126627491646503, 2.3583033084869385]
['UO', 64, 'CO', 151, 'diff', 'numfmt', 'O3', 'O1', 0.45413582233665917, 0.13027667999267578]
['UO', 84, 'CO', 69, 'sdiff', 'who', 'O0', 'O3', 0.2145311732940599, 0.07401752471923828]
['CO', 252, 'UO', 52, 'seq', 'ld', 'O2', 'O3', 0.9223884183336337, 2.392784833908081]
['UO', 6, 'BO', 5, 'as', 'libgeany.so.0.0.0', 'O1', 'O1', 0.5588361039157005, 177.81989741325378]
['BO', 33, 'CO', 2, 'sort', 'stat', 'O2', 'O3', 0.22264150943396221, 0.15867257118225098]
['CO', 345, 'UO', 36, 'chown', 'addr2line', 'O0', 'O2', 0.7575553497769173, 1.9119818210601807]
['CO', 184, 'BO', 12, 'uname', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9059948954741169, 41.82542037963867]
