['CO', 14, 'BO', 53, 'stty', 'bash', 'O3', 'O0', 0.9370891355057609, 5.89969801902771]
['BO', 61, 'UO', 29, 'git', 'as', 'O1', 'O2', 0.5012289038177945, 18.033243894577026]
['UO', 65, 'CO', 60, 'sdiff', 'base64', 'O3', 'O3', 0.22843822843822847, 0.04711413383483887]
['BO', 56, 'CO', 12, 'libvlc.so.12.0.0', 'ptx', 'O3', 'O3', 0.6083290311478231, 0.5833606719970703]
['CO', 205, 'UO', 48, 'rmdir', 'ranlib', 'O1', 'O3', 0.8855453122282136, 1.3301026821136475]
['BO', 50, 'CO', 391, 'perl', 'link', 'O2', 'O0', 0.9627209491402933, 3.338129997253418]
['BO', 17, 'CO', 69, 'codeblocks', 'who', 'O2', 'O3', 0.9561201521306046, 14.687134265899658]
['CO', 46, 'BO', 71, 'whoami', 'libSDL2-2.0.so.0.16.0', 'O3', 'O0', 0.9504887647581567, 9.898842573165894]
['BO', 30, 'CO', 164, 'libvlccore.so.9.0.0', 'base64', 'O2', 'O1', 0.9451934583167132, 6.3008012771606445]
['CO', 395, 'UO', 14, 'csplit', 'ar', 'O0', 'O1', 0.80819133969048, 2.0832533836364746]
['CO', 185, 'BO', 70, 'cat', 'diff', 'O1', 'O3', 0.5665742024965326, 0.1301896572113037]
['CO', 225, 'BO', 37, 'stdbuf', 'gvmap', 'O2', 'O2', 0.6297567954220314, 0.1746082305908203]
['CO', 210, 'UO', 87, 'stat', 'find', 'O2', 'O0', 0.6963441929868192, 1.1310632228851318]
['CO', 18, 'BO', 54, 'uptime', 'lua', 'O3', 'O3', 0.7761666227260744, 0.5104966163635254]
['CO', 6, 'UO', 55, 'mkdir', 'ar', 'O3', 'O3', 0.848107739515854, 1.3587048053741455]
['CO', 237, 'UO', 45, 'nproc', 'strip', 'O2', 'O3', 0.9191996921893035, 1.4864628314971924]
['CO', 183, 'UO', 13, 'link', 'addr2line', 'O1', 'O1', 0.9041215508208174, 1.5585899353027344]
['UO', 20, 'CO', 379, 'diff', 'nohup', 'O1', 'O0', 0.5183946488294314, 0.15698456764221191]
['UO', 71, 'BO', 30, 'c++filt', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.21646838130029122, 22.612138748168945]
['CO', 303, 'UO', 26, 'sha224sum', 'nm', 'O2', 'O2', 0.8867021276595745, 1.4064290523529053]
['BO', 74, 'CO', 171, 'dot', 'nohup', 'O1', 'O1', 0.5011547344110855, 0.021992921829223633]
['BO', 72, 'CO', 322, 'make', 'users', 'O2', 'O0', 0.7428466617754952, 0.3118579387664795]
['BO', 70, 'CO', 295, 'diff', 'id', 'O3', 'O2', 0.551510989010989, 0.11529207229614258]
['CO', 260, 'UO', 8, 'sha256sum', 'c++filt', 'O2', 'O1', 0.8877667515587951, 1.5240833759307861]
