['BV', 10, 'UV', 57, 'gvmap', 'strings', 'V2', 'V1', 0.5707870131782375, 2.1430883407592773]
['UV', 59, 'CV', 332, 'ld', '[', 'V1', 'V1', 0.93817980704234, 1.8355262279510498]
['BV', 61, 'CV', 221, 'cmp', 'od', 'V0', 'V0', 0.27533265097236437, 0.020415782928466797]
['UV', 61, 'CV', 95, 'addr2line', 'du', 'V1', 'V3', 0.7057980248486779, 1.3846714496612549]
['BV', 59, 'CV', 262, 'make', 'stat', 'V1', 'V1', 0.7925986173241155, 0.22208881378173828]
['UV', 79, 'CV', 127, 'strings', 'ls', 'V0', 'V3', 0.6548968441653755, 1.3511157035827637]
['CV', 124, 'UV', 71, 'seq', 'xargs', 'V3', 'V0', 0.1190650109569028, 0.03261518478393555]
['UV', 84, 'CV', 29, 'ar', 'tail', 'V0', 'V2', 0.8301647655259823, 1.169065237045288]
['UV', 54, 'CV', 41, 'as', 'nice', 'V1', 'V2', 0.9401525295453222, 1.901240348815918]
['CV', 211, 'BV', 39, 'seq', 'svn', 'V0', 'V1', 0.8451443569553806, 0.4611799716949463]
['UV', 47, 'CV', 274, 'sdiff', 'join', 'V1', 'V1', 0.24387254901960786, 0.04077005386352539]
['CV', 276, 'BV', 54, 'uptime', 'lua', 'V1', 'V3', 0.8679322033898305, 0.4806692600250244]
['BV', 24, 'CV', 129, 'git', 'dircolors', 'V0', 'V3', 0.9602584552164157, 4.336775302886963]
['BV', 69, 'CV', 186, 'gvmap', 'stty', 'V0', 'V0', 0.6497283477149249, 0.11727380752563477]
['CV', 178, 'BV', 57, 'basename', 'svn', 'V0', 'V2', 0.8661865049279758, 0.4420793056488037]
['BV', 44, 'CV', 50, 'make', 'cksum', 'V0', 'V2', 0.7879390324718356, 0.17760682106018066]
['CV', 55, 'BV', 6, 'nohup', 'libvlc.so', 'V2', 'V0', 0.7371673003802282, 0.302570104598999]
['BV', 48, 'UV', 14, 'gvmap', 'objcopy', 'V3', 'V2', 0.6312693694263487, 2.6691598892211914]
