['CV', 63, 'BV', 79, 'mv', 'bash', 'V2', 'V3', 0.8652173913043478, 4.6430442333221436]
['UV', 71, 'BV', 52, 'xargs', 'libSDL2-2.0.so', 'V0', 'V2', 0.936655798789008, 5.6559107303619385]
['BV', 66, 'CV', 264, 'lua', 'test', 'V1', 'V1', 0.8561284347020686, 0.35395050048828125]
['UV', 45, 'BV', 12, 'cmp', 'sort', 'V1', 'V2', 0.36081597960050993, 0.07869672775268555]
['CV', 49, 'BV', 38, 'tsort', 'ruby', 'V2', 'V2', 0.7164869029275809, 0.008548259735107422]
['UV', 72, 'CV', 171, 'find', 'rmdir', 'V0', 'V3', 0.5873583780560525, 0.147857666015625]
['CV', 225, 'UV', 79, 'printf', 'strings', 'V0', 'V0', 0.9048603929679421, 1.1132023334503174]
['BV', 48, 'CV', 261, 'gvmap', 'touch', 'V3', 'V1', 0.6499858637263217, 0.1498427391052246]
['BV', 40, 'CV', 345, 'lua', 'rmdir', 'V2', 'V1', 0.8876271936292582, 0.37868213653564453]
['CV', 82, 'BV', 47, 'sort', 'dot', 'V2', 'V3', 0.7535596933187295, 0.048581600189208984]
['UV', 0, 'CV', 49, 'locate', 'tsort', 'V2', 'V2', 0.41195134849286097, 0.055338144302368164]
['BV', 1, 'CV', 120, 'libSDL2-2.0.so', 'sync', 'V3', 'V3', 0.9429477020602218, 6.45161509513855]
['BV', 1, 'CV', 139, 'libSDL2-2.0.so', 'logname', 'V3', 'V3', 0.9476216412490922, 6.334166526794434]
['CV', 346, 'UV', 20, 'mknod', 'size', 'V1', 'V2', 0.9237372368302159, 1.1892421245574951]
['BV', 66, 'CV', 281, 'lua', 'tee', 'V1', 'V1', 0.8653428482780019, 0.3512399196624756]
['BV', 9, 'CV', 254, 'dot', 'uniq', 'V2', 'V0', 0.44052287581699345, 0.014380931854248047]
['CV', 17, 'BV', 21, 'mkfifo', 'cp', 'V2', 'V1', 0.3954349167180753, 0.0418391227722168]
['CV', 218, 'UV', 9, 'true', 'readelf', 'V0', 'V2', 0.8347490347490347, 0.11609506607055664]
['UV', 25, 'CV', 158, 'as', '[', 'V3', 'V3', 0.9098790782569016, 2.0843875408172607]
