['CV', 178, 'UV', 46, 'basename', 'diff', 'V0', 'V1', 0.7623828647925034, 0.10315299034118652]
['CV', 172, 'BV', 59, 'mknod', 'make', 'V3', 'V1', 0.7342767295597484, 0.2758457660675049]
['BV', 77, 'CV', 36, 'perl', 'chroot', 'V2', 'V2', 0.9597237085319583, 2.909999132156372]
['UV', 51, 'CV', 96, 'nm', 'users', 'V1', 'V3', 0.8834615717126307, 1.2050704956054688]
['CV', 61, 'BV', 15, 'ginstall', 'libvlccore.so', 'V2', 'V3', 0.8500795997270867, 6.599319696426392]
['UV', 1, 'CV', 77, 'xargs', 'nl', 'V2', 'V2', 0.08571428571428574, 0.08125782012939453]
['CV', 97, 'UV', 83, 'ptx', 'addr2line', 'V3', 'V0', 0.7942524682651622, 1.3945391178131104]
['CV', 285, 'UV', 36, 'factor', 'objdump', 'V1', 'V3', 0.9497942386831276, 2.3605287075042725]
['CV', 153, 'UV', 65, 'link', 'objdump', 'V3', 'V1', 0.9242636746143057, 2.075209856033325]
['BV', 37, 'UV', 57, 'geany', 'strings', 'V1', 'V1', 0.6520616450669238, 37.167810678482056]
['CV', 326, 'UV', 29, 'env', 'objcopy', 'V1', 'V3', 0.9445168212123535, 1.5679569244384766]
['CV', 216, 'UV', 80, 'dircolors', 'objcopy', 'V0', 'V0', 0.9305828421741977, 1.623788595199585]
['CV', 96, 'UV', 32, 'users', 'addr2line', 'V3', 'V3', 0.8787006208944479, 1.3420476913452148]
['BV', 53, 'CV', 86, 'ssh', 'ln', 'V2', 'V2', 0.9419076192674162, 4.900510549545288]
['CV', 330, 'BV', 7, 'csplit', 'libSDL2-2.0.so', 'V1', 'V0', 0.8165556861209035, 4.8973915576934814]
['BV', 64, 'CV', 234, 'openssl', 'hostid', 'V2', 'V0', 0.9598065184843948, 5.767714500427246]
['BV', 10, 'CV', 148, 'gvmap', 'ginstall', 'V2', 'V3', 0.15321188878235859, 0.321491003036499]
['CV', 330, 'UV', 58, 'csplit', 'objcopy', 'V1', 'V1', 0.8135014447071185, 2.068436622619629]
['CV', 225, 'UV', 0, 'printf', 'locate', 'V0', 'V2', 0.44999999999999996, 0.06321907043457031]
