['BO', 42, 'UO', 12, 'cmp', 'gprof', 'O1', 'O1', 0.8771084337349397, 1.7089910507202148]
['BO', 2, 'CO', 16, 'perl', 'dirname', 'O1', 'O3', 0.9696240044452676, 3.158534049987793]
['BO', 62, 'CO', 110, 'bash', 'mkdir', 'O1', 'O1', 0.9298522331064254, 3.6557955741882324]
['CO', 233, 'BO', 80, 'chgrp', 'ssh', 'O2', 'O3', 0.8632436435448038, 2.3302762508392334]
['UO', 85, 'CO', 340, 'locate', 'factor', 'O0', 'O0', 0.3616830796777082, 0.3504331111907959]
['UO', 65, 'CO', 394, 'sdiff', 'shuf', 'O3', 'O0', 0.2139175257731959, 0.11101746559143066]
['CO', 365, 'UO', 79, 'chmod', 'size', 'O0', 'O0', 0.8490096208262592, 3.9143261909484863]
['BO', 51, 'CO', 276, 'lua', 'yes', 'O1', 'O2', 0.8801855191960835, 0.5185298919677734]
['UO', 36, 'CO', 195, 'addr2line', 'comm', 'O2', 'O1', 0.872298448569635, 1.2368669509887695]
['BO', 19, 'CO', 267, 'libvlccore.so.9.0.0', 'tsort', 'O1', 'O2', 0.952415458937198, 6.357754945755005]
['CO', 242, 'BO', 56, 'tail', 'libvlc.so.12.0.0', 'O2', 'O3', 0.6373779637377964, 0.7159898281097412]
['UO', 2, 'CO', 267, 'find', 'tsort', 'O1', 'O2', 0.7994230442898353, 0.48243093490600586]
['UO', 27, 'BO', 58, 'strip', 'svn', 'O2', 'O1', 0.39518825012330794, 3.600360155105591]
['CO', 317, 'UO', 78, 'basename', 'elfedit', 'O0', 'O0', 0.14693877551020407, 0.04938817024230957]
['UO', 52, 'CO', 133, 'ld', 'nproc', 'O3', 'O1', 0.9252797497292744, 2.1145179271698]
['CO', 389, 'BO', 35, 'env', 'make', 'O0', 'O3', 0.7238751814223512, 0.35304975509643555]
['CO', 5, 'UO', 76, 'basename', 'addr2line', 'O3', 'O0', 0.9285375118708452, 3.0687155723571777]
['BO', 55, 'CO', 239, 'make', 'date', 'O1', 'O2', 0.6325506363147517, 0.32767677307128906]
['UO', 23, 'CO', 46, 'cmp', 'whoami', 'O2', 'O3', 0.18595967139656455, 0.03283190727233887]
