['UV', 54, 'CV', 82, 'as', 'sort', 'V1', 'V2', 0.8256679807271134, 2.3081717491149902]
['CV', 319, 'UV', 0, 'readlink', 'locate', 'V1', 'V2', 0.5141884222474461, 0.05318498611450195]
['CV', 0, 'BV', 5, 'touch', 'libvlccore.so', 'V2', 'V0', 0.9214324470971242, 4.015697240829468]
['CV', 88, 'UV', 3, 'stat', 'diff3', 'V3', 'V2', 0.15156871409633232, 0.07432246208190918]
['BV', 31, 'CV', 245, 'codeblocks', '[', 'V0', 'V0', 0.973097149183504, 11.879832029342651]
['CV', 86, 'BV', 48, 'ln', 'gvmap', 'V2', 'V3', 0.5392311743022643, 0.17878127098083496]
['BV', 27, 'CV', 200, 'libSDL2-2.0.so', 'date', 'V1', 'V0', 0.929039001045162, 4.699801921844482]
['UV', 33, 'CV', 15, 'ar', 'uptime', 'V3', 'V2', 0.8900051081219138, 1.2677016258239746]
['BV', 15, 'CV', 91, 'libvlccore.so', 'basename', 'V3', 'V3', 0.9426687688118103, 4.229283571243286]
['UV', 63, 'CV', 173, 'elfedit', 'ln', 'V1', 'V3', 0.3663649356836589, 0.06681108474731445]
['CV', 257, 'UV', 43, 'tac', 'sdiff', 'V0', 'V3', 0.125673249551167, 0.06098747253417969]
['BV', 15, 'CV', 55, 'libvlccore.so', 'nohup', 'V3', 'V2', 0.9458243598947117, 4.157489061355591]
['BV', 34, 'CV', 208, 'svn', 'echo', 'V0', 'V0', 0.8600405679513184, 0.3588094711303711]
['CV', 131, 'BV', 70, 'true', 'ssh', 'V3', 'V0', 0.9621520823261275, 4.5989158153533936]
['UV', 40, 'CV', 195, 'diff3', 'chgrp', 'V3', 'V0', 0.18064153066966804, 0.0467374324798584]
['UV', 24, 'CV', 245, 'readelf', '[', 'V3', 'V0', 0.843654495737494, 0.27568602561950684]
['UV', 48, 'CV', 199, 'locate', 'expand', 'V1', 'V0', 0.6390977443609023, 0.06630587577819824]
['BV', 56, 'CV', 199, 'ssh', 'expand', 'V3', 'V0', 0.9459924548282481, 1.5556280612945557]
['CV', 168, 'BV', 73, 'sleep', 'geany', 'V3', 'V0', 0.9725190839694656, 21.275097608566284]
['BV', 40, 'CV', 186, 'lua', 'stty', 'V2', 'V0', 0.8401380103507763, 0.4077768325805664]
['CV', 109, 'BV', 83, 'kill', 'git', 'V3', 'V2', 0.9739412400510956, 9.231364965438843]
