['BO', 65, 'CO', 241, 'gvmap', 'chown', 'O0', 'O2', 0.5678942398489141, 0.30594682693481445]
['UO', 69, 'CO', 55, 'as', 'cp', 'O0', 'O3', 0.8464552098244557, 5.75641942024231]
['UO', 84, 'BO', 38, 'sdiff', 'acyclic', 'O0', 'O2', 0.6512110726643598, 0.04633593559265137]
['BO', 53, 'CO', 58, 'bash', 'df', 'O0', 'O3', 0.8988359201773836, 5.541044235229492]
['BO', 37, 'CO', 133, 'gvmap', 'nproc', 'O2', 'O1', 0.6441753171856978, 0.16102814674377441]
['BO', 44, 'UO', 11, 'cmp', 'ld', 'O2', 'O1', 0.9127011693875188, 3.1178829669952393]
['CO', 303, 'UO', 17, 'sha224sum', 'objdump', 'O2', 'O1', 0.9284153923710301, 2.9791624546051025]
['UO', 64, 'BO', 2, 'diff', 'perl', 'O3', 'O1', 0.885556512487968, 5.69692063331604]
['BO', 15, 'CO', 318, 'diff', 'mkdir', 'O0', 'O0', 0.20249221183800625, 0.35315632820129395]
['CO', 128, 'BO', 13, 'tee', 'ruby', 'O1', 'O1', 0.9789017957864569, 19.581981420516968]
['BO', 20, 'CO', 119, 'sort', 'join', 'O1', 'O1', 0.4084604715672677, 0.14582180976867676]
['CO', 293, 'BO', 50, '[', 'perl', 'O2', 'O2', 0.9587690828224547, 3.7259557247161865]
['UO', 1, 'CO', 132, 'xargs', 'factor', 'O1', 'O1', 0.16890756302521015, 0.11010575294494629]
['CO', 97, 'UO', 38, 'uniq', 'elfedit', 'O3', 'O2', 0.1620795107033639, 0.04178452491760254]
['BO', 38, 'CO', 43, 'acyclic', 'chroot', 'O2', 'O3', 0.510164569215876, 0.02261495590209961]
['CO', 103, 'UO', 39, 'ln', 'size', 'O3', 'O2', 0.7601882194773548, 1.7075698375701904]
['BO', 43, 'CO', 146, 'diff', 'sum', 'O1', 'O1', 0.5128290569810063, 0.1464087963104248]
['BO', 19, 'CO', 282, 'libvlccore.so.9.0.0', 'unexpand', 'O1', 'O2', 0.9525726709074804, 6.235832214355469]
['CO', 378, 'UO', 4, 'runcon', 'strip', 'O0', 'O1', 0.8927540415704388, 2.0569498538970947]
['UO', 25, 'CO', 304, 'sdiff', 'fold', 'O2', 'O2', 0.292955892034233, 0.04643058776855469]
['CO', 135, 'UO', 62, 'date', 'diff3', 'O1', 'O3', 0.13741875580315688, 0.07460284233093262]
['UO', 43, 'CO', 32, 'find', 'expr', 'O2', 'O3', 0.7102473498233216, 0.4698951244354248]
['CO', 42, 'BO', 72, 'sum', 'make', 'O3', 'O2', 0.7184676544994579, 0.33212757110595703]
['UO', 24, 'CO', 208, 'diff', 'sha384sum', 'O2', 'O2', 0.5482502651113468, 0.12456798553466797]
['CO', 251, 'BO', 75, 'chroot', 'gvmap', 'O2', 'O1', 0.631578947368421, 0.17843341827392578]
['CO', 42, 'BO', 24, 'sum', 'cluster', 'O3', 'O3', 0.5499565595134666, 0.16077280044555664]
['UO', 21, 'CO', 378, 'sdiff', 'runcon', 'O1', 'O0', 0.15693012600229095, 0.06773543357849121]
['UO', 73, 'CO', 132, 'objcopy', 'factor', 'O0', 'O1', 0.9009336609336609, 3.7324488162994385]
['CO', 223, 'BO', 75, 'join', 'gvmap', 'O2', 'O1', 0.5889888252929953, 0.18447518348693848]
['CO', 311, 'UO', 36, 'ln', 'addr2line', 'O2', 'O2', 0.7826161202185792, 1.7153337001800537]
['BO', 78, 'CO', 184, 'ssh', 'uname', 'O0', 'O1', 0.9429530201342282, 2.738996744155884]
['UO', 62, 'CO', 298, 'diff3', 'tr', 'O3', 'O2', 0.2182562902282036, 0.04758763313293457]
['CO', 289, 'UO', 20, 'cat', 'diff', 'O2', 'O1', 0.6198288159771754, 0.1438274383544922]
['UO', 39, 'CO', 384, 'size', 'head', 'O2', 'O0', 0.8322106552357624, 1.3673417568206787]
['CO', 70, 'BO', 80, 'b2sum', 'ssh', 'O3', 'O3', 0.8865354576694783, 2.113382577896118]
['UO', 80, 'BO', 83, 'objdump', 'lua', 'O0', 'O2', 0.5612948314749515, 8.17661452293396]
['BO', 21, 'UO', 10, 'cp', 'objcopy', 'O1', 'O1', 0.7341613265508357, 2.845303773880005]
['CO', 64, 'BO', 10, 'tty', 'openssl', 'O3', 'O3', 0.9502196193265008, 11.673682928085327]
['CO', 92, 'UO', 39, 'sha512sum', 'size', 'O3', 'O2', 0.8638426626323752, 1.4284448623657227]
['BO', 71, 'CO', 345, 'libSDL2-2.0.so.0.16.0', 'chown', 'O0', 'O0', 0.8824634485011843, 10.095604419708252]
['UO', 9, 'CO', 257, 'strings', 'nice', 'O1', 'O2', 0.9139253902460535, 1.357335090637207]
['UO', 32, 'CO', 114, 'strings', 'users', 'O2', 'O1', 0.8861759099573386, 1.244058609008789]
