['UO', 5, 'CO', 162, 'readelf', 'df', 'O1', 'O1', 0.6131731677689297, 0.519568920135498]
['CO', 91, 'UO', 38, 'comm', 'elfedit', 'O3', 'O2', 0.15957446808510634, 0.0386662483215332]
['BO', 9, 'CO', 358, 'git', 'whoami', 'O0', 'O0', 0.975343002744022, 8.724086046218872]
['CO', 131, 'BO', 2, 'wc', 'perl', 'O1', 'O1', 0.9565777368905244, 4.1450536251068115]
['CO', 188, 'BO', 29, 'vdir', 'libvlc.so.12.0.0', 'O1', 'O2', 0.41041347626339975, 0.9053215980529785]
['CO', 346, 'UO', 44, 'tail', 'nm', 'O0', 'O3', 0.7328212407113635, 1.7074737548828125]
['UO', 50, 'BO', 24, 'strings', 'cluster', 'O3', 'O3', 0.583326828506752, 1.4920659065246582]
['UO', 23, 'CO', 326, 'cmp', 'stty', 'O2', 'O0', 0.17273252455228194, 0.06400394439697266]
['BO', 6, 'UO', 0, 'codeblocks', 'locate', 'O0', 'O1', 0.9164804267897051, 41.645758390426636]
['CO', 67, 'BO', 55, 'nohup', 'make', 'O3', 'O1', 0.7390309042350248, 0.31201815605163574]
['UO', 79, 'CO', 99, 'size', 'sort', 'O0', 'O3', 0.7720257757080197, 3.4207191467285156]
['CO', 237, 'UO', 32, 'nproc', 'strings', 'O2', 'O2', 0.9038021071919377, 1.3303780555725098]
['CO', 112, 'BO', 2, 'dir', 'perl', 'O1', 'O1', 0.8942894951140065, 6.0401389598846436]
['CO', 224, 'BO', 15, 'dirname', 'diff', 'O2', 'O0', 0.7079223671651289, 0.2926292419433594]
['UO', 42, 'CO', 363, 'xargs', 'realpath', 'O2', 'O0', 0.16268788682581792, 0.12199759483337402]
['CO', 180, 'UO', 3, 'md5sum', 'nm', 'O1', 'O1', 0.8792037272342228, 1.636267900466919]
['BO', 48, 'CO', 247, 'libvlccore.so.9.0.0', 'paste', 'O0', 'O2', 0.968749082151144, 14.653714179992676]
['BO', 2, 'CO', 264, 'perl', 'cut', 'O1', 'O2', 0.966605902089773, 3.344731092453003]
['CO', 389, 'BO', 22, 'env', 'perl', 'O0', 'O0', 0.9528076648786085, 6.132299900054932]
['UO', 67, 'BO', 43, 'strip', 'diff', 'O0', 'O1', 0.7899315195261891, 4.355201244354248]
['UO', 71, 'BO', 34, 'c++filt', 'cp', 'O0', 'O2', 0.7875636202699713, 3.3958051204681396]
['CO', 8, 'BO', 67, 'dir', 'libSDL2-2.0.so.0.16.0', 'O3', 'O1', 0.8096612692255649, 10.551132917404175]
['CO', 297, 'UO', 87, 'pathchk', 'find', 'O2', 'O0', 0.8659554096566817, 0.8725900650024414]
['CO', 251, 'UO', 77, 'chroot', 'ar', 'O2', 'O0', 0.9255367231638418, 3.5287582874298096]
['UO', 9, 'BO', 58, 'strings', 'svn', 'O1', 'O1', 0.3356894765705929, 3.416205883026123]
['UO', 67, 'CO', 130, 'strip', 'kill', 'O0', 'O1', 0.9362330446969318, 3.631168842315674]
['CO', 54, 'UO', 41, 'true', 'locate', 'O3', 'O2', 0.6140855192238591, 0.1405496597290039]
['BO', 50, 'CO', 105, 'perl', 'touch', 'O2', 'O1', 0.9351582447598124, 3.57956600189209]
['UO', 74, 'CO', 61, 'ld', 'cksum', 'O0', 'O3', 0.9472258118304223, 5.266052722930908]
['CO', 360, 'BO', 22, 'ls', 'perl', 'O0', 'O0', 0.8366335189991543, 10.17885160446167]
['CO', 237, 'UO', 26, 'nproc', 'nm', 'O2', 'O2', 0.9059645351961311, 1.3858442306518555]
['UO', 72, 'BO', 55, 'strings', 'make', 'O0', 'O1', 0.5681446571126286, 4.128281593322754]
['UO', 58, 'CO', 265, 'objdump', 'od', 'O3', 'O2', 0.8953017069132843, 2.130093574523926]
['BO', 51, 'CO', 286, 'lua', 'chcon', 'O1', 'O2', 0.7375878080723896, 0.6338062286376953]
['BO', 69, 'CO', 187, 'cmp', 'csplit', 'O3', 'O1', 0.15362318840579714, 0.05671572685241699]
['CO', 307, 'BO', 7, 'sort', 'sort', 'O2', 'O0', 0.17970123022847106, 0.3580048084259033]
['UO', 30, 'CO', 242, 'ranlib', 'tail', 'O2', 'O2', 0.8226706036745407, 1.4278576374053955]
['BO', 12, 'CO', 128, 'libgeany.so.0.0.0', 'tee', 'O0', 'O1', 0.9011426794667495, 37.78992009162903]
['CO', 89, 'BO', 12, 'pathchk', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9018449036723108, 40.76377487182617]
['BO', 58, 'CO', 342, 'svn', 'expand', 'O1', 'O0', 0.7564750473783954, 0.6885747909545898]
['UO', 4, 'CO', 314, 'strip', 'stat', 'O1', 'O0', 0.7832324743319508, 2.18652081489563]
['UO', 47, 'CO', 154, 'as', 'dircolors', 'O3', 'O1', 0.9172905942910622, 1.9985496997833252]
['BO', 54, 'CO', 14, 'lua', 'stty', 'O3', 'O3', 0.7668502491476528, 0.4352593421936035]
['BO', 33, 'CO', 158, 'sort', 'true', 'O2', 'O1', 0.5723684210526315, 0.11122274398803711]
['CO', 39, 'BO', 64, 'paste', 'dot', 'O3', 'O0', 0.5067264573991032, 0.016674518585205078]
['CO', 398, 'UO', 69, 'timeout', 'as', 'O0', 'O0', 0.9262785208497246, 6.314254522323608]
['BO', 45, 'CO', 273, 'diff', 'false', 'O2', 'O2', 0.6743119266055045, 0.10896611213684082]
['CO', 407, 'UO', 31, 'sha224sum', 'c++filt', 'O0', 'O2', 0.8387643960360682, 1.5369207859039307]
['UO', 42, 'CO', 267, 'xargs', 'tsort', 'O2', 'O2', 0.3785071466384331, 0.08336758613586426]
['CO', 264, 'BO', 5, 'cut', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9748812597622007, 42.55667686462402]
['CO', 231, 'UO', 78, 'pr', 'elfedit', 'O2', 'O0', 0.16702819956616055, 0.06199002265930176]
['CO', 94, 'BO', 36, 'rm', 'cluster', 'O3', 'O2', 0.3657548125633232, 0.19586944580078125]
['CO', 150, 'BO', 43, 'whoami', 'diff', 'O1', 'O1', 0.6048073524213503, 0.14711618423461914]
['UO', 20, 'BO', 58, 'diff', 'svn', 'O1', 'O1', 0.43192848020434227, 1.081984043121338]
['CO', 238, 'UO', 75, 'expand', 'gprof', 'O2', 'O0', 0.9347764652687504, 3.350721597671509]
['CO', 308, 'BO', 19, 'tac', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.9479455356066996, 7.2839484214782715]
['BO', 33, 'CO', 63, 'sort', 'logname', 'O2', 'O3', 0.5448331322878971, 0.10287904739379883]
['BO', 11, 'CO', 188, 'ssh', 'vdir', 'O1', 'O1', 0.7593697503330823, 2.5417416095733643]
