['BV', 42, 'CV', 332, 'libvlc.so', '[', 'V1', 'V1', 0.7805888767720829, 0.3067305088043213]
['UV', 6, 'BV', 38, 'sdiff', 'ruby', 'V2', 'V2', 0.833634719710669, 0.022586345672607422]
['UV', 28, 'CV', 339, 'strings', 'rm', 'V3', 'V1', 0.8586762075134168, 1.2511014938354492]
['UV', 65, 'CV', 295, 'objdump', 'echo', 'V1', 'V1', 0.9536569579288026, 1.8640739917755127]
['UV', 41, 'BV', 27, 'cmp', 'libSDL2-2.0.so', 'V3', 'V1', 0.9175415573053368, 5.542460918426514]
['BV', 39, 'UV', 18, 'svn', 'ar', 'V1', 'V2', 0.3950930103207466, 3.5623624324798584]
['CV', 90, 'BV', 52, 'test', 'libSDL2-2.0.so', 'V3', 'V2', 0.9236146807854426, 6.019850492477417]
['CV', 207, 'UV', 19, 'sync', 'elfedit', 'V0', 'V2', 0.3326771653543308, 0.02241659164428711]
['CV', 297, 'BV', 61, 'chroot', 'cmp', 'V1', 'V0', 0.09289617486338797, 0.01450967788696289]
['BV', 68, 'CV', 195, 'dot', 'chgrp', 'V0', 'V0', 0.5451713395638629, 0.021724700927734375]
['BV', 17, 'CV', 200, 'codeblocks', 'date', 'V2', 'V0', 0.9658223823654091, 13.549571752548218]
['CV', 162, 'UV', 66, 'tr', 'diff3', 'V3', 'V0', 0.11854792966534311, 0.046360015869140625]
['BV', 30, 'CV', 24, 'bash', 'factor', 'V0', 'V2', 0.9461309523809524, 2.5961549282073975]
['UV', 80, 'BV', 11, 'objcopy', 'bash', 'V0', 'V1', 0.23568974125524977, 10.052591562271118]
['BV', 45, 'UV', 85, 'svn', 'elfedit', 'V3', 'V0', 0.8121195351411179, 0.810537576675415]
['UV', 28, 'CV', 111, 'strings', 'factor', 'V3', 'V3', 0.8215287517531557, 1.3075809478759766]
['UV', 74, 'BV', 47, 'strip', 'dot', 'V0', 'V3', 0.9666444296197465, 1.4733891487121582]
