['CV', 123, 'UV', 35, 'chroot', 'size', 'V3', 'V3', 0.8618543870566272, 1.3415164947509766]
['CV', 115, 'BV', 2, 'chown', 'cmp', 'V3', 'V1', 0.2511323603422244, 0.05377650260925293]
['CV', 181, 'BV', 34, 'dir', 'svn', 'V0', 'V0', 0.5615880556498134, 0.598456621170044]
['BV', 15, 'CV', 238, 'libvlccore.so', 'md5sum', 'V3', 'V0', 0.9518963034085454, 4.0481226444244385]
['CV', 52, 'BV', 0, 'logname', 'bash', 'V2', 'V2', 0.9571134389828991, 3.1121625900268555]
['CV', 25, 'BV', 54, 'expand', 'lua', 'V2', 'V3', 0.8591093117408907, 0.47741174697875977]
['CV', 323, 'BV', 52, 'unexpand', 'libSDL2-2.0.so', 'V1', 'V2', 0.9559899644574534, 5.187357187271118]
['BV', 17, 'CV', 251, 'codeblocks', 'nl', 'V2', 'V0', 0.9373857642696747, 12.575461626052856]
['UV', 53, 'CV', 27, 'readelf', 'expr', 'V1', 'V2', 0.3728, 0.1419236660003662]
['UV', 11, 'BV', 37, 'ranlib', 'geany', 'V2', 'V1', 0.6357574089960021, 95.74213480949402]
['BV', 72, 'CV', 253, 'perl', 'fold', 'V1', 'V0', 0.9725010036130068, 2.6396384239196777]
['CV', 58, 'UV', 26, 'readlink', 'ranlib', 'V2', 'V3', 0.8892009190707174, 1.391063928604126]
['CV', 288, 'UV', 84, 'expr', 'ar', 'V1', 'V0', 0.793046357615894, 1.419010877609253]
['CV', 3, 'BV', 79, 'test', 'bash', 'V2', 'V3', 0.949916384374598, 3.396118640899658]
['UV', 83, 'CV', 113, 'addr2line', 'date', 'V0', 'V3', 0.7980565371024735, 1.0820815563201904]
['CV', 281, 'BV', 27, 'tee', 'libSDL2-2.0.so', 'V1', 'V1', 0.9516918967052538, 4.711673259735107]
['CV', 178, 'BV', 24, 'basename', 'git', 'V0', 'V0', 0.9806058619465159, 4.575780630111694]
['CV', 339, 'BV', 73, 'rm', 'geany', 'V1', 'V0', 0.964667471711615, 21.886622667312622]
['UV', 76, 'BV', 29, 'as', 'perl', 'V0', 'V3', 0.2673985943313887, 10.857315063476562]
['UV', 55, 'CV', 205, 'ranlib', 'sha1sum', 'V1', 'V0', 0.9154715707777965, 1.1799931526184082]
['CV', 204, 'UV', 66, 'pinky', 'diff3', 'V0', 'V0', 0.27534336167429685, 0.03908801078796387]
['CV', 193, 'UV', 10, 'pr', 'as', 'V0', 'V2', 0.9110807113543091, 2.4709384441375732]
['BV', 79, 'CV', 265, 'bash', 'basename', 'V3', 'V1', 0.9665282823040996, 3.0558407306671143]
['UV', 0, 'CV', 217, 'locate', 'chmod', 'V2', 'V0', 0.3313403089187843, 0.06328010559082031]
['BV', 48, 'CV', 216, 'gvmap', 'dircolors', 'V3', 'V0', 0.7195050088391278, 0.13161158561706543]
['BV', 80, 'UV', 48, 'cluster', 'locate', 'V1', 'V1', 0.20304678998911863, 0.23749232292175293]
['CV', 155, 'BV', 39, 'cat', 'svn', 'V3', 'V1', 0.7570026761819804, 0.5399816036224365]
['CV', 187, 'UV', 40, 'join', 'diff3', 'V0', 'V3', 0.2674348089751364, 0.04066061973571777]
['CV', 118, 'UV', 42, 'sha1sum', 'diff', 'V3', 'V3', 0.5029940119760479, 0.11897158622741699]
['UV', 17, 'CV', 259, 'addr2line', 'mknod', 'V2', 'V0', 0.9244017403915881, 1.082549810409546]
