['BO', 79, 'CO', 63, 'bash', 'logname', 'O3', 'O3', 0.9544251806800679, 3.305382251739502]
['CO', 81, 'UO', 54, 'cat', 'addr2line', 'O3', 'O3', 0.874092454737616, 1.190723180770874]
['CO', 167, 'UO', 31, 'logname', 'c++filt', 'O1', 'O2', 0.8984238178633975, 1.3488450050354004]
['BO', 79, 'CO', 389, 'bash', 'env', 'O3', 'O0', 0.9403254263869829, 3.506108045578003]
['BO', 27, 'CO', 283, 'perl', 'mv', 'O3', 'O2', 0.8717884060407386, 4.004042387008667]
['CO', 203, 'BO', 74, 'sort', 'dot', 'O1', 'O1', 0.800531914893617, 0.09849095344543457]
['CO', 63, 'BO', 65, 'logname', 'gvmap', 'O3', 'O0', 0.7588832487309645, 0.2610816955566406]
['BO', 64, 'CO', 80, 'dot', 'uname', 'O0', 'O3', 0.46485819975339093, 0.015451908111572266]
['BO', 72, 'CO', 177, 'make', 'hostid', 'O2', 'O1', 0.7935069837674594, 0.28691959381103516]
['BO', 76, 'CO', 345, 'openssl', 'chown', 'O2', 'O0', 0.8806267097736882, 12.00293254852295]
['BO', 31, 'CO', 139, 'bash', 'base32', 'O2', 'O1', 0.9435222755030944, 3.826751470565796]
['UO', 71, 'CO', 119, 'c++filt', 'join', 'O0', 'O1', 0.8995643471093842, 2.954624652862549]
['CO', 188, 'UO', 49, 'vdir', 'c++filt', 'O1', 'O3', 0.6593850465748907, 1.9281446933746338]
['CO', 365, 'UO', 51, 'chmod', 'objcopy', 'O0', 'O3', 0.806591814559942, 2.043457269668579]
['CO', 287, 'BO', 19, 'link', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.9630843958712811, 6.914545297622681]
['CO', 157, 'BO', 82, 'chmod', 'cp', 'O1', 'O3', 0.31152746903778983, 0.14559364318847656]
['UO', 72, 'CO', 209, 'strings', 'touch', 'O0', 'O2', 0.8826802689543242, 3.088611364364624]
['BO', 72, 'CO', 154, 'make', 'dircolors', 'O2', 'O1', 0.7409307438622206, 0.3085944652557373]
['BO', 68, 'CO', 293, 'git', '[', 'O3', 'O2', 0.9731385946707911, 8.82565712928772]
['BO', 25, 'CO', 90, 'dot', 'tr', 'O3', 'O3', 0.5625615763546798, 0.020396709442138672]
['CO', 313, 'UO', 42, 'touch', 'xargs', 'O0', 'O2', 0.10626702997275206, 0.1428816318511963]
['CO', 148, 'BO', 25, 'seq', 'dot', 'O1', 'O3', 0.5387840670859538, 0.023603439331054688]
['UO', 43, 'CO', 161, 'find', 'od', 'O2', 'O1', 0.6708319631700098, 0.5213956832885742]
['UO', 46, 'CO', 18, 'readelf', 'uptime', 'O3', 'O3', 0.7468656716417911, 0.3158750534057617]
['BO', 75, 'UO', 67, 'gvmap', 'strip', 'O1', 'O0', 0.7383059986519883, 6.082024574279785]
['CO', 143, 'BO', 75, 'paste', 'gvmap', 'O1', 'O1', 0.6452340665538635, 0.17632436752319336]
['BO', 0, 'UO', 80, 'codeblocks', 'objdump', 'O1', 'O0', 0.2576200417536534, 44.386762380599976]
['UO', 6, 'CO', 363, 'as', 'realpath', 'O1', 'O0', 0.8951033732317737, 2.835639715194702]
['UO', 0, 'CO', 301, 'locate', 'nl', 'O1', 'O2', 0.5895136253880648, 0.15321826934814453]
['UO', 87, 'BO', 1, 'find', 'ssh', 'O0', 'O2', 0.3793166204103917, 5.5907769203186035]
['UO', 38, 'CO', 293, 'elfedit', '[', 'O2', 'O2', 0.13286713286713292, 0.0387120246887207]
['CO', 8, 'UO', 60, 'dir', 'xargs', 'O3', 'O3', 0.25058004640371223, 0.1876826286315918]
['CO', 405, 'UO', 1, 'nl', 'xargs', 'O0', 'O1', 0.2488646684831971, 0.11237955093383789]
