['UV', 7, 'CV', 93, 'nm', 'fmt', 'V2', 'V3', 0.8746206537761207, 1.205108642578125]
['CV', 154, 'BV', 45, 'uname', 'svn', 'V3', 'V3', 0.8368834080717489, 0.8209915161132812]
['BV', 54, 'CV', 340, 'lua', 'fold', 'V3', 'V1', 0.8845417236662106, 0.42611002922058105]
['BV', 11, 'CV', 154, 'bash', 'uname', 'V1', 'V3', 0.94506317267197, 2.7284388542175293]
['BV', 19, 'CV', 202, 'cp', 'chown', 'V3', 'V0', 0.4523055262231608, 0.10198545455932617]
['CV', 309, 'UV', 73, 'df', 'nm', 'V1', 'V0', 0.8695887445887446, 1.2343709468841553]
['UV', 31, 'CV', 310, 'gprof', 'tsort', 'V3', 'V1', 0.9254266211604095, 1.173781156539917]
['BV', 20, 'CV', 75, 'sort', 'tr', 'V1', 'V2', 0.251259093452714, 0.04651522636413574]
['CV', 132, 'BV', 63, 'cp', 'ruby', 'V3', 'V0', 0.9198399129623873, 17.657072067260742]
['CV', 301, 'BV', 7, 'ls', 'libSDL2-2.0.so', 'V1', 'V0', 0.829977041653001, 5.002346754074097]
['CV', 183, 'UV', 18, 'users', 'ar', 'V0', 'V2', 0.9252927600649629, 1.31831955909729]
['CV', 346, 'BV', 13, 'mknod', 'cp', 'V1', 'V2', 0.6050538137576041, 0.07046771049499512]
['UV', 5, 'BV', 71, 'diff', 'ruby', 'V2', 'V1', 0.9207238259370961, 0.06546330451965332]
['UV', 65, 'CV', 300, 'objdump', 'whoami', 'V1', 'V1', 0.9518882565959649, 1.733971357345581]
['BV', 76, 'CV', 48, 'diff', 'df', 'V2', 'V2', 0.3208888888888889, 0.13331365585327148]
['BV', 70, 'UV', 11, 'ssh', 'ranlib', 'V0', 'V2', 0.43254688445251066, 8.834306478500366]
['BV', 38, 'CV', 56, 'ruby', 'yes', 'V2', 'V2', 0.6654545454545454, 0.006903886795043945]
['UV', 29, 'CV', 138, 'objcopy', 'printf', 'V3', 'V3', 0.8809488510007413, 1.4701340198516846]
['BV', 74, 'CV', 178, 'git', 'basename', 'V1', 'V0', 0.9833004045535798, 5.652390718460083]
['CV', 32, 'UV', 14, 'paste', 'objcopy', 'V2', 'V2', 0.9249085616182727, 1.5378718376159668]
['UV', 54, 'CV', 194, 'as', 'tee', 'V1', 'V0', 0.9504857778298021, 1.935422658920288]
['BV', 29, 'UV', 31, 'perl', 'gprof', 'V3', 'V3', 0.41944944687419605, 7.059108018875122]
['UV', 30, 'CV', 242, 'ld', 'cat', 'V3', 'V0', 0.9506636765864598, 2.1902616024017334]
['CV', 170, 'BV', 16, 'tac', 'libvlc.so', 'V3', 'V3', 0.7144940747493164, 0.5233907699584961]
['BV', 5, 'CV', 105, 'libvlccore.so', 'pwd', 'V0', 'V3', 0.923110338835795, 3.404730796813965]
['UV', 8, 'CV', 160, 'strip', 'shred', 'V2', 'V3', 0.8354448398576513, 1.5662012100219727]
['UV', 66, 'CV', 119, 'diff3', 'paste', 'V0', 'V3', 0.20536258379037176, 0.03808188438415527]
['UV', 34, 'CV', 213, 'elfedit', 'whoami', 'V3', 'V0', 0.3502262443438914, 0.02432417869567871]
['BV', 0, 'UV', 26, 'bash', 'ranlib', 'V2', 'V3', 0.3342031008222337, 7.163115739822388]
['BV', 40, 'UV', 86, 'lua', 'size', 'V2', 'V0', 0.3018042646254784, 2.8747470378875732]
['BV', 21, 'CV', 276, 'cp', 'uptime', 'V1', 'V1', 0.39540657976412175, 0.04571127891540527]
['UV', 60, 'CV', 85, 'gprof', 'mknod', 'V1', 'V2', 0.912232945640518, 1.2265653610229492]
['UV', 45, 'BV', 30, 'cmp', 'bash', 'V1', 'V0', 0.9261623054641858, 3.0651192665100098]
['UV', 28, 'CV', 183, 'strings', 'users', 'V3', 'V0', 0.9192758843631662, 1.0814502239227295]
['UV', 17, 'CV', 155, 'addr2line', 'cat', 'V2', 'V3', 0.8787717901070702, 1.164811372756958]
['CV', 141, 'BV', 13, 'false', 'cp', 'V3', 'V2', 0.519222271321255, 0.07252693176269531]
['BV', 37, 'CV', 111, 'geany', 'factor', 'V1', 'V3', 0.9604959351170957, 25.362114667892456]
['CV', 346, 'UV', 41, 'mknod', 'cmp', 'V1', 'V3', 0.2874149659863945, 0.02752065658569336]
['UV', 34, 'CV', 247, 'elfedit', 'shred', 'V3', 'V0', 0.12989690721649483, 0.040857791900634766]
['UV', 57, 'CV', 77, 'strings', 'nl', 'V1', 'V2', 0.7805224067428858, 1.2095568180084229]
['BV', 42, 'CV', 300, 'libvlc.so', 'whoami', 'V1', 'V1', 0.8329591378536148, 0.26976609230041504]
