['CO', 69, 'BO', 39, 'who', 'codeblocks', 'O3', 'O3', 0.9566882884723428, 17.24880838394165]
['CO', 140, 'UO', 35, 'pinky', 'gprof', 'O1', 'O2', 0.875498670212766, 1.505549669265747]
['CO', 42, 'UO', 50, 'sum', 'strings', 'O3', 'O3', 0.8566459172464299, 1.1622021198272705]
['BO', 25, 'CO', 341, 'dot', 'nproc', 'O3', 'O0', 0.5387931034482759, 0.026468276977539062]
['CO', 53, 'UO', 78, 'chmod', 'elfedit', 'O3', 'O0', 0.18333333333333335, 0.05425214767456055]
['BO', 11, 'CO', 153, 'ssh', 'nice', 'O1', 'O1', 0.9259353202282815, 1.8679513931274414]
['BO', 76, 'CO', 253, 'openssl', 'split', 'O2', 'O2', 0.9241730279898219, 10.095873355865479]
['BO', 31, 'UO', 80, 'bash', 'objdump', 'O2', 'O0', 0.108395302110736, 22.441062211990356]
['CO', 117, 'BO', 67, 'printenv', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.9480872988868906, 7.634034633636475]
['UO', 77, 'CO', 244, 'ar', 'pinky', 'O0', 'O2', 0.9258631406453071, 3.0211992263793945]
['UO', 82, 'CO', 66, 'cmp', 'runcon', 'O0', 'O3', 0.26739427012278316, 0.0420069694519043]
['CO', 80, 'UO', 15, 'uname', 'elfedit', 'O3', 'O1', 0.20505200594353634, 0.03239893913269043]
['CO', 205, 'UO', 42, 'rmdir', 'xargs', 'O1', 'O2', 0.33640081799591004, 0.08608698844909668]
['CO', 184, 'UO', 14, 'uname', 'ar', 'O1', 'O1', 0.9074868073878628, 1.6260690689086914]
['CO', 280, 'UO', 73, 'head', 'objcopy', 'O2', 'O0', 0.931785268414482, 3.892280340194702]
['UO', 16, 'CO', 157, 'size', 'chmod', 'O1', 'O1', 0.819, 1.4578239917755127]
['CO', 312, 'UO', 49, 'sha384sum', 'c++filt', 'O0', 'O3', 0.8351738614584284, 1.2927331924438477]
['CO', 4, 'UO', 56, 'test', 'elfedit', 'O3', 'O3', 0.17227179135209336, 0.03580784797668457]
['CO', 179, 'UO', 57, 'mv', 'size', 'O1', 'O3', 0.626071768815497, 1.8573336601257324]
['BO', 9, 'UO', 8, 'git', 'c++filt', 'O0', 'O1', 0.6484077266556535, 14.605713129043579]
['CO', 236, 'UO', 6, 'factor', 'as', 'O2', 'O1', 0.8988225032708242, 2.878039598464966]
['CO', 204, 'UO', 59, 'tac', 'locate', 'O1', 'O3', 0.48519040902679833, 0.14323687553405762]
['BO', 40, 'CO', 319, 'lua', 'fmt', 'O0', 'O0', 0.8367388022143936, 0.9378609657287598]
['CO', 341, 'BO', 18, 'nproc', 'libvlc.so.12.0.0', 'O0', 'O1', 0.7319311663479924, 0.6742715835571289]
['CO', 343, 'BO', 67, 'date', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.8771954475200224, 9.734407424926758]
['CO', 16, 'UO', 48, 'dirname', 'ranlib', 'O3', 'O3', 0.8995969861573506, 1.1802589893341064]
['BO', 47, 'CO', 377, 'libvlc.so.12.0.0', 'false', 'O0', 'O0', 0.7989708404802744, 0.7480342388153076]
['CO', 291, 'BO', 25, 'csplit', 'dot', 'O2', 'O3', 0.5970961887477314, 0.026357412338256836]
['BO', 78, 'UO', 57, 'ssh', 'size', 'O0', 'O3', 0.30371330173560196, 5.906789064407349]
['CO', 124, 'BO', 52, 'mkfifo', 'svn', 'O1', 'O3', 0.8152713302385145, 0.6805651187896729]
['CO', 198, 'BO', 82, 'rm', 'cp', 'O1', 'O3', 0.23338301043219079, 0.1523265838623047]
['UO', 13, 'CO', 361, 'addr2line', 'nice', 'O1', 'O0', 0.883562235466874, 1.3783552646636963]
['UO', 64, 'CO', 260, 'diff', 'sha256sum', 'O3', 'O2', 0.559696342305038, 0.11322999000549316]
['CO', 11, 'UO', 14, 'groups', 'ar', 'O3', 'O1', 0.8909596207291156, 1.632246732711792]
['CO', 183, 'BO', 28, 'link', 'ruby', 'O1', 'O0', 0.9833158590509186, 18.51750636100769]
['CO', 214, 'BO', 47, 'mkdir', 'libvlc.so.12.0.0', 'O2', 'O0', 0.7482074370518592, 0.9105024337768555]
['CO', 61, 'UO', 61, 'cksum', 'find', 'O3', 'O3', 0.775377969762419, 0.40404200553894043]
['UO', 38, 'CO', 292, 'elfedit', 'vdir', 'O2', 'O2', 0.4506310319227914, 0.12273883819580078]
['CO', 352, 'BO', 50, 'sync', 'perl', 'O0', 'O2', 0.9600649545919288, 3.832191228866577]
['BO', 71, 'CO', 171, 'libSDL2-2.0.so.0.16.0', 'nohup', 'O0', 'O1', 0.9458774855405919, 8.468299627304077]
['BO', 51, 'UO', 86, 'lua', 'xargs', 'O1', 'O0', 0.6328037592302529, 0.7682974338531494]
['BO', 68, 'CO', 336, 'git', 'tee', 'O3', 'O0', 0.9695139825291669, 8.589917182922363]
['BO', 57, 'UO', 43, 'libvlccore.so.9.0.0', 'find', 'O3', 'O2', 0.6563177874186551, 8.510390043258667]
['UO', 50, 'CO', 317, 'strings', 'basename', 'O3', 'O0', 0.8784847642863759, 1.044708251953125]
['CO', 312, 'UO', 32, 'sha384sum', 'strings', 'O0', 'O2', 0.8400779243779333, 1.4718663692474365]
['UO', 11, 'CO', 324, 'ld', 'ptx', 'O1', 'O0', 0.8489087856743145, 2.927157402038574]
['CO', 153, 'BO', 1, 'nice', 'ssh', 'O1', 'O2', 0.9258035827722018, 2.102903366088867]
['CO', 95, 'BO', 65, 'sha224sum', 'gvmap', 'O3', 'O0', 0.695067264573991, 0.27164626121520996]
['CO', 29, 'BO', 35, 'nproc', 'make', 'O3', 'O3', 0.7643347559844127, 0.30609726905822754]
