['CO', 99, 'UO', 3, 'sort', 'nm', 'O3', 'O1', 0.9451208431764492, 3.211465835571289]
['CO', 304, 'BO', 82, 'fold', 'cp', 'O2', 'O3', 0.9013539651837524, 0.15072011947631836]
['CO', 134, 'BO', 41, 'expand', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.9784730913642052, 2.2891507148742676]
['UO', 5, 'CO', 151, 'readelf', 'numfmt', 'O1', 'O1', 0.9833217512161223, 0.7192943096160889]
['UO', 72, 'CO', 222, 'strings', 'stty', 'O0', 'O2', 0.9971787276061503, 1.7583732604980469]
['CO', 115, 'BO', 7, 'groups', 'sort', 'O1', 'O0', 0.901821060965954, 0.24231457710266113]
['BO', 44, 'CO', 371, 'cmp', 'tsort', 'O2', 'O0', 0.9078014184397163, 0.08318066596984863]
['CO', 48, 'UO', 39, 'ls', 'size', 'O3', 'O2', 0.9543552681627996, 3.1791646480560303]
['BO', 23, 'CO', 321, 'git', 'du', 'O2', 'O0', 0.9980589898307946, 14.068527460098267]
['CO', 90, 'UO', 77, 'tr', 'ar', 'O3', 'O0', 0.9906178796407988, 2.1633710861206055]
['UO', 41, 'CO', 327, 'locate', 'join', 'O2', 'O0', 0.967741935483871, 0.34310317039489746]
['CO', 85, 'BO', 19, '[', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.9900449889920552, 3.1290371417999268]
['BO', 72, 'CO', 57, 'make', 'od', 'O2', 'O3', 0.9828291087489779, 0.7050518989562988]
['CO', 356, 'BO', 68, 'seq', 'git', 'O0', 'O3', 0.9922236142912688, 6.270999908447266]
['BO', 83, 'UO', 11, 'lua', 'ld', 'O2', 'O1', 0.9619373678380828, 15.576969385147095]
['UO', 43, 'CO', 386, 'find', 'unexpand', 'O2', 'O0', 0.9863072314933675, 0.594059944152832]
['UO', 52, 'CO', 99, 'ld', 'sort', 'O3', 'O3', 0.9932773109243698, 4.376240968704224]
['CO', 192, 'BO', 76, 'shred', 'openssl', 'O1', 'O2', 0.9908566452596059, 5.0339415073394775]
['CO', 243, 'BO', 82, 'base32', 'cp', 'O2', 'O3', 0.8987583572110793, 0.15815138816833496]
['UO', 77, 'CO', 119, 'ar', 'join', 'O0', 'O1', 0.9935751572747958, 2.083247423171997]
['CO', 154, 'UO', 83, 'dircolors', 'diff', 'O1', 'O0', 0.916030534351145, 0.27805495262145996]
['CO', 181, 'BO', 54, 'env', 'lua', 'O1', 'O3', 0.9699872286079183, 0.5760579109191895]
['UO', 15, 'CO', 104, 'elfedit', 'sha384sum', 'O1', 'O1', 0.945750452079566, 0.09560918807983398]
['BO', 2, 'CO', 106, 'perl', 'stat', 'O1', 'O1', 0.9969474279253816, 6.197240829467773]
['UO', 0, 'CO', 308, 'locate', 'tac', 'O1', 'O2', 0.9842243645924628, 0.226975679397583]
['BO', 1, 'UO', 53, 'ssh', 'gprof', 'O2', 'O3', 0.9805756036710327, 22.054010152816772]
['UO', 21, 'CO', 68, 'sdiff', 'yes', 'O1', 'O3', 0.9444444444444444, 0.07735681533813477]
['BO', 5, 'CO', 249, 'libgeany.so.0.0.0', 'echo', 'O1', 'O2', 0.9995422293430991, 3.8709986209869385]
['BO', 29, 'CO', 332, 'libvlc.so.12.0.0', 'mkfifo', 'O2', 'O0', 0.9878682842287695, 1.1440129280090332]
['CO', 57, 'BO', 74, 'od', 'dot', 'O3', 'O1', 1.0, 0.04821515083312988]
['CO', 152, 'UO', 15, 'ls', 'elfedit', 'O1', 'O1', 0.989100817438692, 0.2532823085784912]
['UO', 40, 'CO', 233, 'objdump', 'chgrp', 'O2', 'O2', 0.9949568679495687, 2.484830379486084]
['CO', 261, 'UO', 4, 'chmod', 'strip', 'O2', 'O1', 0.966621712744437, 1.8131470680236816]
['CO', 98, 'BO', 28, 'sleep', 'ruby', 'O3', 'O0', 0.992331964849184, 4.764308452606201]
['CO', 79, 'UO', 41, 'link', 'locate', 'O3', 'O2', 0.9602888086642599, 0.21080303192138672]
['BO', 14, 'CO', 57, 'cmp', 'od', 'O0', 'O3', 0.9097938144329897, 0.13144707679748535]
['CO', 399, 'BO', 70, 'id', 'diff', 'O0', 'O3', 0.9008792965627498, 0.2681126594543457]
