['CV', 95, 'BV', 78, 'du', 'make', 'V3', 'V2', 0.9591063990912533, 1.157763957977295]
['UV', 30, 'CV', 283, 'ld', 'kill', 'V3', 'V1', 0.998285959148693, 0.9046206474304199]
['CV', 140, 'BV', 9, 'tty', 'dot', 'V3', 'V2', 1.0, 0.026772499084472656]
['CV', 179, 'UV', 10, 'mkdir', 'as', 'V0', 'V2', 0.9835778705074707, 1.3186631202697754]
['CV', 309, 'BV', 12, 'df', 'sort', 'V1', 'V2', 0.906318082788671, 0.15513110160827637]
['UV', 27, 'CV', 283, 'c++filt', 'kill', 'V3', 'V1', 0.9977708426214891, 0.6457884311676025]
['CV', 142, 'BV', 42, 'nohup', 'libvlc.so', 'V3', 'V1', 0.9821896280775275, 0.4868741035461426]
['BV', 1, 'CV', 291, 'libSDL2-2.0.so', 'pinky', 'V3', 'V1', 0.9977378124646533, 1.5076618194580078]
['BV', 20, 'CV', 320, 'sort', 'head', 'V1', 'V1', 0.9472049689440993, 0.07636380195617676]
['CV', 11, 'UV', 25, 'printenv', 'as', 'V2', 'V3', 0.9829383886255925, 1.0933663845062256]
['CV', 25, 'BV', 50, 'expand', 'sort', 'V2', 'V0', 0.8894830659536542, 0.06507635116577148]
['CV', 238, 'BV', 60, 'md5sum', 'codeblocks', 'V0', 'V1', 0.996408644904765, 3.4224741458892822]
['BV', 5, 'CV', 42, 'libvlccore.so', 'dircolors', 'V0', 'V2', 0.9989426381178959, 1.3324127197265625]
['CV', 6, 'UV', 7, 'fmt', 'nm', 'V2', 'V2', 0.9752256980894394, 0.8886139392852783]
['CV', 10, 'UV', 31, 'ptx', 'gprof', 'V2', 'V3', 0.9568634618899653, 2.7338311672210693]
['CV', 12, 'UV', 52, 'stty', 'strip', 'V2', 'V1', 0.9819761828130029, 1.548736810684204]
['CV', 278, 'BV', 76, 'mkfifo', 'diff', 'V1', 'V2', 0.9066666666666666, 0.11944413185119629]
['CV', 10, 'BV', 29, 'ptx', 'perl', 'V2', 'V3', 0.9755463854500993, 6.514668226242065]
['CV', 287, 'BV', 21, 'date', 'cp', 'V1', 'V1', 0.8792341678939617, 0.09888124465942383]
['UV', 61, 'CV', 268, 'addr2line', 'dir', 'V1', 'V1', 0.9940511600237953, 2.022455930709839]
['UV', 25, 'BV', 23, 'as', 'diff', 'V3', 'V3', 0.9933644630130253, 4.965399742126465]
['BV', 76, 'CV', 250, 'diff', 'comm', 'V2', 'V0', 0.9832869080779945, 0.12455487251281738]
['BV', 44, 'CV', 78, 'make', 'rm', 'V0', 'V2', 0.9820500708549834, 0.5753912925720215]
['CV', 316, 'UV', 79, 'nohup', 'strings', 'V1', 'V0', 0.9797616370586912, 0.7273218631744385]
['UV', 65, 'CV', 68, 'objdump', 'cat', 'V1', 'V2', 0.996474217717056, 1.7328662872314453]
['UV', 13, 'CV', 266, 'strings', 'mkdir', 'V2', 'V1', 0.995706311721769, 0.8550622463226318]
['UV', 0, 'BV', 36, 'locate', 'libvlc.so', 'V2', 'V2', 0.9849056603773585, 1.0700657367706299]
['CV', 273, 'BV', 3, 'stty', 'diff', 'V1', 'V1', 0.9110212335692619, 0.14560508728027344]
['UV', 39, 'CV', 26, 'find', 'date', 'V3', 'V2', 0.989587852494577, 0.5030930042266846]
['BV', 70, 'CV', 252, 'ssh', 'rm', 'V0', 'V0', 0.9978176149649259, 2.7237510681152344]
['BV', 57, 'CV', 175, 'svn', 'stat', 'V2', 'V0', 0.9972014925373134, 0.8257873058319092]
['CV', 14, 'BV', 69, 'dirname', 'gvmap', 'V2', 'V0', 0.959709911361805, 0.24934601783752441]
['CV', 258, 'UV', 47, 'rmdir', 'sdiff', 'V0', 'V1', 0.8738049713193117, 0.05054140090942383]
['BV', 77, 'UV', 39, 'perl', 'find', 'V2', 'V3', 0.9959421760081156, 18.774092197418213]
['CV', 208, 'BV', 43, 'echo', 'lua', 'V0', 'V0', 0.9617575264442636, 0.3011598587036133]
['UV', 65, 'CV', 330, 'objdump', 'csplit', 'V1', 'V1', 0.9957452843568289, 2.829458236694336]
['UV', 52, 'CV', 229, 'strip', 'nohup', 'V1', 'V0', 0.9976973684210526, 0.8421039581298828]
['CV', 55, 'BV', 73, 'nohup', 'geany', 'V2', 'V0', 0.9919328815747015, 4.36906623840332]
['CV', 150, 'BV', 61, 'mv', 'cmp', 'V3', 'V0', 0.9926131117266851, 0.10136723518371582]
['BV', 42, 'CV', 128, 'libvlc.so', 'nice', 'V1', 'V3', 0.9936034115138592, 0.37271738052368164]
['UV', 3, 'CV', 285, 'diff3', 'factor', 'V2', 'V1', 0.9525547445255474, 0.055792808532714844]
['CV', 345, 'BV', 50, 'rmdir', 'sort', 'V1', 'V0', 0.8835341365461847, 0.05181431770324707]
['BV', 63, 'UV', 1, 'ruby', 'xargs', 'V0', 'V2', 0.9982119708551249, 8.089605331420898]
['UV', 20, 'CV', 42, 'size', 'dircolors', 'V2', 'V2', 0.9957356076759062, 0.7970600128173828]
