['BV', 40, 'CV', 63, 'lua', 'mv', 'V2', 'V2', 0.9852114758947057, 1.4714007377624512]
['UV', 61, 'CV', 100, 'addr2line', 'join', 'V1', 'V3', 0.9959308240081384, 1.3722224235534668]
['CV', 74, 'BV', 35, 'pathchk', 'libvlccore.so', 'V2', 'V2', 0.9944540727902946, 1.8220818042755127]
['BV', 9, 'UV', 87, 'dot', 'objdump', 'V2', 'V0', 0.9924158634855428, 0.5548722743988037]
['CV', 96, 'UV', 58, 'users', 'objcopy', 'V3', 'V1', 0.9786476868327402, 1.3485474586486816]
['BV', 45, 'CV', 40, 'svn', 'ls', 'V3', 'V2', 0.9926153846153846, 1.629836082458496]
['UV', 80, 'BV', 39, 'objcopy', 'svn', 'V0', 'V1', 0.988749345892203, 8.379975318908691]
['BV', 1, 'UV', 76, 'libSDL2-2.0.so', 'as', 'V3', 'V0', 0.982727507089456, 44.61675405502319]
['BV', 17, 'UV', 8, 'codeblocks', 'strip', 'V2', 'V2', 0.9845365714827815, 66.76486730575562]
['CV', 73, 'UV', 36, 'shred', 'objdump', 'V2', 'V3', 0.9788317256162915, 2.3649282455444336]
['UV', 3, 'CV', 11, 'diff3', 'printenv', 'V2', 'V2', 0.9714795008912656, 0.05959010124206543]
['UV', 63, 'CV', 298, 'elfedit', 'seq', 'V1', 'V1', 0.9853658536585366, 0.05345726013183594]
['CV', 66, 'BV', 25, 'link', 'git', 'V2', 'V3', 0.9938652397668791, 4.340692043304443]
['UV', 3, 'CV', 196, 'diff3', 'kill', 'V2', 'V0', 0.9671532846715328, 0.05666685104370117]
['UV', 63, 'BV', 18, 'elfedit', 'sort', 'V1', 'V3', 0.9589652096342551, 0.2472515106201172]
['CV', 120, 'UV', 8, 'sync', 'strip', 'V3', 'V2', 0.9783859159839637, 1.1507256031036377]
['UV', 82, 'CV', 268, 'gprof', 'dir', 'V0', 'V1', 0.9957886676875957, 2.0771923065185547]
['UV', 83, 'CV', 149, 'addr2line', 'unexpand', 'V0', 'V3', 0.9965019676432006, 0.9812672138214111]
['BV', 3, 'CV', 115, 'diff', 'chown', 'V1', 'V3', 0.95141065830721, 0.3061208724975586]
['BV', 46, 'CV', 253, 'cluster', 'fold', 'V3', 'V0', 0.9858490566037735, 0.1825704574584961]
['UV', 31, 'BV', 76, 'gprof', 'diff', 'V3', 'V2', 0.9901408450704225, 3.4472737312316895]
['CV', 286, 'BV', 21, 'expand', 'cp', 'V1', 'V1', 0.9158249158249159, 0.0723412036895752]
['BV', 58, 'CV', 41, 'ruby', 'nice', 'V3', 'V2', 0.9910714285714286, 0.011766672134399414]
['BV', 40, 'CV', 191, 'lua', 'mkfifo', 'V2', 'V0', 0.997205728257073, 0.37140798568725586]
['CV', 130, 'UV', 45, 'chmod', 'cmp', 'V3', 'V1', 0.9371584699453552, 0.11731553077697754]
['BV', 74, 'CV', 10, 'git', 'ptx', 'V1', 'V2', 0.9979810216030689, 9.228785753250122]
['CV', 298, 'UV', 53, 'seq', 'readelf', 'V1', 'V1', 0.9819694868238558, 0.2077314853668213]
['BV', 38, 'CV', 9, 'ruby', 'users', 'V2', 'V2', 0.9916666666666667, 0.012808084487915039]
['CV', 26, 'UV', 50, 'date', 'find', 'V2', 'V1', 0.921911421911422, 0.3553447723388672]
['UV', 61, 'BV', 41, 'addr2line', 'libvlccore.so', 'V1', 'V1', 0.9721739130434782, 26.544356107711792]
['CV', 72, 'UV', 61, 'id', 'addr2line', 'V2', 'V1', 0.976381273724167, 1.5645804405212402]
['UV', 22, 'BV', 50, 'nm', 'sort', 'V3', 'V0', 0.9937888198757764, 1.2425003051757812]
['UV', 13, 'CV', 305, 'strings', 'true', 'V2', 'V1', 0.9978084593469209, 0.46571898460388184]
['UV', 72, 'CV', 174, 'find', 'touch', 'V0', 'V0', 0.9875968992248062, 0.19975876808166504]
['BV', 33, 'CV', 119, 'openssl', 'paste', 'V0', 'V3', 0.998950406717397, 3.543560028076172]
['UV', 11, 'CV', 12, 'ranlib', 'stty', 'V2', 'V2', 0.9956383822363204, 1.1735610961914062]
['UV', 43, 'CV', 320, 'sdiff', 'head', 'V3', 'V1', 0.9402985074626866, 0.07322359085083008]
['BV', 7, 'CV', 254, 'libSDL2-2.0.so', 'uniq', 'V0', 'V0', 0.9946217282179993, 1.0652666091918945]
['UV', 80, 'CV', 132, 'objcopy', 'cp', 'V0', 'V3', 0.9880496399571013, 3.5898780822753906]
['CV', 280, 'UV', 68, 'pr', 'diff', 'V1', 'V0', 0.8942486085343229, 0.19348478317260742]
['CV', 3, 'BV', 25, 'test', 'git', 'V2', 'V3', 0.9940101419187966, 5.542316675186157]
['BV', 12, 'CV', 14, 'sort', 'dirname', 'V2', 'V2', 0.9831528279181709, 0.0966944694519043]
['CV', 23, 'UV', 48, 'wc', 'locate', 'V2', 'V1', 0.9348469891411648, 0.1847999095916748]
['BV', 40, 'CV', 23, 'lua', 'wc', 'V2', 'V2', 0.9939658062353336, 0.6431810855865479]
['UV', 26, 'BV', 61, 'ranlib', 'cmp', 'V3', 'V0', 0.9974994790581371, 0.5544109344482422]
['BV', 68, 'CV', 218, 'dot', 'true', 'V0', 'V0', 0.9893048128342246, 0.01709461212158203]
['BV', 46, 'UV', 46, 'cluster', 'diff', 'V3', 'V1', 0.964012595591543, 1.0258889198303223]
['UV', 81, 'CV', 141, 'ld', 'false', 'V0', 'V3', 0.9978749241044323, 1.074120044708252]
