['CO', 190, 'UO', 87, 'timeout', 'find', 'O1', 'O0', 0.9737790888233366, 0.916473388671875]
['CO', 398, 'UO', 43, 'timeout', 'find', 'O0', 'O2', 0.9531576746131326, 0.7296402454376221]
['CO', 329, 'UO', 52, 'stdbuf', 'ld', 'O0', 'O3', 0.9790911625313633, 2.0376315116882324]
['CO', 4, 'BO', 33, 'test', 'sort', 'O3', 'O2', 0.8922040423484119, 0.19361472129821777]
['CO', 164, 'UO', 64, 'base64', 'diff', 'O1', 'O3', 0.9182978723404256, 0.20844101905822754]
['CO', 260, 'UO', 50, 'sha256sum', 'strings', 'O2', 'O3', 0.9757388619320688, 1.008317232131958]
['CO', 300, 'UO', 22, 'sha512sum', 'diff3', 'O2', 'O2', 0.9089376053962901, 0.08190393447875977]
['UO', 2, 'BO', 17, 'find', 'codeblocks', 'O1', 'O2', 0.9755623437933907, 31.57705330848694]
['UO', 79, 'CO', 116, 'size', 'ptx', 'O0', 'O1', 0.9947730398899587, 2.647730827331543]
['CO', 164, 'BO', 83, 'base64', 'lua', 'O1', 'O2', 0.9555694618272841, 0.6935079097747803]
['BO', 60, 'CO', 145, 'openssl', 'echo', 'O0', 'O1', 0.9981840193704601, 2.303568124771118]
['CO', 301, 'BO', 1, 'nl', 'ssh', 'O2', 'O2', 0.9878428465530023, 1.3202409744262695]
['BO', 32, 'CO', 7, 'ruby', 'fmt', 'O2', 'O3', 0.999533073929961, 5.179823637008667]
['CO', 143, 'UO', 54, 'paste', 'addr2line', 'O1', 'O3', 0.9771629336846728, 1.007814884185791]
['CO', 310, 'BO', 49, 'mknod', 'svn', 'O2', 'O0', 0.9848999622499056, 0.634174108505249]
['UO', 12, 'CO', 14, 'gprof', 'stty', 'O1', 'O3', 0.9969616407140144, 1.460737943649292]
['CO', 8, 'UO', 66, 'dir', 'nm', 'O3', 'O0', 0.9807766243752403, 5.800806283950806]
['BO', 82, 'CO', 190, 'cp', 'timeout', 'O3', 'O1', 0.9452296819787986, 0.22514128684997559]
['CO', 107, 'UO', 38, 'unlink', 'elfedit', 'O1', 'O2', 0.9708939708939709, 0.07820606231689453]
['CO', 104, 'BO', 62, 'sha384sum', 'bash', 'O1', 'O1', 0.9807784718885151, 2.679824113845825]
['CO', 241, 'UO', 22, 'chown', 'diff3', 'O2', 'O2', 0.9002493765586035, 0.13801836967468262]
['BO', 56, 'CO', 21, 'libvlc.so.12.0.0', 'mktemp', 'O3', 'O3', 0.9887587822014051, 0.604820966720581]
['UO', 51, 'CO', 284, 'objcopy', 'md5sum', 'O3', 'O2', 0.9957004657828735, 1.0285897254943848]
['UO', 9, 'BO', 38, 'strings', 'acyclic', 'O1', 'O2', 0.9969683845820702, 0.36208415031433105]
['UO', 46, 'CO', 31, 'readelf', 'date', 'O3', 'O3', 0.9913621262458472, 0.9066159725189209]
['BO', 62, 'CO', 153, 'bash', 'nice', 'O1', 'O1', 0.9971014492753624, 1.8600757122039795]
['BO', 22, 'CO', 253, 'perl', 'split', 'O0', 'O2', 0.9984650805832693, 3.855750799179077]
['CO', 81, 'UO', 77, 'cat', 'ar', 'O3', 'O0', 0.9911003236245954, 2.1458799839019775]
['BO', 77, 'CO', 103, 'libSDL2-2.0.so.0.16.0', 'ln', 'O3', 'O3', 0.9943032427695004, 4.011783599853516]
['CO', 207, 'UO', 52, 'ln', 'ld', 'O1', 'O3', 0.9672308733920109, 3.2389819622039795]
['UO', 31, 'CO', 189, 'c++filt', '[', 'O2', 'O1', 0.9917979710770559, 1.1832091808319092]
['BO', 52, 'CO', 84, 'svn', 'vdir', 'O3', 'O3', 0.9916959437879271, 1.9193542003631592]
['UO', 55, 'CO', 298, 'ar', 'tr', 'O3', 'O2', 0.994242237302077, 1.0370793342590332]
['BO', 57, 'CO', 321, 'libvlccore.so.9.0.0', 'du', 'O3', 'O0', 0.9965937612047329, 7.6752989292144775]
['CO', 151, 'BO', 11, 'numfmt', 'ssh', 'O1', 'O1', 0.9757522640958224, 1.8751168251037598]
['BO', 48, 'CO', 287, 'libvlccore.so.9.0.0', 'link', 'O0', 'O2', 0.9992781868052548, 2.418975591659546]
['UO', 1, 'BO', 36, 'xargs', 'cluster', 'O1', 'O2', 0.9376947040498442, 0.5012547969818115]
['BO', 49, 'CO', 124, 'svn', 'mkfifo', 'O0', 'O1', 0.9879969992498124, 0.6155185699462891]
['CO', 334, 'BO', 7, 'pwd', 'sort', 'O0', 'O0', 0.9234889058913542, 0.28553056716918945]
['CO', 385, 'BO', 65, 'hostid', 'gvmap', 'O0', 'O0', 0.9621095750128008, 0.3949005603790283]
