['UO', 82, 'CO', 345, 'cmp', 'chown', 'O0', 'O0', 0.9160997732426304, 0.1843397617340088]
['CO', 124, 'UO', 8, 'mkfifo', 'c++filt', 'O1', 'O1', 0.9753086419753086, 0.9637892246246338]
['BO', 83, 'CO', 409, 'lua', 'uniq', 'O2', 'O0', 0.9847700274139507, 0.9337780475616455]
['CO', 371, 'UO', 8, 'tsort', 'c++filt', 'O0', 'O1', 0.9626756133361292, 1.2389342784881592]
['UO', 32, 'CO', 179, 'strings', 'mv', 'O2', 'O1', 0.9811676082862524, 3.440746307373047]
['CO', 284, 'UO', 76, 'md5sum', 'addr2line', 'O2', 'O0', 0.9911793996301038, 1.729463815689087]
['UO', 46, 'CO', 349, 'readelf', 'truncate', 'O3', 'O0', 0.9836415362731152, 0.607050895690918]
['UO', 57, 'CO', 138, 'size', 'tail', 'O3', 'O1', 0.9824634655532359, 1.7383930683135986]
['BO', 36, 'CO', 192, 'cluster', 'shred', 'O2', 'O1', 0.9651240778001341, 0.4569523334503174]
['UO', 25, 'BO', 50, 'sdiff', 'perl', 'O2', 'O2', 0.9887323943661972, 4.151457071304321]
['UO', 35, 'CO', 296, 'gprof', 'shred', 'O2', 'O2', 0.9926098794243485, 1.585251808166504]
['BO', 41, 'UO', 11, 'libSDL2-2.0.so.0.16.0', 'ld', 'O2', 'O1', 0.9770536320434487, 44.85737872123718]
['BO', 65, 'CO', 241, 'gvmap', 'chown', 'O0', 'O2', 0.9733944954128441, 0.7480254173278809]
['UO', 69, 'CO', 55, 'as', 'cp', 'O0', 'O3', 0.9941649721510034, 7.068087339401245]
['UO', 84, 'BO', 38, 'sdiff', 'acyclic', 'O0', 'O2', 0.9888059701492538, 0.06488394737243652]
['BO', 53, 'CO', 58, 'bash', 'df', 'O0', 'O3', 0.996334369272452, 5.568663120269775]
['BO', 37, 'CO', 133, 'gvmap', 'nproc', 'O2', 'O1', 0.975609756097561, 0.2887239456176758]
['BO', 44, 'UO', 11, 'cmp', 'ld', 'O2', 'O1', 0.9790979097909791, 1.8985323905944824]
['CO', 303, 'UO', 17, 'sha224sum', 'objdump', 'O2', 'O1', 0.984688489968321, 1.70621657371521]
['UO', 64, 'BO', 2, 'diff', 'perl', 'O3', 'O1', 0.9771523178807947, 10.593621015548706]
['BO', 15, 'CO', 318, 'diff', 'mkdir', 'O0', 'O0', 0.9735784032165422, 0.6352291107177734]
['CO', 128, 'BO', 13, 'tee', 'ruby', 'O1', 'O1', 0.9929119100357813, 6.508121728897095]
['BO', 20, 'CO', 119, 'sort', 'join', 'O1', 'O1', 0.9460431654676259, 0.22008442878723145]
