['CO', 152, 'UO', 5, 'ls', 'readelf', 'O1', 'O1', 0.9454329774614472, 1.6763927936553955]
['UO', 85, 'CO', 268, 'locate', 'base64', 'O0', 'O2', 0.9885795860099929, 0.2740645408630371]
['UO', 18, 'CO', 282, 'diff3', 'unexpand', 'O1', 'O2', 0.9184339314845025, 0.08135485649108887]
['UO', 40, 'CO', 408, 'objdump', 'fold', 'O2', 'O0', 0.9951153324287653, 1.6409797668457031]
['UO', 66, 'BO', 49, 'nm', 'svn', 'O0', 'O0', 0.9938310997660073, 13.098452806472778]
['CO', 232, 'BO', 45, 'tee', 'diff', 'O2', 'O2', 0.8961748633879781, 0.17847919464111328]
['BO', 24, 'CO', 163, 'cluster', 'tsort', 'O3', 'O1', 0.9702823179791976, 0.28865838050842285]
['BO', 2, 'CO', 384, 'perl', 'head', 'O1', 'O0', 0.9979497693490518, 4.377064943313599]
['BO', 47, 'CO', 372, 'libvlc.so.12.0.0', 'base64', 'O0', 'O0', 0.9938542581211589, 0.7002475261688232]
['UO', 38, 'CO', 379, 'elfedit', 'nohup', 'O2', 'O0', 0.9851576994434137, 0.09471559524536133]
['CO', 153, 'UO', 87, 'nice', 'find', 'O1', 'O0', 0.9710047201618341, 0.6338715553283691]
['UO', 31, 'CO', 102, 'c++filt', 'mknod', 'O2', 'O3', 0.9969498910675382, 0.9608089923858643]
['UO', 71, 'CO', 369, 'c++filt', 'od', 'O0', 'O0', 0.9974961747113645, 2.4392290115356445]
['CO', 136, 'UO', 42, 'expr', 'xargs', 'O1', 'O2', 0.9587878787878787, 0.18835759162902832]
['BO', 71, 'UO', 68, 'libSDL2-2.0.so.0.16.0', 'readelf', 'O0', 'O0', 0.9929439435515484, 23.840176582336426]
['CO', 157, 'UO', 9, 'chmod', 'strings', 'O1', 'O1', 0.9563636363636363, 1.6814959049224854]
['BO', 52, 'CO', 85, 'svn', '[', 'O3', 'O3', 0.9945841392649903, 0.6934061050415039]
['UO', 61, 'BO', 81, 'find', 'sort', 'O3', 'O3', 0.9764705882352941, 1.44352126121521]
['CO', 391, 'UO', 50, 'link', 'strings', 'O0', 'O3', 0.9778614124418862, 0.9700961112976074]
['CO', 137, 'UO', 2, 'chown', 'find', 'O1', 'O1', 0.9335624284077892, 0.9240016937255859]
['BO', 27, 'CO', 173, 'perl', 'who', 'O3', 'O1', 0.9971836395058568, 3.4242942333221436]
['BO', 18, 'CO', 112, 'libvlc.so.12.0.0', 'dir', 'O1', 'O1', 0.9810949192595511, 1.5038015842437744]
['CO', 406, 'UO', 34, 'rm', 'ld', 'O0', 'O2', 0.970092954331133, 3.635432243347168]
['UO', 18, 'CO', 281, 'diff3', 'hostid', 'O1', 'O2', 0.9355992844364938, 0.06277632713317871]
['UO', 57, 'CO', 340, 'size', 'factor', 'O3', 'O0', 0.9877023980323837, 2.049137830734253]
['BO', 9, 'CO', 386, 'git', 'unexpand', 'O0', 'O0', 0.9994813053814566, 4.922919988632202]
['CO', 339, 'UO', 1, 'wc', 'xargs', 'O0', 'O1', 0.9308755760368663, 0.22462058067321777]
['CO', 191, 'BO', 70, 'id', 'diff', 'O1', 'O3', 0.9047619047619048, 0.22447919845581055]
['CO', 199, 'UO', 43, 'sha224sum', 'find', 'O1', 'O2', 0.957685664939551, 0.5525877475738525]
['CO', 129, 'UO', 2, 'chgrp', 'find', 'O1', 'O1', 0.9408602150537635, 0.9133291244506836]
['BO', 75, 'CO', 307, 'gvmap', 'sort', 'O1', 'O2', 0.9393627954779034, 0.8406217098236084]
['BO', 73, 'UO', 55, 'cluster', 'ar', 'O1', 'O3', 0.9424184261036468, 3.9372832775115967]
['BO', 4, 'CO', 214, 'libgeany.so.0.0.0', 'mkdir', 'O2', 'O2', 0.9991673605328892, 6.407671928405762]
