['CO', 299, 'UO', 2, 'comm', 'find', 'O2', 'O1', 0.9629473684210527, 0.49460768699645996]
['CO', 214, 'BO', 62, 'mkdir', 'bash', 'O2', 'O1', 0.985222147586604, 2.6574246883392334]
['CO', 173, 'UO', 8, 'who', 'c++filt', 'O1', 'O1', 0.9736732135394902, 1.2956500053405762]
['BO', 81, 'UO', 31, 'sort', 'c++filt', 'O3', 'O2', 0.949537750385208, 3.1768391132354736]
['UO', 43, 'CO', 281, 'find', 'hostid', 'O2', 'O2', 0.987353206865402, 0.3473622798919678]
['UO', 80, 'CO', 289, 'objdump', 'cat', 'O0', 'O2', 0.9983116030391145, 1.9225172996520996]
['UO', 73, 'BO', 66, 'objcopy', 'svn', 'O0', 'O2', 0.9880769230769231, 14.337626934051514]
['UO', 28, 'CO', 324, 'readelf', 'ptx', 'O2', 'O0', 0.9812959251837008, 1.0697157382965088]
['UO', 17, 'CO', 266, 'objdump', 'df', 'O1', 'O2', 0.9921229831025282, 3.2865185737609863]
['UO', 6, 'CO', 5, 'as', 'basename', 'O1', 'O3', 0.9968879668049793, 1.515305995941162]
['BO', 35, 'CO', 226, 'make', 'uptime', 'O3', 'O2', 0.983274647887324, 0.5184006690979004]
['CO', 38, 'BO', 33, 'sha1sum', 'sort', 'O3', 'O2', 0.8842815814850531, 0.19800829887390137]
['CO', 231, 'UO', 54, 'pr', 'addr2line', 'O2', 'O3', 0.966935142009326, 1.543686866760254]
['UO', 21, 'CO', 412, 'sdiff', 'tac', 'O1', 'O0', 0.9440559440559441, 0.13107848167419434]
['UO', 64, 'CO', 173, 'diff', 'who', 'O3', 'O1', 0.9671862182116489, 0.2400047779083252]
['UO', 5, 'CO', 289, 'readelf', 'cat', 'O1', 'O2', 0.9912758996728462, 0.4709482192993164]
['CO', 315, 'UO', 8, 'unlink', 'c++filt', 'O0', 'O1', 0.9723874256584537, 1.0250802040100098]
['CO', 344, 'UO', 82, 'expr', 'cmp', 'O0', 'O0', 0.9474412171507607, 0.12462949752807617]
['CO', 255, 'BO', 44, 'numfmt', 'cmp', 'O2', 'O2', 0.9300699300699301, 0.07642865180969238]
['CO', 254, 'BO', 78, 'whoami', 'ssh', 'O2', 'O0', 0.9931198102016607, 1.4234743118286133]
['CO', 359, 'UO', 41, 'numfmt', 'locate', 'O0', 'O2', 0.9587155963302753, 0.41475844383239746]
['BO', 40, 'CO', 7, 'lua', 'fmt', 'O0', 'O3', 0.9956448100653279, 0.9586961269378662]
['CO', 31, 'UO', 1, 'date', 'xargs', 'O3', 'O1', 0.9487179487179487, 0.25209856033325195]
['CO', 129, 'UO', 78, 'chgrp', 'elfedit', 'O1', 'O0', 0.973753280839895, 0.1655750274658203]
['CO', 46, 'BO', 54, 'whoami', 'lua', 'O3', 'O3', 0.9795983423653172, 0.5871379375457764]
['CO', 169, 'BO', 11, 'false', 'ssh', 'O1', 'O1', 0.9800387308207955, 1.1930229663848877]
['CO', 301, 'BO', 83, 'nl', 'lua', 'O2', 'O2', 0.97595697564062, 0.624314546585083]
['UO', 68, 'CO', 341, 'readelf', 'nproc', 'O0', 'O0', 0.996355115855246, 0.8196160793304443]
['CO', 96, 'BO', 68, 'fold', 'git', 'O3', 'O3', 0.9919518843840596, 5.40180516242981]
['CO', 310, 'BO', 5, 'mknod', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9943610454926465, 6.128254175186157]
['UO', 21, 'CO', 77, 'sdiff', 'env', 'O1', 'O3', 0.9246467817896389, 0.09086775779724121]
['BO', 39, 'CO', 43, 'codeblocks', 'chroot', 'O3', 'O3', 0.9982935153583617, 4.201745986938477]
['BO', 59, 'CO', 323, 'libgeany.so.0.0.0', 'groups', 'O3', 'O0', 0.9991885811234463, 6.64648962020874]
['UO', 46, 'BO', 69, 'readelf', 'cmp', 'O3', 'O3', 0.9950634696755994, 0.6190857887268066]
['CO', 282, 'UO', 3, 'unexpand', 'nm', 'O2', 'O1', 0.9818668864619823, 1.0089845657348633]
['BO', 59, 'CO', 354, 'libgeany.so.0.0.0', 'sum', 'O3', 'O0', 0.9991163801038253, 7.912200689315796]
['CO', 222, 'UO', 67, 'stty', 'strip', 'O2', 'O0', 0.9912715263033735, 2.494758129119873]
['CO', 395, 'BO', 0, 'csplit', 'codeblocks', 'O0', 'O1', 0.9868784106934821, 7.289539098739624]
['UO', 77, 'BO', 42, 'ar', 'cmp', 'O0', 'O1', 0.9975796692214602, 1.9216399192810059]
['CO', 336, 'UO', 77, 'tee', 'ar', 'O0', 'O0', 0.9878869448183042, 2.218824863433838]
['BO', 11, 'UO', 48, 'ssh', 'ranlib', 'O1', 'O3', 0.9723469204525049, 22.91696047782898]
['CO', 220, 'BO', 2, 'ptx', 'perl', 'O2', 'O1', 0.9865909090909091, 4.7619616985321045]
['BO', 12, 'CO', 371, 'libgeany.so.0.0.0', 'tsort', 'O0', 'O0', 0.9996128157971155, 6.107957601547241]
['CO', 407, 'BO', 31, 'sha224sum', 'bash', 'O0', 'O2', 0.9764485981308412, 3.0608127117156982]
['CO', 12, 'UO', 2, 'ptx', 'find', 'O3', 'O1', 0.9487963316774933, 0.8977603912353516]
['BO', 12, 'CO', 389, 'libgeany.so.0.0.0', 'env', 'O0', 'O0', 0.9997095696790745, 5.990565776824951]
['CO', 396, 'UO', 3, 'vdir', 'nm', 'O0', 'O1', 0.955951756685894, 4.49707818031311]
['CO', 332, 'BO', 3, 'mkfifo', 'openssl', 'O0', 'O1', 0.9886582495185106, 6.618357181549072]
['CO', 311, 'BO', 53, 'ln', 'bash', 'O2', 'O0', 0.981212364512244, 5.6038148403167725]
['CO', 338, 'BO', 59, 'kill', 'libgeany.so.0.0.0', 'O0', 'O3', 0.9930668240153415, 9.789730072021484]
['BO', 0, 'CO', 65, 'codeblocks', 'false', 'O1', 'O3', 0.9990030531497289, 3.2535271644592285]
['CO', 357, 'UO', 24, 'split', 'diff', 'O0', 'O2', 0.9020771513353116, 0.5583608150482178]
['BO', 7, 'CO', 339, 'sort', 'wc', 'O0', 'O0', 0.9855282199710564, 0.3198540210723877]
['CO', 52, 'BO', 48, 'sha256sum', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.9959951369520131, 5.114628553390503]
