['CV', 227, 'BV', 42, 'tty', 'libvlc.so', 'V0', 'V1', 0.9886941775014132, 0.26855945587158203]
['CV', 238, 'BV', 78, 'md5sum', 'make', 'V0', 'V2', 0.9759268175252769, 0.3394742012023926]
['CV', 336, 'BV', 67, 'tr', 'cluster', 'V1', 'V0', 0.9487179487179487, 0.21382498741149902]
['BV', 22, 'UV', 16, 'cmp', 'gprof', 'V3', 'V2', 0.9750972762645914, 1.2893896102905273]
['UV', 37, 'CV', 206, 'locate', 'paste', 'V3', 'V0', 0.9876288659793815, 0.12737488746643066]
['CV', 65, 'UV', 38, 'env', 'xargs', 'V2', 'V3', 0.9581464872944694, 0.10540962219238281]
['UV', 65, 'CV', 80, 'objdump', 'uniq', 'V1', 'V2', 0.9970273483947681, 1.427990198135376]
['UV', 37, 'CV', 70, 'locate', 'vdir', 'V3', 'V2', 0.9767282683093771, 0.5054326057434082]
['CV', 22, 'BV', 81, 'kill', 'dot', 'V2', 'V1', 1.0, 0.026088476181030273]
['CV', 301, 'UV', 37, 'ls', 'locate', 'V1', 'V3', 0.9733135656041513, 0.4395179748535156]
['CV', 152, 'UV', 44, 'env', 'diff3', 'V3', 'V1', 0.8691588785046729, 0.0848696231842041]
['BV', 73, 'UV', 75, 'geany', 'readelf', 'V0', 'V0', 0.9985708452429564, 15.328850746154785]
['BV', 27, 'CV', 183, 'libSDL2-2.0.so', 'users', 'V1', 'V0', 0.9969406202197191, 0.9835591316223145]
['BV', 18, 'CV', 235, 'sort', 'ginstall', 'V3', 'V0', 0.9432412247946228, 0.3371129035949707]
['BV', 5, 'CV', 50, 'libvlccore.so', 'cksum', 'V0', 'V2', 0.9992041384799045, 1.205338716506958]
['BV', 60, 'UV', 12, 'codeblocks', 'c++filt', 'V1', 'V2', 0.9880910329515062, 53.76319694519043]
['BV', 82, 'CV', 118, 'gvmap', 'sha1sum', 'V1', 'V3', 0.9812332439678284, 0.3345913887023926]
['BV', 28, 'CV', 154, 'openssl', 'uname', 'V1', 'V3', 0.9991045667097801, 3.2329516410827637]
['CV', 227, 'BV', 30, 'tty', 'bash', 'V0', 'V0', 0.9896025878003697, 0.9745640754699707]
['BV', 61, 'UV', 64, 'cmp', 'size', 'V0', 'V1', 0.9862631465979824, 0.581575870513916]
['CV', 333, 'BV', 54, 'id', 'lua', 'V1', 'V3', 0.9742101869761445, 0.47821974754333496]
['BV', 50, 'CV', 16, 'sort', 'dd', 'V0', 'V2', 0.9057873485868102, 0.11503028869628906]
['CV', 82, 'BV', 37, 'sort', 'geany', 'V2', 'V1', 0.9877875212341031, 16.720618963241577]
['CV', 340, 'UV', 17, 'fold', 'addr2line', 'V1', 'V2', 0.9800865800865801, 0.7124752998352051]
