['CO', 128, 'UO', 1, 'tee', 'xargs', 'O1', 'O1', 0.953185955786736, 0.1612684726715088]
['CO', 70, 'UO', 59, 'b2sum', 'locate', 'O3', 'O3', 0.9764111204717776, 0.2872428894042969]
['BO', 32, 'CO', 289, 'ruby', 'cat', 'O2', 'O2', 0.9994533171931743, 3.757903814315796]
['UO', 31, 'BO', 80, 'c++filt', 'ssh', 'O2', 'O3', 0.9740641957141544, 20.733274698257446]
['CO', 247, 'BO', 58, 'paste', 'svn', 'O2', 'O1', 0.9774530271398747, 0.5721580982208252]
['CO', 353, 'UO', 22, 'echo', 'diff3', 'O0', 'O2', 0.9159369527145359, 0.08000445365905762]
['CO', 241, 'UO', 53, 'chown', 'gprof', 'O2', 'O3', 0.9673088149445417, 1.771348237991333]
['CO', 34, 'BO', 26, 'tail', 'gvmap', 'O3', 'O3', 0.9375750300120048, 0.5163640975952148]
['CO', 250, 'UO', 24, 'sum', 'diff', 'O2', 'O2', 0.9261261261261261, 0.190216064453125]
['CO', 137, 'BO', 59, 'chown', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9899703503056481, 14.765891075134277]
['BO', 14, 'CO', 263, 'cmp', 'cp', 'O0', 'O2', 0.8952122854561879, 0.2422492504119873]
['UO', 45, 'CO', 272, 'strip', 'tty', 'O3', 'O2', 0.9963768115942029, 0.7601275444030762]
