['UO', 60, 'CO', 394, 'xargs', 'shuf', 'O3', 'O0', 0.9448416751787538, 0.29360032081604004]
['UO', 25, 'CO', 123, 'sdiff', 'dd', 'O2', 'O1', 0.9024970273483948, 0.16828131675720215]
['CO', 141, 'BO', 48, 'truncate', 'libvlccore.so.9.0.0', 'O1', 'O0', 0.9946808510638298, 4.685331583023071]
['CO', 389, 'UO', 68, 'env', 'readelf', 'O0', 'O0', 0.9819027921406411, 1.0215845108032227]
['UO', 7, 'BO', 2, 'ranlib', 'perl', 'O1', 'O1', 0.9749603084599683, 52.386627197265625]
['BO', 53, 'CO', 151, 'bash', 'numfmt', 'O0', 'O1', 0.9952780265407474, 3.2764737606048584]
['CO', 193, 'BO', 81, 'pathchk', 'sort', 'O1', 'O3', 0.9180633147113594, 0.1678786277770996]
['UO', 71, 'CO', 198, 'c++filt', 'rm', 'O0', 'O1', 0.9898099697053153, 3.026376247406006]
['BO', 49, 'CO', 147, 'svn', 'chroot', 'O0', 'O1', 0.9875503478579275, 0.7754511833190918]
['CO', 18, 'UO', 50, 'uptime', 'strings', 'O3', 'O3', 0.9727626459143969, 1.3093440532684326]
['UO', 64, 'CO', 309, 'diff', 'rmdir', 'O3', 'O2', 0.9787610619469027, 0.1692032814025879]
['UO', 19, 'CO', 171, 'cmp', 'nohup', 'O1', 'O1', 0.9113680154142582, 0.07086634635925293]
['UO', 20, 'BO', 79, 'diff', 'bash', 'O1', 'O3', 0.9693060123113247, 7.4432244300842285]
['UO', 38, 'CO', 81, 'elfedit', 'cat', 'O2', 'O3', 0.9744990892531876, 0.10106921195983887]
['CO', 350, 'BO', 83, 'sha1sum', 'lua', 'O0', 'O2', 0.9552833078101072, 0.8622441291809082]
['UO', 39, 'CO', 346, 'size', 'tail', 'O2', 'O0', 0.9868421052631579, 2.3381969928741455]
['BO', 45, 'CO', 60, 'diff', 'base64', 'O2', 'O3', 0.9774109470026064, 0.19595670700073242]
['CO', 248, 'BO', 10, 'sync', 'openssl', 'O2', 'O3', 0.9944165270798436, 2.3263931274414062]
['CO', 0, 'BO', 80, 'sha384sum', 'ssh', 'O3', 'O3', 0.9772096420745069, 1.6797153949737549]
['BO', 22, 'UO', 54, 'perl', 'addr2line', 'O0', 'O3', 0.9855863725704302, 43.61536717414856]
['CO', 364, 'UO', 27, 'sha256sum', 'strip', 'O0', 'O2', 0.9692576419213974, 1.7854056358337402]
['CO', 353, 'UO', 16, 'echo', 'size', 'O0', 'O1', 0.9698366149979053, 0.9733812808990479]
['BO', 82, 'UO', 69, 'cp', 'as', 'O3', 'O0', 0.9862081159932808, 8.461208581924438]
