['UV', 13, 'CV', 119, 'strings', 'paste', 'V2', 'V3', 0.996600084997875, 0.9560990333557129]
['BV', 25, 'CV', 172, 'git', 'mknod', 'V3', 'V3', 0.9988444414233763, 5.630334138870239]
['CV', 129, 'UV', 48, 'dircolors', 'locate', 'V3', 'V1', 0.9018286814244466, 0.18665456771850586]
['BV', 6, 'CV', 180, 'libvlc.so', 'fmt', 'V0', 'V0', 0.9912225705329154, 0.24158644676208496]
['BV', 2, 'UV', 6, 'cmp', 'sdiff', 'V1', 'V2', 0.87701317715959, 0.09223365783691406]
['CV', 165, 'UV', 1, 'rm', 'xargs', 'V3', 'V2', 0.904296875, 0.21480560302734375]
['UV', 8, 'CV', 258, 'strip', 'rmdir', 'V2', 'V0', 0.9971540377090004, 0.6245362758636475]
['CV', 100, 'BV', 29, 'join', 'perl', 'V3', 'V3', 0.9818466353677622, 3.8334131240844727]
['CV', 15, 'UV', 35, 'uptime', 'size', 'V2', 'V3', 0.9711393495584751, 1.044405221939087]
['CV', 37, 'UV', 78, 'seq', 'c++filt', 'V2', 'V0', 0.9803439803439803, 0.9315824508666992]
['UV', 71, 'BV', 64, 'xargs', 'openssl', 'V0', 'V2', 0.9952676722863059, 1.9646198749542236]
['BV', 61, 'CV', 308, 'cmp', 'od', 'V0', 'V1', 0.8904109589041096, 0.03680729866027832]
['BV', 43, 'CV', 38, 'lua', 'split', 'V0', 'V2', 0.9882525697503671, 0.7558596134185791]
['UV', 27, 'CV', 257, 'c++filt', 'tac', 'V3', 'V0', 0.9933665008291874, 1.655207633972168]
['UV', 9, 'CV', 172, 'readelf', 'mknod', 'V2', 'V3', 0.9889380530973452, 0.3485848903656006]
['CV', 70, 'UV', 25, 'vdir', 'as', 'V2', 'V3', 0.9732449993629761, 4.118618488311768]
['UV', 76, 'CV', 272, 'as', 'printenv', 'V0', 'V1', 0.9985732629476387, 0.7245514392852783]
['CV', 286, 'UV', 7, 'expand', 'nm', 'V1', 'V2', 0.9791578051892812, 0.6788873672485352]
['BV', 59, 'CV', 69, 'make', 'csplit', 'V1', 'V2', 0.9847634322373697, 0.8991591930389404]
['UV', 14, 'CV', 248, 'objcopy', 'pathchk', 'V2', 'V0', 0.9975155279503105, 0.6878833770751953]
['CV', 77, 'UV', 52, 'nl', 'strip', 'V2', 'V1', 0.9678217821782178, 2.5901505947113037]
['CV', 61, 'BV', 14, 'ginstall', 'openssl', 'V2', 'V3', 0.9882051282051282, 5.450416326522827]
['CV', 20, 'BV', 1, 'tee', 'libSDL2-2.0.so', 'V2', 'V3', 0.9823409553995924, 1.7068510055541992]
['BV', 80, 'CV', 257, 'cluster', 'tac', 'V1', 'V0', 0.9703886489821099, 0.48189234733581543]
['CV', 153, 'UV', 9, 'link', 'readelf', 'V3', 'V2', 0.9627959413754228, 0.3065328598022461]
['CV', 339, 'UV', 81, 'rm', 'ld', 'V1', 'V0', 0.981437125748503, 1.7856228351593018]
['BV', 24, 'CV', 138, 'git', 'printf', 'V0', 'V3', 0.9988044712774224, 3.7876243591308594]
['CV', 209, 'UV', 59, 'sum', 'ld', 'V0', 'V1', 0.9844760672703752, 1.2080614566802979]
['BV', 8, 'UV', 62, 'cluster', 'ar', 'V2', 'V1', 0.9362240593892357, 4.101951837539673]
