['BO', 62, 'CO', 147, 'bash', 'chroot', 'O1', 'O1', 0.996734850667435, 2.356044054031372]
['BO', 80, 'CO', 218, 'ssh', 'users', 'O3', 'O2', 0.9967368733313556, 1.1476309299468994]
['UO', 23, 'CO', 132, 'cmp', 'factor', 'O2', 'O1', 0.8992592592592592, 0.10126304626464844]
['CO', 174, 'UO', 0, 'b2sum', 'locate', 'O1', 'O1', 0.9495524816924329, 0.31229448318481445]
['CO', 175, 'UO', 54, 'readlink', 'addr2line', 'O1', 'O3', 0.9691706469821971, 1.1677210330963135]
['CO', 274, 'BO', 52, 'runcon', 'svn', 'O2', 'O3', 0.9909390444810544, 0.4778015613555908]
['UO', 2, 'CO', 125, 'find', 'mktemp', 'O1', 'O1', 0.9820408163265306, 0.6487569808959961]
['BO', 56, 'CO', 276, 'libvlc.so.12.0.0', 'yes', 'O3', 'O2', 0.9959370238699847, 0.34455084800720215]
['UO', 6, 'CO', 4, 'as', 'test', 'O1', 'O3', 0.996654657745754, 1.7224631309509277]
['CO', 46, 'BO', 20, 'whoami', 'sort', 'O3', 'O1', 0.9114173228346457, 0.1681346893310547]
['UO', 82, 'BO', 35, 'cmp', 'make', 'O0', 'O3', 0.9573378839590444, 0.6210780143737793]
['UO', 43, 'BO', 18, 'find', 'libvlc.so.12.0.0', 'O2', 'O1', 0.973523960815462, 3.105862617492676]
['UO', 41, 'CO', 385, 'locate', 'hostid', 'O2', 'O0', 0.9762340036563071, 0.21639060974121094]
['CO', 127, 'UO', 46, 'pr', 'readelf', 'O1', 'O3', 0.9658291457286432, 0.9283926486968994]
['BO', 0, 'CO', 104, 'codeblocks', 'sha384sum', 'O1', 'O1', 0.9987580725285643, 4.154640197753906]
['UO', 78, 'CO', 195, 'elfedit', 'comm', 'O0', 'O1', 0.968365553602812, 0.09951162338256836]
['CO', 407, 'UO', 58, 'sha224sum', 'objdump', 'O0', 'O3', 0.9790033222591362, 2.1932883262634277]
['CO', 134, 'UO', 42, 'expand', 'xargs', 'O1', 'O2', 0.9672131147540983, 0.15028762817382812]
['UO', 16, 'CO', 137, 'size', 'chown', 'O1', 'O1', 0.9848936593122639, 1.8720791339874268]
['UO', 5, 'CO', 51, 'readelf', 'realpath', 'O1', 'O3', 0.9903381642512077, 0.7095365524291992]
['UO', 24, 'CO', 13, 'diff', 'printenv', 'O2', 'O3', 0.989010989010989, 0.15092110633850098]
['BO', 48, 'CO', 245, 'libvlccore.so.9.0.0', 'truncate', 'O0', 'O2', 0.9991353843936883, 2.685854196548462]
['CO', 51, 'UO', 61, 'realpath', 'find', 'O3', 'O3', 0.9618966977138018, 0.6282670497894287]
['BO', 59, 'CO', 349, 'libgeany.so.0.0.0', 'truncate', 'O3', 'O0', 0.9991147504702889, 6.617084980010986]
['UO', 13, 'CO', 261, 'addr2line', 'chmod', 'O1', 'O2', 0.9902834008097166, 1.4709577560424805]
['BO', 67, 'UO', 81, 'libSDL2-2.0.so.0.16.0', 'diff3', 'O1', 'O0', 0.9906954550876774, 3.6529645919799805]
['UO', 38, 'CO', 232, 'elfedit', 'tee', 'O2', 'O2', 0.9722222222222222, 0.08560466766357422]
['BO', 9, 'UO', 27, 'git', 'strip', 'O0', 'O2', 0.9913606911447084, 87.22100186347961]
['UO', 6, 'CO', 188, 'as', 'vdir', 'O1', 'O1', 0.9922826480163994, 4.803521394729614]
['CO', 247, 'BO', 27, 'paste', 'perl', 'O2', 'O3', 0.9911099658571152, 2.3120975494384766]
['UO', 79, 'CO', 24, 'size', 'tee', 'O0', 'O3', 0.9969170403587444, 1.710573673248291]
['CO', 372, 'UO', 64, 'base64', 'diff', 'O0', 'O3', 0.9282218597063622, 0.2508978843688965]
['UO', 71, 'CO', 118, 'c++filt', 'stty', 'O0', 'O1', 0.9954815024004519, 1.9909284114837646]
['BO', 0, 'CO', 313, 'codeblocks', 'touch', 'O1', 'O0', 0.9975484187300809, 7.643275022506714]
['CO', 130, 'UO', 8, 'kill', 'c++filt', 'O1', 'O1', 0.9678034314763821, 1.04325270652771]
['CO', 40, 'UO', 51, 'sync', 'objcopy', 'O3', 'O3', 0.9814252545097338, 1.6259315013885498]
['CO', 175, 'BO', 59, 'readlink', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9924817572049827, 10.749414920806885]
['CO', 186, 'UO', 28, 'shuf', 'readelf', 'O1', 'O2', 0.9616991643454039, 0.8258166313171387]
['CO', 204, 'BO', 24, 'tac', 'cluster', 'O1', 'O3', 0.9399267399267399, 0.31118202209472656]
['CO', 260, 'UO', 12, 'sha256sum', 'gprof', 'O2', 'O1', 0.9790250534084288, 1.1276741027832031]
['BO', 48, 'CO', 296, 'libvlccore.so.9.0.0', 'shred', 'O0', 'O2', 0.9985776260578906, 5.07008695602417]
