['CV', 284, 'UV', 20, 'wc', 'size', 'V1', 'V2', 0.9734304692521962, 0.8116185665130615]
['BV', 22, 'CV', 202, 'cmp', 'chown', 'V3', 'V0', 0.9008547008547009, 0.07978701591491699]
['CV', 112, 'BV', 67, 'expand', 'cluster', 'V3', 'V0', 0.9636650868878357, 0.26288700103759766]
['CV', 97, 'UV', 13, 'ptx', 'strings', 'V3', 'V2', 0.9662052117263844, 1.7698595523834229]
['BV', 67, 'CV', 157, 'cluster', 'vdir', 'V0', 'V3', 0.9427645788336934, 0.7637226581573486]
['BV', 57, 'CV', 79, 'svn', 'fold', 'V2', 'V2', 0.9916666666666667, 0.4317803382873535]
['CV', 212, 'UV', 40, 'split', 'diff3', 'V0', 'V3', 0.9074380165289256, 0.07238888740539551]
['CV', 49, 'UV', 9, 'tsort', 'readelf', 'V2', 'V2', 0.9635949943117179, 0.29108166694641113]
['BV', 72, 'CV', 341, 'perl', 'uniq', 'V1', 'V1', 0.9986775402248181, 2.0853564739227295]
['BV', 61, 'CV', 340, 'cmp', 'fold', 'V0', 'V1', 0.8705035971223022, 0.021731853485107422]
['CV', 28, 'UV', 17, 'chown', 'addr2line', 'V2', 'V2', 0.9712820512820513, 1.583735466003418]
['BV', 9, 'UV', 81, 'dot', 'ld', 'V2', 'V0', 0.9916279069767442, 0.5387172698974609]
['CV', 168, 'BV', 76, 'sleep', 'diff', 'V3', 'V2', 0.891703056768559, 0.1791083812713623]
['CV', 168, 'BV', 29, 'sleep', 'perl', 'V3', 'V3', 0.9892251624148313, 2.418142080307007]
['CV', 226, 'UV', 2, 'logname', 'find', 'V0', 'V2', 0.9546925566343042, 0.1746220588684082]
['UV', 5, 'CV', 264, 'diff', 'test', 'V2', 'V1', 0.9870609981515711, 0.12883877754211426]
['UV', 1, 'CV', 252, 'xargs', 'rm', 'V2', 'V0', 0.9399249061326659, 0.12521123886108398]
