['CO', 344, 'BO', 57, 'expr', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.987467265245043, 4.204815626144409]
['CO', 254, 'BO', 16, 'whoami', 'make', 'O2', 'O0', 0.9846481876332622, 0.3833441734313965]
['CO', 113, 'UO', 77, 'du', 'ar', 'O1', 'O0', 0.9816887080366226, 4.7529377937316895]
['BO', 61, 'CO', 220, 'git', 'ptx', 'O1', 'O2', 0.9986237742989851, 6.695101737976074]
['CO', 265, 'UO', 33, 'od', 'objcopy', 'O2', 'O2', 0.975991649269311, 1.7664711475372314]
['UO', 73, 'CO', 393, 'objcopy', 'cat', 'O0', 'O0', 0.9990552668871044, 1.9936497211456299]
['UO', 44, 'CO', 372, 'nm', 'base64', 'O3', 'O0', 0.9914929817099106, 1.2229106426239014]
['UO', 23, 'CO', 50, 'cmp', 'dircolors', 'O2', 'O3', 0.9192982456140351, 0.07504701614379883]
['CO', 343, 'UO', 23, 'date', 'cmp', 'O0', 'O2', 0.9462915601023018, 0.13441109657287598]
['CO', 240, 'BO', 26, 'expr', 'gvmap', 'O2', 'O3', 0.9541469993256911, 0.3414919376373291]
['BO', 12, 'CO', 405, 'libgeany.so.0.0.0', 'nl', 'O0', 'O0', 0.9997099066866508, 6.5688560009002686]
['BO', 41, 'CO', 190, 'libSDL2-2.0.so.0.16.0', 'timeout', 'O2', 'O1', 0.9962677282906196, 2.0861833095550537]
['UO', 71, 'CO', 63, 'c++filt', 'logname', 'O0', 'O3', 0.9979942693409742, 1.3664979934692383]
['BO', 28, 'CO', 120, 'ruby', 'dirname', 'O0', 'O1', 0.9985050793327218, 4.616430044174194]
['UO', 29, 'CO', 206, 'as', 'mknod', 'O2', 'O1', 0.996505376344086, 1.4724206924438477]
['CO', 155, 'BO', 69, 'realpath', 'cmp', 'O1', 'O3', 0.9044368600682594, 0.08879971504211426]
['UO', 20, 'CO', 289, 'diff', 'cat', 'O1', 'O2', 0.9744058500914077, 0.16024279594421387]
['CO', 410, 'UO', 52, 'sleep', 'ld', 'O0', 'O3', 0.9819794453048007, 1.623110294342041]
['BO', 3, 'UO', 1, 'openssl', 'xargs', 'O1', 'O1', 0.996109790360925, 4.135160446166992]
['CO', 245, 'BO', 1, 'truncate', 'ssh', 'O2', 'O2', 0.983623641506625, 1.1198880672454834]
['CO', 198, 'UO', 48, 'rm', 'ranlib', 'O1', 'O3', 0.9644183773216031, 2.0896074771881104]
['BO', 75, 'CO', 243, 'gvmap', 'base32', 'O1', 'O2', 0.964513839602555, 0.2713315486907959]
['CO', 392, 'BO', 46, 'uname', 'ruby', 'O0', 'O3', 0.9926992358078602, 6.361554145812988]
['CO', 323, 'BO', 23, 'groups', 'git', 'O0', 'O2', 0.9912603296845931, 5.271347999572754]
['CO', 191, 'UO', 11, 'id', 'ld', 'O1', 'O1', 0.9738328053987054, 1.8282060623168945]
['CO', 356, 'UO', 33, 'seq', 'objcopy', 'O0', 'O2', 0.9732958538299368, 1.5099351406097412]
['CO', 317, 'UO', 85, 'basename', 'locate', 'O0', 'O0', 0.9536191145467322, 0.34598207473754883]
['CO', 276, 'UO', 16, 'yes', 'size', 'O2', 'O1', 0.9796997251004441, 0.7948663234710693]
['BO', 77, 'CO', 390, 'libSDL2-2.0.so.0.16.0', 'chcon', 'O3', 'O0', 0.9893153074574793, 4.481421947479248]
['CO', 161, 'UO', 81, 'od', 'diff3', 'O1', 'O0', 0.9235225955967555, 0.1734168529510498]
['UO', 42, 'CO', 239, 'xargs', 'date', 'O2', 'O2', 0.9523269012485811, 0.21782541275024414]
['CO', 161, 'UO', 53, 'od', 'gprof', 'O1', 'O3', 0.9669421487603306, 1.622983455657959]
['UO', 46, 'CO', 8, 'readelf', 'dir', 'O3', 'O3', 0.9800528014080375, 1.70540452003479]
['CO', 201, 'BO', 68, 'uniq', 'git', 'O1', 'O3', 0.9911890467757958, 6.840708255767822]
['UO', 87, 'CO', 357, 'find', 'split', 'O0', 'O0', 0.9925627517818407, 1.2057743072509766]
['UO', 16, 'CO', 278, 'size', 'b2sum', 'O1', 'O2', 0.9921600990303281, 1.1938509941101074]
['CO', 393, 'BO', 47, 'cat', 'libvlc.so.12.0.0', 'O0', 'O0', 0.9760213143872114, 0.7986233234405518]
['CO', 330, 'BO', 82, 'uptime', 'cp', 'O0', 'O3', 0.9282051282051282, 0.2646012306213379]
['BO', 18, 'CO', 91, 'libvlc.so.12.0.0', 'comm', 'O1', 'O3', 0.9930864197530864, 0.5697062015533447]
['CO', 374, 'BO', 44, 'printf', 'cmp', 'O0', 'O2', 0.9389830508474576, 0.08742761611938477]
['CO', 144, 'UO', 8, 'sync', 'c++filt', 'O1', 'O1', 0.9727717506913423, 0.9471540451049805]
['UO', 12, 'CO', 309, 'gprof', 'rmdir', 'O1', 'O2', 0.9964850615114236, 0.9688377380371094]
['BO', 54, 'CO', 47, 'lua', 'numfmt', 'O3', 'O3', 0.9920196439533456, 0.7819650173187256]
['UO', 73, 'CO', 49, 'objcopy', 'nice', 'O0', 'O3', 0.9981006647673314, 1.6046779155731201]
['CO', 115, 'UO', 9, 'groups', 'strings', 'O1', 'O1', 0.9685336689741976, 1.0657577514648438]
['CO', 299, 'BO', 49, 'comm', 'svn', 'O2', 'O0', 0.9843517138599106, 0.7035253047943115]
['UO', 18, 'CO', 59, 'diff3', 'tsort', 'O1', 'O3', 0.9470588235294117, 0.09884428977966309]
['CO', 299, 'BO', 36, 'comm', 'cluster', 'O2', 'O2', 0.9483282674772037, 0.25566673278808594]
['CO', 163, 'BO', 1, 'tsort', 'ssh', 'O1', 'O2', 0.9769843611684863, 1.4255650043487549]
['CO', 219, 'UO', 3, 'groups', 'nm', 'O2', 'O1', 0.9784990696712839, 0.9383890628814697]
['CO', 169, 'BO', 81, 'false', 'sort', 'O1', 'O3', 0.9164292497625831, 0.15296483039855957]
['UO', 41, 'CO', 328, 'locate', 'dirname', 'O2', 'O0', 0.9762989972652689, 0.22300148010253906]
['BO', 56, 'CO', 87, 'libvlc.so.12.0.0', 'id', 'O3', 'O3', 0.9952312827849309, 0.5516560077667236]
['CO', 81, 'UO', 73, 'cat', 'objcopy', 'O3', 'O0', 0.9912498521934492, 2.21814227104187]
['BO', 42, 'CO', 364, 'cmp', 'sha256sum', 'O1', 'O0', 0.9255663430420712, 0.10041642189025879]
