['BO', 71, 'CO', 247, 'libSDL2-2.0.so.0.16.0', 'paste', 'O0', 'O2', 0.9965808312853938, 1.9032678604125977]
['CO', 60, 'UO', 86, 'base64', 'xargs', 'O3', 'O0', 0.9751412429378531, 0.19213557243347168]
['BO', 4, 'CO', 35, 'libgeany.so.0.0.0', 'base32', 'O2', 'O3', 0.9993185689948892, 5.866621255874634]
['CO', 55, 'BO', 14, 'cp', 'cmp', 'O3', 'O0', 0.9625212947189097, 0.23766064643859863]
['CO', 413, 'BO', 36, 'rmdir', 'cluster', 'O0', 'O2', 0.9538346984363366, 0.30089902877807617]
['CO', 156, 'BO', 74, 'sha256sum', 'dot', 'O1', 'O1', 0.9940652818991098, 0.03618001937866211]
['CO', 99, 'UO', 35, 'sort', 'gprof', 'O3', 'O2', 0.954239091876552, 3.3523733615875244]
['BO', 33, 'CO', 102, 'sort', 'mknod', 'O2', 'O3', 0.9762845849802372, 0.1591198444366455]
['CO', 355, 'UO', 50, 'chroot', 'strings', 'O0', 'O3', 0.9704989154013015, 1.3011763095855713]
['CO', 393, 'BO', 25, 'cat', 'dot', 'O0', 'O3', 0.9885386819484241, 0.037837982177734375]
['BO', 57, 'CO', 54, 'libvlccore.so.9.0.0', 'true', 'O3', 'O3', 0.99885888170407, 1.818903923034668]
['CO', 58, 'BO', 62, 'df', 'bash', 'O3', 'O1', 0.9722144522144522, 4.822812557220459]
['CO', 219, 'UO', 2, 'groups', 'find', 'O2', 'O1', 0.9693617021276596, 0.4377782344818115]
['UO', 59, 'CO', 249, 'locate', 'echo', 'O3', 'O2', 0.9837728194726166, 0.14577984809875488]
['CO', 154, 'BO', 13, 'dircolors', 'ruby', 'O1', 'O1', 0.9930494037478705, 6.476245641708374]
['CO', 154, 'UO', 17, 'dircolors', 'objdump', 'O1', 'O1', 0.9778947368421053, 1.7891805171966553]
['UO', 34, 'CO', 98, 'ld', 'sleep', 'O2', 'O3', 0.9971735443753533, 1.2645535469055176]
['BO', 45, 'CO', 185, 'diff', 'cat', 'O2', 'O1', 0.9764065335753176, 0.17622923851013184]
['UO', 66, 'CO', 136, 'nm', 'expr', 'O0', 'O1', 0.9942339373970346, 2.1227781772613525]
['UO', 54, 'CO', 412, 'addr2line', 'tac', 'O3', 'O0', 0.9909696839389379, 1.2577948570251465]
['UO', 43, 'CO', 162, 'find', 'df', 'O2', 'O1', 0.9754224270353302, 1.021181344985962]
['UO', 63, 'CO', 332, 'cmp', 'mkfifo', 'O3', 'O0', 0.9171332586786114, 0.1764545440673828]
['UO', 67, 'CO', 286, 'strip', 'chcon', 'O0', 'O2', 0.993734772015315, 2.9685051441192627]
['BO', 20, 'CO', 331, 'sort', 'dd', 'O1', 'O0', 0.954954954954955, 0.3676791191101074]
['CO', 211, 'BO', 34, 'unlink', 'cp', 'O2', 'O2', 0.9037433155080214, 0.11998844146728516]
