['BO', 81, 'CO', 78, 'sort', 'chcon', 'O3', 'O3', 0.9571005917159763, 0.32308411598205566]
['CO', 187, 'UO', 50, 'csplit', 'strings', 'O1', 'O3', 0.9691516709511568, 1.4970078468322754]
['BO', 66, 'UO', 48, 'svn', 'ranlib', 'O2', 'O3', 0.9542521994134897, 8.94690752029419]
['CO', 356, 'UO', 41, 'seq', 'locate', 'O0', 'O2', 0.9421276595744681, 0.2902703285217285]
['UO', 68, 'CO', 99, 'readelf', 'sort', 'O0', 'O3', 0.9914779098452567, 2.457185983657837]
['BO', 69, 'CO', 203, 'cmp', 'sort', 'O3', 'O1', 0.9257195914577531, 0.20843768119812012]
['CO', 372, 'BO', 13, 'base64', 'ruby', 'O0', 'O1', 0.9910185752194325, 7.102882146835327]
['BO', 20, 'CO', 166, 'sort', 'printf', 'O1', 'O1', 0.9589934762348555, 0.19614744186401367]
['CO', 265, 'BO', 53, 'od', 'bash', 'O2', 'O0', 0.9881474265302809, 3.932147979736328]
['CO', 276, 'UO', 20, 'yes', 'diff', 'O2', 'O1', 0.9214953271028037, 0.149336576461792]
['BO', 76, 'CO', 39, 'openssl', 'paste', 'O2', 'O3', 0.9975685234305924, 2.3064358234405518]
['CO', 142, 'BO', 37, 'sha1sum', 'gvmap', 'O1', 'O2', 0.9581297976273552, 0.3130018711090088]
['BO', 17, 'CO', 284, 'codeblocks', 'md5sum', 'O2', 'O2', 0.99850764830245, 3.4052398204803467]
['CO', 330, 'BO', 56, 'uptime', 'libvlc.so.12.0.0', 'O0', 'O3', 0.9850046860356139, 0.7900772094726562]
['CO', 173, 'UO', 38, 'who', 'elfedit', 'O1', 'O2', 0.9723661485319517, 0.10500097274780273]
['UO', 27, 'CO', 55, 'strip', 'cp', 'O2', 'O3', 0.9887658481784625, 3.3542470932006836]
['BO', 2, 'CO', 348, 'perl', 'pinky', 'O1', 'O0', 0.9980581415272146, 3.9969100952148438]
['BO', 64, 'CO', 318, 'dot', 'mkdir', 'O0', 'O0', 0.989501312335958, 0.09772825241088867]
['CO', 304, 'UO', 26, 'fold', 'nm', 'O2', 'O2', 0.9777158774373259, 0.911646842956543]
['CO', 189, 'UO', 0, '[', 'locate', 'O1', 'O1', 0.9570602807597027, 0.29443979263305664]
['UO', 71, 'CO', 287, 'c++filt', 'link', 'O0', 'O2', 0.9971106616584802, 1.0994510650634766]
['CO', 316, 'BO', 13, 'test', 'ruby', 'O0', 'O1', 0.9911588683351469, 7.729673147201538]
['BO', 73, 'CO', 76, 'cluster', 'md5sum', 'O1', 'O3', 0.9773691654879774, 0.3175315856933594]
['CO', 298, 'UO', 53, 'tr', 'gprof', 'O2', 'O3', 0.9741257327673337, 1.0580942630767822]
['BO', 45, 'CO', 198, 'diff', 'rm', 'O2', 'O1', 0.9493120926864591, 0.36928534507751465]
['UO', 47, 'CO', 28, 'as', 'factor', 'O3', 'O3', 0.9968152866242038, 2.194392442703247]
['CO', 305, 'BO', 4, 'uniq', 'libgeany.so.0.0.0', 'O2', 'O2', 0.9943205482564084, 7.662060499191284]
['BO', 82, 'CO', 77, 'cp', 'env', 'O3', 'O3', 0.9761248852157943, 0.1649765968322754]
['UO', 17, 'CO', 375, 'objdump', 'logname', 'O1', 'O0', 0.9976187326365922, 1.4238080978393555]
['UO', 52, 'CO', 262, 'ld', 'true', 'O3', 'O2', 0.9974355321270836, 0.8902008533477783]
['CO', 202, 'UO', 23, 'sleep', 'cmp', 'O1', 'O2', 0.8913480885311871, 0.06108498573303223]
['CO', 305, 'UO', 27, 'uniq', 'strip', 'O2', 'O2', 0.9749293785310734, 1.3795466423034668]
