['UV', 38, 'CV', 294, 'xargs', 'sync', 'V3', 'V1', 0.9775280898876404, 0.07659125328063965]
['UV', 57, 'BV', 45, 'strings', 'svn', 'V1', 'V3', 0.9884863802302724, 9.151043176651001]
['CV', 69, 'BV', 81, 'csplit', 'dot', 'V2', 'V1', 0.9971590909090909, 0.06655097007751465]
['CV', 158, 'UV', 65, '[', 'objdump', 'V3', 'V1', 0.975811209439528, 1.787240743637085]
['UV', 22, 'CV', 7, 'nm', 'dir', 'V3', 'V2', 0.9917711598746082, 2.334388017654419]
['UV', 31, 'CV', 99, 'gprof', 'stty', 'V3', 'V3', 0.9953152449736482, 1.3630521297454834]
['BV', 53, 'CV', 209, 'ssh', 'sum', 'V2', 'V0', 0.9992393701985244, 2.3516547679901123]
['UV', 44, 'CV', 125, 'diff3', 'split', 'V1', 'V3', 0.9105199516324063, 0.269336462020874]
['UV', 68, 'CV', 136, 'diff', 'tsort', 'V0', 'V3', 0.9661016949152542, 0.34789204597473145]
['CV', 44, 'BV', 81, 'true', 'dot', 'V2', 'V1', 1.0, 0.041417837142944336]
['BV', 31, 'UV', 15, 'codeblocks', 'ld', 'V0', 'V2', 0.9871270286423612, 79.7718346118927]
['CV', 289, 'BV', 73, 'chown', 'geany', 'V1', 'V0', 0.9895164741121095, 6.595009088516235]
['CV', 270, 'BV', 50, 'users', 'sort', 'V1', 'V0', 0.8778625954198473, 0.05895376205444336]
['BV', 24, 'CV', 7, 'git', 'dir', 'V0', 'V2', 0.9977708687745644, 7.541238307952881]
['CV', 215, 'UV', 55, 'nice', 'ranlib', 'V0', 'V1', 0.9842296805499393, 0.7395079135894775]
['BV', 35, 'CV', 160, 'libvlccore.so', 'shred', 'V2', 'V3', 0.9988782950084127, 3.451032876968384]
['UV', 15, 'CV', 204, 'ld', 'pinky', 'V2', 'V0', 0.9977116704805492, 1.2480337619781494]
['UV', 44, 'CV', 150, 'diff3', 'mv', 'V1', 'V3', 0.8873239436619719, 0.30556583404541016]
['CV', 55, 'BV', 76, 'nohup', 'diff', 'V2', 'V2', 0.9004444444444445, 0.1691133975982666]
['BV', 8, 'CV', 101, 'cluster', 'dirname', 'V2', 'V3', 0.9761549925484352, 0.2455005645751953]
['BV', 46, 'UV', 59, 'cluster', 'ld', 'V3', 'V1', 0.9501328945703076, 6.086957693099976]
['CV', 256, 'BV', 68, 'sort', 'dot', 'V0', 'V0', 0.9953703703703703, 0.041440486907958984]
['BV', 77, 'CV', 153, 'perl', 'link', 'V2', 'V3', 0.9985693848354793, 2.3446948528289795]
['UV', 57, 'CV', 130, 'strings', 'chmod', 'V1', 'V3', 0.9935379644588045, 1.6038241386413574]
