['CO', 226, 'UO', 6, 'uptime', 'as', 'O2', 'O1', 0.9803744351194319, 1.8346278667449951]
['BO', 50, 'CO', 294, 'perl', 'timeout', 'O2', 'O2', 0.9976242328251831, 2.943209409713745]
['UO', 19, 'CO', 77, 'cmp', 'env', 'O1', 'O3', 0.9369202226345084, 0.06647562980651855]
['UO', 86, 'CO', 63, 'xargs', 'logname', 'O0', 'O3', 0.9807923169267707, 0.1510767936706543]
['CO', 69, 'BO', 14, 'who', 'cmp', 'O3', 'O0', 0.9281437125748503, 0.1061394214630127]
['CO', 135, 'UO', 57, 'date', 'size', 'O1', 'O3', 0.9626207475850483, 1.6383395195007324]
['UO', 28, 'CO', 129, 'readelf', 'chgrp', 'O2', 'O1', 0.9795221843003413, 0.9580168724060059]
['UO', 15, 'CO', 151, 'elfedit', 'numfmt', 'O1', 'O1', 0.943986820428336, 0.11182165145874023]
['CO', 147, 'UO', 40, 'chroot', 'objdump', 'O1', 'O2', 0.9769616479197724, 1.9434614181518555]
['BO', 55, 'CO', 65, 'make', 'false', 'O1', 'O3', 0.9886899151743638, 0.3589143753051758]
['CO', 316, 'UO', 56, 'test', 'elfedit', 'O0', 'O3', 0.9761499148211243, 0.10830116271972656]
['CO', 46, 'UO', 60, 'whoami', 'xargs', 'O3', 'O3', 0.9555555555555556, 0.12597942352294922]
['UO', 61, 'CO', 119, 'find', 'join', 'O3', 'O1', 0.9820819112627986, 0.6118345260620117]
