['BV', 33, 'CV', 170, 'openssl', 'tac', 'V0', 'V3', 0.9987438500994452, 4.268621444702148]
['UV', 44, 'CV', 83, 'diff3', 'tac', 'V1', 'V2', 0.8914893617021277, 0.17615914344787598]
['CV', 56, 'BV', 3, 'yes', 'diff', 'V2', 'V1', 0.8739495798319328, 0.1171727180480957]
['UV', 48, 'CV', 302, 'locate', 'nice', 'V1', 'V1', 0.982202447163515, 0.09052276611328125]
['BV', 50, 'CV', 140, 'sort', 'tty', 'V0', 'V3', 0.9381443298969072, 0.06903576850891113]
['UV', 55, 'BV', 53, 'ranlib', 'ssh', 'V1', 'V2', 0.975019691684483, 52.734047651290894]
['UV', 46, 'BV', 13, 'diff', 'cp', 'V1', 'V2', 0.9642657733109994, 0.5863375663757324]
['UV', 16, 'CV', 140, 'gprof', 'tty', 'V2', 'V3', 0.9976359338061466, 0.9312491416931152]
['UV', 12, 'BV', 20, 'c++filt', 'sort', 'V2', 'V1', 0.9950443939706793, 1.6217155456542969]
['CV', 286, 'BV', 54, 'expand', 'lua', 'V1', 'V3', 0.9741016510197474, 0.45366334915161133]
['CV', 52, 'BV', 45, 'logname', 'svn', 'V2', 'V3', 0.98356555912826, 0.5729341506958008]
['CV', 93, 'BV', 18, 'fmt', 'sort', 'V3', 'V3', 0.8973913043478261, 0.20398497581481934]
['CV', 105, 'BV', 53, 'pwd', 'ssh', 'V3', 'V2', 0.9861069163394744, 3.221064329147339]
['BV', 32, 'CV', 115, 'perl', 'chown', 'V0', 'V3', 0.9961414790996784, 3.865490198135376]
['UV', 36, 'CV', 10, 'objdump', 'ptx', 'V3', 'V2', 0.994619523443505, 3.743497848510742]
['CV', 16, 'UV', 51, 'dd', 'nm', 'V2', 'V1', 0.9727072044952839, 1.69728684425354]
['BV', 13, 'UV', 82, 'cp', 'gprof', 'V2', 'V0', 0.9669881305637982, 2.8185153007507324]
['CV', 39, 'UV', 60, 'whoami', 'gprof', 'V2', 'V1', 0.9816118935837246, 0.8807811737060547]
['CV', 317, 'BV', 81, 'yes', 'dot', 'V1', 'V1', 0.9900990099009901, 0.019159317016601562]
['CV', 242, 'BV', 24, 'cat', 'git', 'V0', 'V0', 0.9933574879227053, 2.106419086456299]
['UV', 30, 'BV', 50, 'ld', 'sort', 'V3', 'V0', 0.9969444444444444, 1.93965482711792]
['BV', 27, 'CV', 267, 'libSDL2-2.0.so', 'fmt', 'V1', 'V1', 0.9969423210562891, 1.000948190689087]
['BV', 13, 'CV', 42, 'cp', 'dircolors', 'V2', 'V2', 0.9755555555555555, 0.12034964561462402]
['CV', 67, 'BV', 3, 'uname', 'diff', 'V2', 'V1', 0.9063475546305931, 0.13223695755004883]
['BV', 70, 'UV', 15, 'ssh', 'ld', 'V0', 'V2', 0.9878919590189382, 60.96218943595886]
['CV', 101, 'BV', 19, 'dirname', 'cp', 'V3', 'V3', 0.8883632923368022, 0.16521716117858887]
['CV', 260, 'BV', 31, 'ln', 'codeblocks', 'V0', 'V0', 0.9953880616682039, 3.957468032836914]
['UV', 31, 'BV', 6, 'gprof', 'libvlc.so', 'V3', 'V0', 0.9877537866580728, 5.131628513336182]
['UV', 39, 'BV', 83, 'find', 'git', 'V3', 'V2', 0.9737839799951601, 38.93454933166504]
['BV', 71, 'CV', 319, 'ruby', 'readlink', 'V1', 'V1', 0.989247311827957, 0.010406732559204102]
['CV', 262, 'UV', 28, 'stat', 'strings', 'V1', 'V3', 0.9797757748955814, 0.857297420501709]
['CV', 6, 'UV', 5, 'fmt', 'diff', 'V2', 'V2', 0.9199288256227758, 0.16745352745056152]
['CV', 254, 'BV', 7, 'uniq', 'libSDL2-2.0.so', 'V0', 'V0', 0.977411258515597, 1.2630109786987305]
['CV', 117, 'UV', 23, 'pinky', 'strip', 'V3', 'V3', 0.9761570827489481, 1.5300955772399902]
['UV', 61, 'CV', 288, 'addr2line', 'expr', 'V1', 'V1', 0.9948433161443871, 1.745760440826416]
['CV', 313, 'UV', 25, 'logname', 'as', 'V1', 'V3', 0.9855723424527018, 0.9123072624206543]
['CV', 207, 'BV', 2, 'sync', 'cmp', 'V0', 'V1', 0.8442822384428224, 0.0378875732421875]
['BV', 36, 'CV', 222, 'libvlc.so', 'df', 'V2', 'V0', 0.9943741209563994, 0.5098528861999512]
['CV', 269, 'UV', 67, 'du', 'cmp', 'V1', 'V0', 0.9380281690140845, 0.10349845886230469]
['CV', 228, 'UV', 62, 'false', 'ar', 'V0', 'V1', 0.9873983739837399, 0.5873992443084717]
['CV', 22, 'UV', 20, 'kill', 'size', 'V2', 'V2', 0.9752401280683031, 0.8605599403381348]
['CV', 334, 'BV', 32, 'shred', 'perl', 'V1', 'V0', 0.9820476858345021, 2.6606431007385254]
['UV', 74, 'CV', 8, 'strip', 'du', 'V0', 'V2', 0.9905556430033056, 2.8097410202026367]
['BV', 57, 'CV', 43, 'svn', 'chmod', 'V2', 'V2', 0.9879414298018949, 0.7283787727355957]
['UV', 18, 'CV', 193, 'ar', 'pr', 'V2', 'V0', 0.9948525044545634, 1.201977014541626]
['CV', 134, 'BV', 47, 'od', 'dot', 'V3', 'V3', 1.0, 0.04900979995727539]
['CV', 231, 'BV', 33, 'who', 'openssl', 'V0', 'V0', 0.9897900110520499, 3.4732322692871094]
['BV', 62, 'UV', 83, 'diff', 'addr2line', 'V0', 'V0', 0.9627770807193643, 1.8559560775756836]
['CV', 157, 'BV', 67, 'vdir', 'cluster', 'V3', 'V0', 0.9535637149028078, 0.7486095428466797]
['CV', 345, 'BV', 51, 'rmdir', 'cp', 'V1', 'V0', 0.89198606271777, 0.060871124267578125]
['UV', 18, 'CV', 150, 'ar', 'mv', 'V2', 'V3', 0.9887915936952715, 3.47841739654541]
['UV', 0, 'BV', 75, 'locate', 'cmp', 'V2', 'V2', 0.9481481481481482, 0.12814784049987793]
['CV', 87, 'UV', 19, 'touch', 'elfedit', 'V3', 'V2', 0.9915373765867419, 0.12770414352416992]
['UV', 43, 'CV', 28, 'sdiff', 'chown', 'V3', 'V2', 0.912826899128269, 0.14486026763916016]
['CV', 328, 'BV', 42, 'uname', 'libvlc.so', 'V1', 'V1', 0.9887323943661972, 0.30859827995300293]
['UV', 40, 'CV', 224, 'diff3', 'cksum', 'V3', 'V0', 0.9561243144424132, 0.049257755279541016]
['CV', 202, 'UV', 55, 'chown', 'ranlib', 'V0', 'V1', 0.9749216300940439, 1.3606598377227783]
['BV', 46, 'CV', 32, 'cluster', 'paste', 'V3', 'V2', 0.9847677075399848, 0.21317720413208008]
['BV', 27, 'UV', 56, 'libSDL2-2.0.so', 'c++filt', 'V1', 'V1', 0.9820776057073256, 23.607487440109253]
['CV', 46, 'UV', 24, 'cut', 'readelf', 'V2', 'V3', 0.9715120525931337, 0.5449244976043701]
['UV', 41, 'CV', 10, 'cmp', 'ptx', 'V3', 'V2', 0.9046653144016227, 0.15271878242492676]
['UV', 2, 'CV', 222, 'find', 'df', 'V2', 'V0', 0.991701244813278, 0.2782626152038574]
['CV', 152, 'BV', 30, 'env', 'bash', 'V3', 'V0', 0.9820086540651333, 1.6656506061553955]
['CV', 59, 'BV', 18, 'head', 'sort', 'V2', 'V3', 0.9181494661921709, 0.19051647186279297]
['BV', 42, 'UV', 19, 'libvlc.so', 'elfedit', 'V1', 'V2', 0.990521327014218, 0.35869574546813965]
['CV', 223, 'BV', 82, 'tsort', 'gvmap', 'V0', 'V1', 0.9661515820456218, 0.1976335048675537]
['CV', 9, 'UV', 7, 'users', 'nm', 'V2', 'V2', 0.976890756302521, 0.8869309425354004]
['CV', 298, 'UV', 4, 'seq', 'cmp', 'V1', 'V2', 0.8693693693693694, 0.04777026176452637]
['BV', 15, 'CV', 161, 'libvlccore.so', 'pathchk', 'V3', 'V3', 0.9990869664460169, 1.9496772289276123]
['CV', 137, 'UV', 63, 'cksum', 'elfedit', 'V3', 'V1', 0.984, 0.07770037651062012]
['CV', 198, 'UV', 19, 'factor', 'elfedit', 'V0', 'V2', 0.9706601466992665, 0.05337214469909668]
['BV', 68, 'CV', 166, 'dot', 'fold', 'V0', 'V3', 0.9940119760479041, 0.030722618103027344]
['CV', 170, 'UV', 5, 'tac', 'diff', 'V3', 'V2', 0.8788870703764321, 0.22322392463684082]
['CV', 75, 'UV', 73, 'tr', 'nm', 'V2', 'V0', 0.973712561947856, 1.0498955249786377]
['UV', 83, 'CV', 150, 'addr2line', 'mv', 'V0', 'V3', 0.9870599429115129, 3.122753143310547]
['UV', 33, 'BV', 80, 'ar', 'cluster', 'V3', 'V1', 0.985854752458168, 3.8868651390075684]
['CV', 95, 'BV', 70, 'du', 'ssh', 'V3', 'V0', 0.9703447237693813, 6.973660707473755]
['CV', 199, 'UV', 63, 'expand', 'elfedit', 'V0', 'V1', 0.9603960396039604, 0.05283522605895996]
['CV', 150, 'UV', 53, 'mv', 'readelf', 'V3', 'V1', 0.9697104677060133, 1.00728440284729]
['UV', 50, 'CV', 112, 'find', 'expand', 'V1', 'V3', 0.987111892208553, 0.30988264083862305]
['CV', 300, 'UV', 84, 'whoami', 'ar', 'V1', 'V0', 0.9860080559677761, 0.6168110370635986]
['CV', 67, 'BV', 32, 'uname', 'perl', 'V2', 'V0', 0.984484389782403, 1.414475917816162]
['CV', 239, 'BV', 43, 'env', 'lua', 'V0', 'V0', 0.9699064660431069, 0.2941105365753174]
['BV', 41, 'CV', 143, 'libvlccore.so', 'yes', 'V1', 'V3', 0.9989718545174142, 1.4771826267242432]
['UV', 55, 'CV', 167, 'ranlib', 'uniq', 'V1', 'V3', 0.9961240310077519, 1.3435447216033936]
['CV', 253, 'BV', 52, 'fold', 'libSDL2-2.0.so', 'V0', 'V2', 0.9874771719279938, 1.439337968826294]
['BV', 25, 'CV', 291, 'git', 'pinky', 'V3', 'V1', 0.9991827283252741, 4.765162944793701]
['CV', 43, 'UV', 38, 'chmod', 'xargs', 'V2', 'V3', 0.9559164733178654, 0.20283889770507812]
['UV', 22, 'BV', 35, 'nm', 'libvlccore.so', 'V3', 'V2', 0.9766434648105182, 29.932422399520874]
['UV', 85, 'CV', 230, 'elfedit', 'yes', 'V0', 'V0', 0.9843342036553525, 0.04646635055541992]
['CV', 173, 'BV', 43, 'ln', 'lua', 'V3', 'V0', 0.9366172924560799, 1.114339828491211]
['UV', 55, 'CV', 162, 'ranlib', 'tr', 'V1', 'V3', 0.9956997654417513, 1.2483069896697998]
['BV', 73, 'UV', 82, 'geany', 'gprof', 'V0', 'V0', 0.9936741767764298, 64.94260501861572]
['CV', 222, 'BV', 17, 'df', 'codeblocks', 'V0', 'V2', 0.9950813469542187, 4.969338893890381]
