['UO', 8, 'CO', 139, 'c++filt', 'base32', 'O1', 'O1', 0.9932517924926192, 1.0851671695709229]
['CO', 39, 'BO', 5, 'paste', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9930843181213664, 7.275976896286011]
['UO', 69, 'CO', 293, 'as', '[', 'O0', 'O2', 0.9960875640428505, 2.367856025695801]
['CO', 334, 'BO', 81, 'pwd', 'sort', 'O0', 'O3', 0.9109170305676856, 0.22040033340454102]
['CO', 94, 'UO', 42, 'rm', 'xargs', 'O3', 'O2', 0.9660678642714571, 0.2597684860229492]
['CO', 52, 'UO', 48, 'sha256sum', 'ranlib', 'O3', 'O3', 0.9669657422512234, 1.1831927299499512]
['CO', 70, 'UO', 28, 'b2sum', 'readelf', 'O3', 'O2', 0.9611992945326279, 0.7280941009521484]
['BO', 21, 'CO', 237, 'cp', 'nproc', 'O1', 'O2', 0.9695431472081218, 0.13480067253112793]
['CO', 31, 'BO', 16, 'date', 'make', 'O3', 'O0', 0.9719484457922669, 0.8587372303009033]
['UO', 77, 'BO', 65, 'ar', 'gvmap', 'O0', 'O0', 0.9817690749493585, 8.829917907714844]
['CO', 52, 'UO', 84, 'sha256sum', 'sdiff', 'O3', 'O0', 0.9408602150537635, 0.12845993041992188]
['BO', 36, 'UO', 85, 'cluster', 'locate', 'O2', 'O0', 0.9342393686979396, 1.1137030124664307]
['CO', 286, 'UO', 81, 'chcon', 'diff3', 'O2', 'O0', 0.9269911504424779, 0.191650390625]
['BO', 49, 'CO', 52, 'svn', 'sha256sum', 'O0', 'O3', 0.9956379498364231, 0.734198808670044]
['BO', 16, 'CO', 396, 'make', 'vdir', 'O0', 'O0', 0.9742568188783328, 2.033222198486328]
['CO', 99, 'UO', 40, 'sort', 'objdump', 'O3', 'O2', 0.9678916342656465, 5.112420320510864]
['CO', 117, 'UO', 37, 'printenv', 'ar', 'O1', 'O2', 0.9765721331689272, 0.9110920429229736]
['BO', 78, 'CO', 314, 'ssh', 'stat', 'O0', 'O0', 0.9925533115198014, 4.176448583602905]
['CO', 40, 'UO', 7, 'sync', 'ranlib', 'O3', 'O1', 0.9815360439992143, 1.0564744472503662]
['UO', 73, 'CO', 339, 'objcopy', 'wc', 'O0', 'O0', 0.9983614232209738, 2.490821361541748]
['UO', 0, 'CO', 42, 'locate', 'sum', 'O1', 'O3', 0.9867549668874173, 0.25325822830200195]
['CO', 176, 'UO', 67, 'head', 'strip', 'O1', 'O0', 0.986801791185482, 2.4176340103149414]
['CO', 90, 'UO', 42, 'tr', 'xargs', 'O3', 'O2', 0.9673366834170855, 0.1631782054901123]
['BO', 27, 'CO', 360, 'perl', 'ls', 'O3', 'O0', 0.9931757250792104, 12.039753675460815]
