['UO', 59, 'BO', 65, 'locate', 'gvmap', 'O3', 'O0', 0.9422551697229808, 1.2069084644317627]
['BO', 16, 'CO', 326, 'make', 'stty', 'O0', 'O0', 0.9858267716535433, 0.7205979824066162]
['CO', 79, 'BO', 36, 'link', 'cluster', 'O3', 'O2', 0.9560938682816048, 0.25504517555236816]
['BO', 34, 'CO', 248, 'cp', 'sync', 'O2', 'O2', 0.9704329461457233, 0.12258338928222656]
['CO', 132, 'UO', 49, 'factor', 'c++filt', 'O1', 'O3', 0.9664660361134996, 1.4299046993255615]
['UO', 43, 'BO', 32, 'find', 'ruby', 'O2', 'O2', 0.9761904761904762, 44.83807826042175]
['CO', 347, 'BO', 52, 'base32', 'svn', 'O0', 'O3', 0.9906723668869024, 0.9069509506225586]
['UO', 56, 'CO', 343, 'elfedit', 'date', 'O3', 'O0', 0.9608865710560626, 0.17089200019836426]
['BO', 14, 'CO', 76, 'cmp', 'md5sum', 'O0', 'O3', 0.9239302694136291, 0.09503602981567383]
['UO', 11, 'CO', 1, 'ld', 'touch', 'O1', 'O3', 0.996505376344086, 2.608081340789795]
['UO', 80, 'CO', 305, 'objdump', 'uniq', 'O0', 'O2', 0.9981376292019741, 2.7812747955322266]
['CO', 112, 'BO', 50, 'dir', 'perl', 'O1', 'O2', 0.9796230259806419, 9.472347497940063]
['CO', 308, 'BO', 73, 'tac', 'cluster', 'O2', 'O1', 0.9484536082474226, 0.27826452255249023]
['BO', 50, 'CO', 297, 'perl', 'pathchk', 'O2', 'O2', 0.9981417573666047, 2.053177833557129]
['CO', 15, 'UO', 13, 'join', 'addr2line', 'O3', 'O1', 0.965245504142251, 1.5478761196136475]
['UO', 31, 'CO', 301, 'c++filt', 'nl', 'O2', 'O2', 0.9964773227653017, 0.9038882255554199]
['CO', 307, 'BO', 37, 'sort', 'gvmap', 'O2', 'O2', 0.9436619718309859, 1.2886772155761719]
['CO', 205, 'UO', 19, 'rmdir', 'cmp', 'O1', 'O1', 0.8823529411764706, 0.11949586868286133]
['BO', 53, 'CO', 388, 'bash', 'md5sum', 'O0', 'O0', 0.9962546816479401, 3.216784715652466]
['CO', 269, 'BO', 60, 'cksum', 'openssl', 'O2', 'O0', 0.9959579628132579, 2.6682469844818115]
['UO', 81, 'CO', 185, 'diff3', 'cat', 'O0', 'O1', 0.9286733238231099, 0.11246275901794434]
['CO', 244, 'UO', 23, 'pinky', 'cmp', 'O2', 'O2', 0.9083969465648855, 0.0690457820892334]
['BO', 79, 'CO', 336, 'bash', 'tee', 'O3', 'O0', 0.994838480021358, 2.661344289779663]
