['BO', 10, 'UO', 41, 'openssl', 'locate', 'O3', 'O2', 0.9933713102019679, 6.849380254745483]
['CO', 385, 'BO', 11, 'hostid', 'ssh', 'O0', 'O1', 0.9789442467378411, 1.4076955318450928]
['CO', 226, 'BO', 68, 'uptime', 'git', 'O2', 'O3', 0.9922125118975512, 5.553974151611328]
['BO', 62, 'CO', 122, 'bash', 'uptime', 'O1', 'O1', 0.9961674810769379, 2.644188642501831]
['CO', 56, 'BO', 53, 'cut', 'bash', 'O3', 'O0', 0.9900473160385055, 3.5318045616149902]
['CO', 269, 'BO', 13, 'cksum', 'ruby', 'O2', 'O1', 0.9948751238511736, 4.424455404281616]
['UO', 17, 'CO', 221, 'objdump', 'printenv', 'O1', 'O2', 0.9965319461117781, 1.0652246475219727]
['UO', 84, 'CO', 47, 'sdiff', 'numfmt', 'O0', 'O3', 0.944792973651192, 0.1352219581604004]
['CO', 335, 'BO', 41, 'pr', 'libSDL2-2.0.so.0.16.0', 'O0', 'O2', 0.9699503210953593, 4.687920093536377]
['CO', 85, 'UO', 24, '[', 'diff', 'O3', 'O2', 0.8789915966386554, 0.2264387607574463]
['CO', 43, 'BO', 7, 'chroot', 'sort', 'O3', 'O0', 0.9203007518796993, 0.2876780033111572]
['UO', 84, 'CO', 362, 'sdiff', 'dircolors', 'O0', 'O0', 0.9481582537517054, 0.12618780136108398]
['UO', 3, 'CO', 230, 'nm', 'pwd', 'O1', 'O2', 0.9929853517639777, 0.9322769641876221]
['UO', 22, 'CO', 251, 'diff3', 'chroot', 'O2', 'O2', 0.9, 0.08017611503601074]
['BO', 65, 'UO', 68, 'gvmap', 'readelf', 'O0', 'O0', 0.9602102102102102, 4.60378098487854]
['UO', 87, 'CO', 57, 'find', 'od', 'O0', 'O3', 0.9937402190923318, 1.0338554382324219]
['BO', 9, 'CO', 383, 'git', 'readlink', 'O0', 'O0', 0.9990506602226633, 5.735813617706299]
['BO', 55, 'CO', 147, 'make', 'chroot', 'O1', 'O1', 0.9807780320366133, 0.4991030693054199]
['CO', 214, 'BO', 80, 'mkdir', 'ssh', 'O2', 'O3', 0.9824278810953287, 1.7255020141601562]
['BO', 4, 'CO', 350, 'libgeany.so.0.0.0', 'sha1sum', 'O2', 'O0', 0.9995465195374499, 7.389203310012817]
['BO', 54, 'CO', 124, 'lua', 'mkfifo', 'O3', 'O1', 0.9871794871794872, 0.5750856399536133]
['BO', 73, 'UO', 81, 'cluster', 'diff3', 'O1', 'O0', 0.9611528822055138, 0.5256273746490479]
['BO', 9, 'CO', 236, 'git', 'factor', 'O0', 'O2', 0.9987075093705571, 5.840078592300415]
