['CV', 223, 'BV', 2, 'tsort', 'cmp', 'V0', 'V1', 0.8468468468468469, 0.044725894927978516]
['BV', 0, 'CV', 316, 'bash', 'nohup', 'V2', 'V1', 0.9985572959604286, 1.3888509273529053]
['BV', 18, 'CV', 1, 'sort', 'stat', 'V3', 'V2', 0.9799453053783045, 0.16643118858337402]
['BV', 54, 'CV', 164, 'lua', 'nl', 'V3', 'V3', 0.9944047248989742, 0.7178432941436768]
['UV', 49, 'CV', 310, 'xargs', 'tsort', 'V1', 'V1', 0.9400428265524625, 0.04512500762939453]
['CV', 172, 'UV', 74, 'mknod', 'strip', 'V3', 'V0', 0.9785054575986566, 1.308716058731079]
['CV', 317, 'UV', 37, 'yes', 'locate', 'V1', 'V3', 0.9749216300940439, 0.13850116729736328]
['UV', 42, 'CV', 55, 'diff', 'nohup', 'V3', 'V2', 0.9824407374890255, 0.16479110717773438]
['CV', 3, 'BV', 70, 'test', 'ssh', 'V2', 'V0', 0.986210138682128, 2.245424270629883]
['BV', 51, 'CV', 166, 'cp', 'fold', 'V0', 'V3', 0.9340974212034384, 0.0971221923828125]
['UV', 59, 'CV', 28, 'ld', 'chown', 'V1', 'V2', 0.9972175848636616, 2.1266696453094482]
['UV', 8, 'CV', 169, 'strip', 'sort', 'V2', 'V3', 0.9874233611067442, 3.656707763671875]
['CV', 75, 'UV', 64, 'tr', 'size', 'V2', 'V1', 0.9725057279733389, 1.045109748840332]
['CV', 182, 'BV', 5, 'du', 'libvlccore.so', 'V0', 'V0', 0.9860878526342909, 3.062451124191284]
['BV', 51, 'CV', 234, 'cp', 'hostid', 'V0', 'V0', 0.9715808170515098, 0.04858875274658203]
['BV', 30, 'CV', 159, 'bash', 'id', 'V0', 'V3', 0.9975073646045773, 2.010216236114502]
['CV', 33, 'BV', 65, 'sync', 'ssh', 'V2', 'V1', 0.9876326437132605, 1.7880222797393799]
['UV', 6, 'CV', 337, 'sdiff', 'comm', 'V2', 'V1', 0.9578207381370826, 0.060965776443481445]
['UV', 53, 'BV', 21, 'readelf', 'cp', 'V1', 'V1', 0.9756662804171494, 0.4897749423980713]
['BV', 81, 'UV', 79, 'dot', 'strings', 'V1', 'V0', 0.990802483329501, 0.39335060119628906]
['CV', 290, 'BV', 50, 'tail', 'sort', 'V1', 'V0', 0.8660578386605784, 0.09076714515686035]
['CV', 244, 'BV', 79, 'vdir', 'bash', 'V0', 'V3', 0.9783421178725443, 4.4785308837890625]
['BV', 3, 'CV', 70, 'diff', 'vdir', 'V1', 'V2', 0.9560906515580736, 0.39679932594299316]
['CV', 342, 'BV', 29, 'sleep', 'perl', 'V1', 'V3', 0.991229468984213, 1.624330759048462]
['BV', 16, 'CV', 38, 'libvlc.so', 'split', 'V3', 'V2', 0.9911386796632699, 0.678729772567749]
['UV', 11, 'CV', 30, 'ranlib', 'pinky', 'V2', 'V2', 0.9964028776978417, 1.0587222576141357]
['BV', 65, 'CV', 298, 'ssh', 'seq', 'V1', 'V1', 0.9987770389054498, 1.5732154846191406]
['UV', 85, 'CV', 108, 'elfedit', 'chgrp', 'V0', 'V3', 0.9730094466936572, 0.14579153060913086]
['UV', 71, 'CV', 139, 'xargs', 'logname', 'V0', 'V3', 0.910913140311804, 0.04775500297546387]
['BV', 64, 'UV', 5, 'openssl', 'diff', 'V2', 'V2', 0.9938205265986029, 5.60099458694458]
['BV', 55, 'CV', 3, 'codeblocks', 'test', 'V3', 'V2', 0.9988806666252099, 3.0800459384918213]
['UV', 64, 'CV', 206, 'size', 'paste', 'V1', 'V0', 0.9978623343309106, 0.582869291305542]
['UV', 75, 'CV', 328, 'readelf', 'uname', 'V0', 'V1', 0.9925705794947994, 0.15429019927978516]
['UV', 5, 'CV', 108, 'diff', 'chgrp', 'V2', 'V3', 0.9583632447954056, 0.34102749824523926]
['CV', 274, 'UV', 47, 'join', 'sdiff', 'V1', 'V1', 0.9146919431279621, 0.08242654800415039]
['BV', 60, 'CV', 336, 'codeblocks', 'tr', 'V1', 'V1', 0.998848, 2.935107469558716]
['CV', 336, 'UV', 61, 'tr', 'addr2line', 'V1', 'V1', 0.9750897192315812, 0.9195036888122559]
['UV', 20, 'CV', 199, 'size', 'expand', 'V2', 'V0', 0.9965442764578833, 0.6101775169372559]
['CV', 111, 'UV', 17, 'factor', 'addr2line', 'V3', 'V2', 0.9696410256410256, 1.5843334197998047]
['CV', 106, 'BV', 77, 'pr', 'perl', 'V3', 'V2', 0.9817004504504504, 4.8480305671691895]
['CV', 193, 'UV', 55, 'pr', 'ranlib', 'V0', 'V1', 0.976101860920666, 1.38901686668396]
['BV', 49, 'UV', 25, 'make', 'as', 'V3', 'V3', 0.9427456083279115, 10.76623272895813]
['UV', 52, 'CV', 44, 'strip', 'true', 'V1', 'V2', 0.9980276134122288, 0.803342342376709]
['UV', 57, 'CV', 120, 'strings', 'sync', 'V1', 'V3', 0.9974731522425774, 0.9208941459655762]
['UV', 2, 'CV', 312, 'find', 'printf', 'V2', 'V1', 0.9950186799501868, 0.22014927864074707]
['UV', 46, 'BV', 35, 'diff', 'libvlccore.so', 'V1', 'V2', 0.9855663633511139, 8.6140615940094]
['UV', 1, 'CV', 326, 'xargs', 'env', 'V2', 'V1', 0.9811616954474097, 0.05893731117248535]
['CV', 199, 'BV', 16, 'expand', 'libvlc.so', 'V0', 'V3', 0.9910714285714286, 0.3865687847137451]
['BV', 39, 'CV', 37, 'svn', 'seq', 'V1', 'V2', 0.9917920656634747, 0.48601531982421875]
['BV', 39, 'CV', 4, 'svn', 'basename', 'V1', 'V2', 0.9925268566090611, 0.382554292678833]
['CV', 87, 'BV', 4, 'touch', 'geany', 'V3', 'V3', 0.9907792368171902, 11.192629337310791]
['BV', 10, 'CV', 96, 'gvmap', 'users', 'V2', 'V3', 0.9781271360218728, 0.2912168502807617]
['UV', 10, 'CV', 28, 'as', 'chown', 'V2', 'V2', 0.9955485729248494, 2.2930831909179688]
['BV', 18, 'UV', 75, 'sort', 'readelf', 'V3', 'V0', 0.9452186448822681, 0.8382418155670166]
['UV', 40, 'CV', 7, 'diff3', 'dir', 'V3', 'V2', 0.892925430210325, 0.223222017288208]
['BV', 83, 'UV', 6, 'git', 'sdiff', 'V2', 'V2', 0.9985323952173351, 6.384250640869141]
['BV', 2, 'CV', 308, 'cmp', 'od', 'V1', 'V1', 0.9356060606060606, 0.0639493465423584]
['BV', 16, 'CV', 199, 'libvlc.so', 'expand', 'V3', 'V0', 0.9940476190476191, 0.2882080078125]
['CV', 90, 'UV', 23, 'test', 'strip', 'V3', 'V3', 0.9774885684136475, 1.4062952995300293]
['CV', 22, 'UV', 29, 'kill', 'objcopy', 'V2', 'V3', 0.9810680478656904, 1.0810809135437012]
['UV', 4, 'CV', 215, 'cmp', 'nice', 'V2', 'V0', 0.972027972027972, 0.03887605667114258]
['UV', 25, 'CV', 241, 'as', 'uname', 'V3', 'V0', 0.998093422306959, 0.8074827194213867]
['BV', 3, 'CV', 239, 'diff', 'env', 'V1', 'V0', 0.9889380530973452, 0.08138561248779297]
['UV', 33, 'CV', 209, 'ar', 'sum', 'V3', 'V0', 0.9975273026993612, 0.7611134052276611]
['BV', 9, 'CV', 230, 'dot', 'yes', 'V2', 'V0', 0.98989898989899, 0.01748180389404297]
['UV', 29, 'CV', 214, 'objcopy', 'ls', 'V3', 'V0', 0.9915254237288136, 2.2167468070983887]
['UV', 73, 'CV', 264, 'nm', 'test', 'V0', 'V1', 0.9951627088830255, 0.6397764682769775]
['CV', 135, 'UV', 29, 'df', 'objcopy', 'V3', 'V3', 0.9642080615487539, 2.7549798488616943]
