['CO', 115, 'BO', 59, 'groups', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9935753055422221, 7.844839811325073]
['CO', 261, 'UO', 18, 'chmod', 'diff3', 'O2', 'O1', 0.8898847631241997, 0.14408445358276367]
['CO', 28, 'BO', 33, 'factor', 'sort', 'O3', 'O2', 0.8979238754325259, 0.2529768943786621]
['CO', 298, 'UO', 64, 'tr', 'diff', 'O2', 'O3', 0.916595744680851, 0.19967293739318848]
['BO', 42, 'CO', 81, 'cmp', 'cat', 'O1', 'O3', 0.9385171790235082, 0.06865954399108887]
['CO', 362, 'UO', 75, 'dircolors', 'gprof', 'O0', 'O0', 0.9866363757851129, 2.211787700653076]
['UO', 31, 'CO', 100, 'c++filt', 'tac', 'O2', 'O3', 0.9961190168175937, 1.1533777713775635]
['UO', 63, 'CO', 264, 'cmp', 'cut', 'O3', 'O2', 0.9148936170212766, 0.06588459014892578]
['CO', 257, 'UO', 43, 'nice', 'find', 'O2', 'O2', 0.9712488769092542, 0.3862795829772949]
['BO', 81, 'CO', 84, 'sort', 'vdir', 'O3', 'O3', 0.9119351100811124, 0.5759291648864746]
['UO', 21, 'CO', 10, 'sdiff', 'users', 'O1', 'O3', 0.913312693498452, 0.09112381935119629]
['UO', 4, 'CO', 387, 'strip', 'mv', 'O1', 'O0', 0.9847641371227659, 5.691108465194702]
['BO', 29, 'CO', 325, 'libvlc.so.12.0.0', 'printenv', 'O2', 'O0', 0.992681651855724, 0.44959521293640137]
['UO', 5, 'CO', 8, 'readelf', 'dir', 'O1', 'O3', 0.978349912229374, 1.7334706783294678]
['CO', 201, 'UO', 41, 'uniq', 'locate', 'O1', 'O2', 0.9576629974597799, 0.2895243167877197]
['CO', 108, 'UO', 50, 'test', 'strings', 'O1', 'O3', 0.9716466739367503, 1.1520287990570068]
['CO', 289, 'BO', 82, 'cat', 'cp', 'O2', 'O3', 0.8969873663751214, 0.1438601016998291]
['UO', 37, 'CO', 302, 'ar', 'rm', 'O2', 'O2', 0.9902856032640373, 1.8215422630310059]
['UO', 30, 'CO', 150, 'ranlib', 'whoami', 'O2', 'O1', 0.9958982772764561, 0.8915064334869385]
['BO', 49, 'CO', 349, 'svn', 'truncate', 'O0', 'O0', 0.9897058823529412, 0.7507219314575195]
['CO', 292, 'BO', 47, 'vdir', 'libvlc.so.12.0.0', 'O2', 'O0', 0.9715536105032823, 1.7288100719451904]
['UO', 45, 'BO', 45, 'strip', 'diff', 'O3', 'O2', 0.9871650890421948, 3.564971446990967]
['CO', 147, 'UO', 21, 'chroot', 'sdiff', 'O1', 'O1', 0.9057750759878419, 0.10210633277893066]
['BO', 53, 'CO', 55, 'bash', 'cp', 'O0', 'O3', 0.9940629638309507, 8.696135520935059]
['UO', 0, 'CO', 2, 'locate', 'stat', 'O1', 'O3', 0.9772079772079773, 0.42299962043762207]
['CO', 39, 'UO', 57, 'paste', 'size', 'O3', 'O3', 0.9704090513489991, 0.9816184043884277]
['CO', 228, 'BO', 61, 'mkfifo', 'git', 'O2', 'O1', 0.9947009512226903, 3.3577075004577637]
['BO', 5, 'CO', 374, 'libgeany.so.0.0.0', 'printf', 'O1', 'O0', 0.999772382397572, 6.983571290969849]
['CO', 64, 'UO', 54, 'tty', 'addr2line', 'O3', 'O3', 0.9784283513097073, 0.881253719329834]
['CO', 256, 'UO', 77, 'ls', 'ar', 'O2', 'O0', 0.9762536314260453, 4.938641786575317]
['BO', 70, 'CO', 53, 'diff', 'chmod', 'O3', 'O3', 0.960555149744339, 0.3148667812347412]
['CO', 154, 'UO', 26, 'dircolors', 'nm', 'O1', 'O2', 0.9699725100444069, 1.1364457607269287]
['BO', 17, 'CO', 160, 'codeblocks', 'cut', 'O2', 'O1', 0.99863523573201, 4.049952268600464]
['CO', 164, 'BO', 57, 'base64', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.990339079371093, 2.9437971115112305]
['CO', 325, 'UO', 43, 'printenv', 'find', 'O0', 'O2', 0.9566946531153336, 0.4847123622894287]
['BO', 27, 'CO', 94, 'perl', 'rm', 'O3', 'O3', 0.997096692754355, 5.503450632095337]
['UO', 3, 'CO', 124, 'nm', 'mkfifo', 'O1', 'O1', 0.9900908340214699, 0.9498052597045898]
['CO', 215, 'UO', 80, 'fmt', 'objdump', 'O2', 'O0', 0.992514269673435, 2.4658517837524414]
['BO', 65, 'CO', 273, 'gvmap', 'false', 'O0', 'O2', 0.9872813990461049, 0.2813441753387451]
['CO', 186, 'UO', 6, 'shuf', 'as', 'O1', 'O1', 0.9710549701663069, 2.506084442138672]
['UO', 8, 'CO', 335, 'c++filt', 'pr', 'O1', 'O0', 0.9884, 2.0429763793945312]
['BO', 23, 'CO', 47, 'git', 'numfmt', 'O2', 'O3', 0.9989652942444492, 5.5380473136901855]
['BO', 76, 'UO', 36, 'openssl', 'addr2line', 'O2', 'O2', 0.9808656036446469, 34.613667011260986]
['CO', 196, 'BO', 67, 'sha512sum', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.9789525208027411, 2.448204755783081]
['CO', 414, 'UO', 23, 'mknod', 'cmp', 'O0', 'O2', 0.9605263157894737, 0.16621160507202148]
['BO', 8, 'CO', 32, 'cp', 'expr', 'O0', 'O3', 0.9649342517219787, 0.3376622200012207]
['CO', 259, 'BO', 30, 'realpath', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.987602517642571, 2.7886743545532227]
['CO', 217, 'BO', 17, 'du', 'codeblocks', 'O2', 'O2', 0.9883952855847689, 11.698148965835571]
['UO', 45, 'CO', 245, 'strip', 'truncate', 'O3', 'O2', 0.9956717763751127, 0.8559632301330566]
['BO', 8, 'CO', 51, 'cp', 'realpath', 'O0', 'O3', 0.9685336689741976, 0.3296327590942383]
['CO', 133, 'UO', 83, 'nproc', 'diff', 'O1', 'O0', 0.9247058823529412, 0.24811863899230957]
['CO', 248, 'UO', 15, 'sync', 'elfedit', 'O2', 'O1', 0.956989247311828, 0.06707334518432617]
['CO', 86, 'BO', 53, 'timeout', 'bash', 'O3', 'O0', 0.9902296042989741, 3.450995922088623]
['CO', 360, 'UO', 56, 'ls', 'elfedit', 'O0', 'O3', 0.9881918819188192, 0.3237752914428711]
['UO', 32, 'CO', 347, 'strings', 'base32', 'O2', 'O0', 0.9905660377358491, 1.190417766571045]
['UO', 28, 'CO', 2, 'readelf', 'stat', 'O2', 'O3', 0.9872311827956989, 1.224797010421753]
['CO', 260, 'UO', 76, 'sha256sum', 'addr2line', 'O2', 'O0', 0.9911906791702189, 1.9824073314666748]
['CO', 263, 'UO', 8, 'cp', 'c++filt', 'O2', 'O1', 0.9619771863117871, 2.9824163913726807]
['CO', 401, 'UO', 33, 'pathchk', 'objcopy', 'O0', 'O2', 0.968417317246274, 1.2680466175079346]
['UO', 67, 'BO', 32, 'strip', 'ruby', 'O0', 'O2', 0.9701856700785527, 181.6110122203827]
['UO', 36, 'CO', 386, 'addr2line', 'unexpand', 'O2', 'O0', 0.99186295503212, 1.123335361480713]
['BO', 59, 'UO', 69, 'libgeany.so.0.0.0', 'as', 'O3', 'O0', 0.9953915815984782, 233.3410623073578]
['CO', 366, 'BO', 50, 'true', 'perl', 'O0', 'O2', 0.9899311075781664, 2.349186658859253]
['CO', 385, 'BO', 61, 'hostid', 'git', 'O0', 'O1', 0.9930633833347785, 4.136892557144165]
['CO', 290, 'BO', 0, 'shuf', 'codeblocks', 'O2', 'O1', 0.9933292155651636, 5.5401835441589355]
['CO', 125, 'UO', 77, 'mktemp', 'ar', 'O1', 'O0', 0.9876526640719366, 2.3129079341888428]
['CO', 340, 'UO', 2, 'factor', 'find', 'O0', 'O1', 0.9606533036377134, 1.1098246574401855]
['BO', 27, 'CO', 228, 'perl', 'mkfifo', 'O3', 'O2', 0.9983226888587833, 2.0483272075653076]
['UO', 44, 'CO', 405, 'nm', 'nl', 'O3', 'O0', 0.9936156629070015, 1.1961839199066162]
['CO', 174, 'BO', 47, 'b2sum', 'libvlc.so.12.0.0', 'O1', 'O0', 0.9756627553237722, 0.8505618572235107]
['CO', 153, 'UO', 60, 'nice', 'xargs', 'O1', 'O3', 0.9687943262411347, 0.1314990520477295]
['UO', 82, 'CO', 74, 'cmp', 'unexpand', 'O0', 'O3', 0.9186991869918699, 0.08765721321105957]
