['UO', 34, 'CO', 304, 'ld', 'fold', 'O2', 'O2', 0.9965894557339775, 1.152115821838379]
['CO', 353, 'BO', 25, 'echo', 'dot', 'O0', 'O3', 0.9859649122807017, 0.03126382827758789]
['UO', 13, 'BO', 70, 'addr2line', 'diff', 'O1', 'O3', 0.9894121942314713, 3.259888172149658]
['UO', 24, 'CO', 15, 'diff', 'join', 'O2', 'O3', 0.970102281667978, 0.25879931449890137]
['BO', 57, 'CO', 77, 'libvlccore.so.9.0.0', 'env', 'O3', 'O3', 0.9988634211024815, 2.1557719707489014]
['UO', 38, 'CO', 114, 'elfedit', 'users', 'O2', 'O1', 0.9529411764705882, 0.08284974098205566]
['UO', 1, 'CO', 195, 'xargs', 'comm', 'O1', 'O1', 0.9510939510939511, 0.15299272537231445]
['CO', 250, 'UO', 49, 'sum', 'c++filt', 'O2', 'O3', 0.9759733036707453, 0.9493982791900635]
['UO', 36, 'BO', 76, 'addr2line', 'openssl', 'O2', 'O2', 0.9839028094153379, 39.68687081336975]
['UO', 86, 'CO', 394, 'xargs', 'shuf', 'O0', 'O0', 0.9561643835616438, 0.35491490364074707]
['UO', 84, 'CO', 411, 'sdiff', 'sort', 'O0', 'O0', 0.9337837837837838, 0.41132235527038574]
['CO', 13, 'UO', 60, 'printenv', 'xargs', 'O3', 'O3', 0.9605633802816902, 0.12494373321533203]
['BO', 23, 'UO', 55, 'git', 'ar', 'O2', 'O3', 0.9940276766205389, 70.79228043556213]
['UO', 68, 'CO', 295, 'readelf', 'id', 'O0', 'O2', 0.9926969222743871, 0.8155992031097412]
['UO', 14, 'CO', 225, 'ar', 'stdbuf', 'O1', 'O2', 0.9937106918238994, 1.0985252857208252]
['UO', 77, 'BO', 30, 'ar', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.9713249265849024, 55.14469933509827]
['UO', 7, 'CO', 410, 'ranlib', 'sleep', 'O1', 'O0', 0.9917371630926618, 1.103564739227295]
['UO', 59, 'CO', 397, 'locate', '[', 'O3', 'O0', 0.9654874892148404, 0.29877281188964844]
['UO', 21, 'CO', 307, 'sdiff', 'sort', 'O1', 'O2', 0.9381625441696113, 0.26590967178344727]
['UO', 16, 'CO', 154, 'size', 'dircolors', 'O1', 'O1', 0.9908713692946058, 1.1087863445281982]
['BO', 16, 'UO', 60, 'make', 'xargs', 'O0', 'O3', 0.9812944257388702, 0.8472926616668701]
['UO', 8, 'CO', 358, 'c++filt', 'whoami', 'O1', 'O0', 0.9915092337083422, 0.9738125801086426]
['CO', 291, 'UO', 72, 'csplit', 'strings', 'O2', 'O0', 0.9885105786745131, 2.2915873527526855]
['UO', 53, 'BO', 20, 'gprof', 'sort', 'O3', 'O1', 0.986146554866934, 3.0818288326263428]
['CO', 309, 'BO', 69, 'rmdir', 'cmp', 'O2', 'O3', 0.9026369168356998, 0.05798625946044922]
['CO', 162, 'BO', 22, 'df', 'perl', 'O1', 'O0', 0.9884520208963431, 6.7525475025177]
['UO', 50, 'CO', 400, 'strings', 'shred', 'O3', 'O0', 0.98662486938349, 1.8058958053588867]
['CO', 47, 'UO', 21, 'numfmt', 'sdiff', 'O3', 'O1', 0.9069767441860466, 0.11443376541137695]
['UO', 67, 'CO', 75, 'strip', 'mv', 'O0', 'O3', 0.993224043715847, 6.10958194732666]
['CO', 94, 'BO', 33, 'rm', 'sort', 'O3', 'O2', 0.9082278481012658, 0.3272521495819092]
['CO', 29, 'UO', 63, 'nproc', 'cmp', 'O3', 'O3', 0.9096045197740112, 0.06455326080322266]
['UO', 39, 'CO', 277, 'size', 'who', 'O2', 'O2', 0.9957118353344768, 1.025193691253662]
['UO', 81, 'BO', 47, 'diff3', 'libvlc.so.12.0.0', 'O0', 'O0', 0.9755201958384333, 1.136751413345337]
['CO', 104, 'BO', 15, 'sha384sum', 'diff', 'O1', 'O0', 0.9148936170212766, 0.2693326473236084]
['CO', 282, 'BO', 46, 'unexpand', 'ruby', 'O2', 'O3', 0.9929707227188972, 5.246217489242554]
['CO', 294, 'UO', 22, 'timeout', 'diff3', 'O2', 'O2', 0.9064516129032258, 0.08647298812866211]
['CO', 261, 'BO', 61, 'chmod', 'git', 'O2', 'O1', 0.9882069381079452, 6.444254159927368]
['CO', 14, 'BO', 68, 'stty', 'git', 'O3', 'O3', 0.9909486660057756, 6.723472356796265]
['UO', 37, 'CO', 63, 'ar', 'logname', 'O2', 'O3', 0.9971411068000817, 0.8700628280639648]
['UO', 2, 'CO', 178, 'find', 'unexpand', 'O1', 'O1', 0.985006247396918, 0.5308537483215332]
['BO', 70, 'CO', 385, 'diff', 'hostid', 'O3', 'O0', 0.980701754385965, 0.18415260314941406]
['CO', 66, 'BO', 26, 'runcon', 'gvmap', 'O3', 'O3', 0.9598566308243728, 0.2537877559661865]
['BO', 82, 'CO', 357, 'cp', 'split', 'O3', 'O0', 0.944954128440367, 0.333695650100708]
['UO', 79, 'BO', 71, 'size', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.9818806622930334, 53.21983885765076]
['CO', 346, 'BO', 29, 'tail', 'libvlc.so.12.0.0', 'O0', 'O2', 0.9827437446074202, 1.2458853721618652]
['UO', 10, 'CO', 380, 'objcopy', 'yes', 'O1', 'O0', 0.9916825506844568, 1.1611082553863525]
['CO', 330, 'UO', 36, 'uptime', 'addr2line', 'O0', 'O2', 0.9639601441594233, 1.4702301025390625]
['UO', 55, 'CO', 147, 'ar', 'chroot', 'O3', 'O1', 0.9938574938574939, 1.1455512046813965]
['CO', 115, 'BO', 51, 'groups', 'lua', 'O1', 'O1', 0.9568991319964083, 0.673452615737915]
['UO', 82, 'CO', 93, 'cmp', 'nl', 'O0', 'O3', 0.9224555735056543, 0.08941769599914551]
['CO', 413, 'BO', 17, 'rmdir', 'codeblocks', 'O0', 'O2', 0.9939164442237258, 5.027617931365967]
['BO', 4, 'CO', 89, 'libgeany.so.0.0.0', 'pathchk', 'O2', 'O3', 0.9993183625553831, 5.56111741065979]
['CO', 140, 'UO', 29, 'pinky', 'as', 'O1', 'O2', 0.9775611059169227, 1.851759910583496]
['BO', 23, 'CO', 323, 'git', 'groups', 'O2', 'O0', 0.9994808116644313, 4.6162192821502686]
['UO', 3, 'CO', 275, 'nm', 'nohup', 'O1', 'O2', 0.9921422663358147, 0.9056096076965332]
['UO', 68, 'CO', 209, 'readelf', 'touch', 'O0', 'O2', 0.9929630560442322, 1.2349755764007568]
['CO', 347, 'UO', 44, 'base32', 'nm', 'O0', 'O3', 0.9765957446808511, 1.3015875816345215]
['CO', 302, 'BO', 38, 'rm', 'acyclic', 'O2', 'O2', 0.9964093357271095, 0.060845136642456055]
['BO', 63, 'CO', 363, 'cluster', 'realpath', 'O0', 'O0', 0.9727228446176327, 0.5960721969604492]
['UO', 56, 'BO', 80, 'elfedit', 'ssh', 'O3', 'O3', 0.9744793194485186, 1.3884074687957764]
['CO', 255, 'UO', 72, 'numfmt', 'strings', 'O2', 'O0', 0.9884327831852165, 2.047193765640259]
['BO', 14, 'CO', 161, 'cmp', 'od', 'O0', 'O1', 0.8977900552486188, 0.13108062744140625]
['CO', 329, 'UO', 85, 'stdbuf', 'locate', 'O0', 'O0', 0.9545758183032732, 0.415010929107666]
