['UO', 8, 'BO', 54, 'c++filt', 'lua', 'O1', 'O3', 0.9805457984328559, 8.915399551391602]
['UO', 69, 'CO', 81, 'as', 'cat', 'O0', 'O3', 0.997951582867784, 2.37455677986145]
['BO', 36, 'UO', 56, 'cluster', 'elfedit', 'O2', 'O3', 0.9779411764705882, 0.2555394172668457]
['CO', 65, 'UO', 10, 'false', 'objcopy', 'O3', 'O1', 0.9788084071565051, 1.0326685905456543]
['UO', 54, 'CO', 279, 'addr2line', 'readlink', 'O3', 'O2', 0.9930024054231358, 0.9730899333953857]
['BO', 67, 'CO', 162, 'libSDL2-2.0.so.0.16.0', 'df', 'O1', 'O1', 0.9891252955082742, 4.3097875118255615]
['UO', 8, 'CO', 343, 'c++filt', 'date', 'O1', 'O0', 0.9899739322237818, 2.003885269165039]
['CO', 171, 'UO', 82, 'nohup', 'cmp', 'O1', 'O0', 0.8840070298769771, 0.15815043449401855]
['UO', 63, 'CO', 315, 'cmp', 'unlink', 'O3', 'O0', 0.9444444444444444, 0.13140583038330078]
['UO', 64, 'CO', 404, 'diff', 'sha512sum', 'O3', 'O0', 0.9696969696969697, 0.5166769027709961]
['UO', 48, 'CO', 15, 'ranlib', 'join', 'O3', 'O3', 0.9932067932067932, 1.6116704940795898]
['CO', 387, 'UO', 56, 'mv', 'elfedit', 'O0', 'O3', 0.9896707553260168, 0.38289499282836914]
['CO', 104, 'BO', 43, 'sha384sum', 'diff', 'O1', 'O1', 0.8886032562125107, 0.2287437915802002]
['BO', 20, 'UO', 15, 'sort', 'elfedit', 'O1', 'O1', 0.9833178869323448, 0.2504298686981201]
['BO', 15, 'CO', 310, 'diff', 'mknod', 'O0', 'O2', 0.9710144927536232, 0.1921675205230713]
['CO', 279, 'BO', 57, 'readlink', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.9890130706573215, 3.0566911697387695]
['BO', 36, 'CO', 19, 'cluster', 'dd', 'O2', 'O3', 0.9632352941176471, 0.5204353332519531]
['BO', 11, 'CO', 186, 'ssh', 'shuf', 'O1', 'O1', 0.9904679376083189, 2.274296760559082]
['BO', 47, 'CO', 90, 'libvlc.so.12.0.0', 'tr', 'O0', 'O3', 0.9912510936132983, 0.6650950908660889]
['UO', 79, 'BO', 21, 'size', 'cp', 'O0', 'O1', 0.99057344854674, 5.181134462356567]
['UO', 74, 'CO', 308, 'ld', 'tac', 'O0', 'O2', 0.9974244675581971, 2.142923593521118]
['BO', 50, 'CO', 219, 'perl', 'groups', 'O2', 'O2', 0.9985422740524781, 2.3095450401306152]
['BO', 80, 'CO', 362, 'ssh', 'dircolors', 'O3', 'O0', 0.9941434846266471, 1.6795263290405273]
['BO', 32, 'CO', 255, 'ruby', 'numfmt', 'O2', 'O2', 0.9993775287892935, 5.457813739776611]
['UO', 42, 'CO', 125, 'xargs', 'mktemp', 'O2', 'O1', 0.9720101781170484, 0.1793961524963379]
['CO', 144, 'UO', 42, 'sync', 'xargs', 'O1', 'O2', 0.9741379310344828, 0.134002685546875]
['CO', 221, 'UO', 35, 'printenv', 'gprof', 'O2', 'O2', 0.9837629389080577, 0.7887539863586426]
['BO', 42, 'CO', 375, 'cmp', 'logname', 'O1', 'O0', 0.9445544554455445, 0.07047295570373535]
['UO', 77, 'CO', 392, 'ar', 'uname', 'O0', 'O0', 0.9989149599891496, 1.4607040882110596]
['UO', 58, 'CO', 378, 'objdump', 'runcon', 'O3', 'O0', 0.9951710261569416, 1.730534553527832]
['BO', 61, 'CO', 160, 'git', 'cut', 'O1', 'O1', 0.9985289663825553, 4.593927621841431]
['BO', 5, 'UO', 65, 'libgeany.so.0.0.0', 'sdiff', 'O1', 'O3', 0.9990169760671481, 8.386955499649048]
['UO', 24, 'BO', 14, 'diff', 'cmp', 'O2', 'O0', 0.9818780889621087, 0.2500443458557129]
['CO', 97, 'BO', 25, 'uniq', 'dot', 'O3', 'O3', 1.0, 0.03892850875854492]
['BO', 51, 'CO', 384, 'lua', 'head', 'O1', 'O0', 0.9953877198039781, 0.9723813533782959]
['BO', 54, 'CO', 243, 'lua', 'base32', 'O3', 'O2', 0.9903907751441384, 0.555994987487793]
['CO', 119, 'UO', 86, 'join', 'xargs', 'O1', 'O0', 0.9484978540772532, 0.2331235408782959]
['BO', 20, 'CO', 314, 'sort', 'stat', 'O1', 'O0', 0.9511143062544931, 0.42924070358276367]
['UO', 77, 'CO', 308, 'ar', 'tac', 'O0', 'O2', 0.9967514889009204, 1.6029813289642334]
['CO', 155, 'BO', 55, 'realpath', 'make', 'O1', 'O1', 0.9439421338155516, 0.5127201080322266]
['BO', 4, 'CO', 45, 'libgeany.so.0.0.0', 'split', 'O2', 'O3', 0.9994732485514335, 9.053168296813965]
['UO', 18, 'CO', 131, 'diff3', 'wc', 'O1', 'O1', 0.9054441260744985, 0.11443853378295898]
['UO', 1, 'CO', 197, 'xargs', 'nl', 'O1', 'O1', 0.9505208333333334, 0.1562354564666748]
['UO', 70, 'CO', 236, 'ranlib', 'factor', 'O0', 'O2', 0.995475113122172, 2.343094825744629]
['UO', 1, 'CO', 346, 'xargs', 'tail', 'O1', 'O0', 0.9646643109540636, 0.36283135414123535]
['CO', 66, 'BO', 82, 'runcon', 'cp', 'O3', 'O3', 0.8916349809885932, 0.24932599067687988]
