['CV', 285, 'BV', 33, 'factor', 'openssl', 'V1', 'V0', 0.993245382585752, 2.7487165927886963]
['BV', 77, 'CV', 214, 'perl', 'ls', 'V2', 'V0', 0.99775517362329, 5.849481582641602]
['CV', 136, 'BV', 59, 'tsort', 'make', 'V3', 'V1', 0.9534016775396086, 0.45808911323547363]
['BV', 24, 'CV', 124, 'git', 'seq', 'V0', 'V3', 0.9986833443054641, 3.5994975566864014]
['CV', 25, 'BV', 25, 'expand', 'git', 'V2', 'V3', 0.9952314452127116, 5.060769557952881]
['CV', 176, 'UV', 40, 'unlink', 'diff3', 'V0', 'V3', 0.8812615955473099, 0.05326414108276367]
['UV', 61, 'CV', 335, 'addr2line', 'pathchk', 'V1', 'V1', 0.997428204029147, 0.5838806629180908]
['BV', 74, 'CV', 249, 'git', 'tr', 'V1', 'V0', 0.9992755123162906, 3.0616836547851562]
['CV', 247, 'BV', 3, 'shred', 'diff', 'V0', 'V1', 0.8943323727185398, 0.18027710914611816]
['CV', 201, 'BV', 63, 'expr', 'ruby', 'V0', 'V0', 0.9866898923578543, 9.101683855056763]
['BV', 23, 'CV', 224, 'diff', 'cksum', 'V3', 'V0', 0.9905482041587902, 0.10353612899780273]
['CV', 149, 'BV', 5, 'unexpand', 'libvlccore.so', 'V3', 'V0', 0.9910924810060256, 1.9725542068481445]
['CV', 344, 'BV', 12, 'tac', 'sort', 'V1', 'V2', 0.9389712292938099, 0.25886082649230957]
['BV', 65, 'CV', 47, 'ssh', 'od', 'V1', 'V2', 0.9983426246798253, 3.28820538520813]
['BV', 24, 'UV', 63, 'git', 'elfedit', 'V0', 'V1', 0.999160016799664, 2.9739763736724854]
['UV', 76, 'BV', 40, 'as', 'lua', 'V0', 'V2', 0.986468200270636, 13.121551513671875]
['UV', 38, 'CV', 29, 'xargs', 'tail', 'V3', 'V2', 0.975363941769317, 0.20601105690002441]
['CV', 131, 'BV', 67, 'true', 'cluster', 'V3', 'V0', 0.9600997506234414, 0.20883488655090332]
['UV', 62, 'CV', 177, 'ar', 'test', 'V1', 'V0', 0.997184231697506, 0.7179467678070068]
['UV', 73, 'CV', 66, 'nm', 'link', 'V0', 'V2', 0.9956121105748135, 0.6697242259979248]
['UV', 50, 'BV', 77, 'find', 'perl', 'V1', 'V2', 0.9690443258907989, 15.16676950454712]
['CV', 228, 'BV', 33, 'false', 'openssl', 'V0', 'V0', 0.9944996826740005, 1.9155569076538086]
['BV', 70, 'CV', 274, 'ssh', 'join', 'V0', 'V1', 0.9984345648090169, 2.231180191040039]
['BV', 8, 'CV', 116, 'cluster', 'tail', 'V2', 'V3', 0.9676616915422885, 0.5015826225280762]
['UV', 55, 'BV', 26, 'ranlib', 'geany', 'V1', 'V2', 0.9735276621058894, 100.7417995929718]
['CV', 53, 'BV', 64, 'tty', 'openssl', 'V2', 'V2', 0.9949374627754616, 1.5373210906982422]
['CV', 221, 'BV', 56, 'od', 'ssh', 'V0', 'V3', 0.9823574144486692, 1.3943076133728027]
['CV', 148, 'BV', 22, 'ginstall', 'cmp', 'V3', 'V3', 0.9868421052631579, 0.21698594093322754]
['BV', 12, 'UV', 80, 'sort', 'objcopy', 'V2', 'V0', 0.9678030303030303, 3.0112736225128174]
['BV', 32, 'CV', 118, 'perl', 'sha1sum', 'V0', 'V3', 0.9970029034372951, 2.363084554672241]
['UV', 20, 'CV', 104, 'size', 'mkfifo', 'V2', 'V3', 0.9949152542372881, 0.9456436634063721]
['BV', 79, 'CV', 277, 'bash', 'dd', 'V3', 'V1', 0.9968734733756717, 2.5211009979248047]
['CV', 190, 'UV', 6, 'dd', 'sdiff', 'V0', 'V2', 0.8731988472622478, 0.10317420959472656]
['UV', 46, 'CV', 272, 'diff', 'printenv', 'V1', 'V1', 0.9902200488997555, 0.11162161827087402]
['BV', 5, 'CV', 99, 'libvlccore.so', 'stty', 'V0', 'V3', 0.9976647638816813, 2.1372382640838623]
['BV', 73, 'CV', 59, 'geany', 'head', 'V0', 'V2', 0.9993560504427154, 4.104218482971191]
['CV', 134, 'BV', 35, 'od', 'libvlccore.so', 'V3', 'V2', 0.9892122710416901, 3.8677725791931152]
['CV', 126, 'UV', 29, 'whoami', 'objcopy', 'V3', 'V3', 0.9814913685709201, 1.1304280757904053]
['BV', 6, 'CV', 312, 'libvlc.so', 'printf', 'V0', 'V1', 0.9901477832512315, 0.2985832691192627]
['CV', 71, 'BV', 81, '[', 'dot', 'V2', 'V1', 1.0, 0.0313563346862793]
['CV', 281, 'UV', 32, 'tee', 'addr2line', 'V1', 'V3', 0.9823866138265082, 0.7437853813171387]
['UV', 53, 'BV', 18, 'readelf', 'sort', 'V1', 'V3', 0.9665582907570831, 0.921248197555542]
['CV', 223, 'BV', 48, 'tsort', 'gvmap', 'V0', 'V3', 0.9661764705882353, 0.19725251197814941]
['BV', 14, 'CV', 335, 'openssl', 'pathchk', 'V3', 'V1', 0.9989026063100137, 1.24930739402771]
['CV', 60, 'UV', 41, 'hostid', 'cmp', 'V2', 'V3', 0.9273504273504274, 0.05334210395812988]
['UV', 65, 'CV', 37, 'objdump', 'seq', 'V1', 'V2', 0.9973158365642708, 1.2931435108184814]
['UV', 36, 'CV', 42, 'objdump', 'dircolors', 'V3', 'V2', 0.9978130125751777, 1.2471163272857666]
['UV', 23, 'CV', 286, 'strip', 'expand', 'V3', 'V1', 0.9978370583994232, 0.7111999988555908]
['UV', 51, 'CV', 119, 'nm', 'paste', 'V1', 'V3', 0.9938296997120527, 1.0100696086883545]
['CV', 122, 'BV', 33, 'sum', 'openssl', 'V3', 'V0', 0.9894229762278772, 4.8480002880096436]
['BV', 6, 'CV', 308, 'libvlc.so', 'od', 'V0', 'V1', 0.9916467780429594, 0.35501694679260254]
['BV', 43, 'UV', 84, 'lua', 'ar', 'V0', 'V0', 0.9641359363702097, 8.152184009552002]
['UV', 14, 'CV', 294, 'objcopy', 'sync', 'V2', 'V1', 0.9982212735681252, 0.6375446319580078]
['CV', 95, 'UV', 10, 'du', 'as', 'V3', 'V2', 0.9664034098031842, 4.353924989700317]
['CV', 87, 'UV', 38, 'touch', 'xargs', 'V3', 'V3', 0.9683544303797469, 0.2350003719329834]
['CV', 313, 'BV', 59, 'logname', 'make', 'V1', 'V1', 0.9749247743229689, 0.2433629035949707]
['UV', 40, 'CV', 173, 'diff3', 'ln', 'V3', 'V3', 0.8940936863543788, 0.1990344524383545]
['BV', 19, 'UV', 34, 'cp', 'elfedit', 'V3', 'V3', 0.9875, 0.23992514610290527]
['CV', 192, 'UV', 9, 'pwd', 'readelf', 'V0', 'V2', 0.9707259953161592, 0.2565779685974121]
['UV', 63, 'BV', 33, 'elfedit', 'openssl', 'V1', 'V0', 0.9904446894524072, 4.382587432861328]
['CV', 343, 'BV', 38, 'sort', 'ruby', 'V1', 'V2', 0.9956803455723542, 0.02017045021057129]
['UV', 37, 'CV', 202, 'locate', 'chown', 'V3', 'V0', 0.9804618117229129, 0.26290035247802734]
['UV', 34, 'CV', 310, 'elfedit', 'tsort', 'V3', 'V1', 0.9864864864864865, 0.05916166305541992]
['CV', 288, 'BV', 71, 'expr', 'ruby', 'V1', 'V1', 0.9963570127504554, 0.020638704299926758]
['CV', 76, 'UV', 63, 'comm', 'elfedit', 'V2', 'V1', 0.9753086419753086, 0.07598400115966797]
['UV', 14, 'CV', 167, 'objcopy', 'uniq', 'V2', 'V3', 0.9958967344845273, 1.5576729774475098]
['CV', 20, 'UV', 28, 'tee', 'strings', 'V2', 'V3', 0.9772129710780018, 0.8476300239562988]
['UV', 8, 'CV', 38, 'strip', 'split', 'V2', 'V2', 0.9932030586236194, 1.7183384895324707]
['CV', 258, 'BV', 73, 'rmdir', 'geany', 'V0', 'V0', 0.9947044201880472, 2.9037158489227295]
['BV', 75, 'CV', 150, 'cmp', 'mv', 'V2', 'V3', 0.8973536487570168, 0.24288606643676758]
['CV', 87, 'UV', 16, 'touch', 'gprof', 'V3', 'V2', 0.9683436970039571, 1.9347362518310547]
['CV', 221, 'UV', 0, 'od', 'locate', 'V0', 'V2', 0.9130434782608696, 0.11643004417419434]
['CV', 330, 'UV', 9, 'csplit', 'readelf', 'V1', 'V2', 0.9623883403855196, 0.7112572193145752]
['BV', 17, 'CV', 337, 'codeblocks', 'comm', 'V2', 'V1', 0.9991117314891187, 2.560431957244873]
['BV', 1, 'CV', 52, 'libSDL2-2.0.so', 'logname', 'V3', 'V2', 0.9975045372050817, 1.573540449142456]
['UV', 47, 'CV', 100, 'sdiff', 'join', 'V1', 'V3', 0.9011406844106464, 0.1307685375213623]
['UV', 85, 'BV', 29, 'elfedit', 'perl', 'V0', 'V3', 0.9840227794036226, 2.3819801807403564]
['UV', 39, 'CV', 287, 'find', 'date', 'V3', 'V1', 0.9902740937223696, 0.45734596252441406]
['BV', 57, 'CV', 8, 'svn', 'du', 'V2', 'V2', 0.9824293353705118, 1.2416517734527588]
['BV', 59, 'CV', 168, 'make', 'sleep', 'V1', 'V3', 0.9876072449952336, 0.40451812744140625]
['BV', 75, 'UV', 32, 'cmp', 'addr2line', 'V2', 'V3', 0.9721746575342466, 1.215616226196289]
['CV', 87, 'UV', 41, 'touch', 'cmp', 'V3', 'V3', 0.9675236806495264, 0.11173176765441895]
['CV', 12, 'UV', 58, 'stty', 'objcopy', 'V2', 'V1', 0.9819761828130029, 1.5081188678741455]
['CV', 269, 'UV', 44, 'du', 'diff3', 'V1', 'V1', 0.9089790897908979, 0.13689351081848145]
['UV', 3, 'CV', 124, 'diff3', 'seq', 'V2', 'V3', 0.9126637554585153, 0.09548187255859375]
['CV', 185, 'BV', 81, 'printenv', 'dot', 'V0', 'V1', 0.9896907216494846, 0.017384052276611328]
['UV', 83, 'CV', 33, 'addr2line', 'sync', 'V0', 'V2', 0.9973142345568488, 0.6243510246276855]
['BV', 1, 'UV', 9, 'libSDL2-2.0.so', 'readelf', 'V3', 'V2', 0.9944968553459119, 9.796575546264648]
['CV', 55, 'BV', 35, 'nohup', 'libvlccore.so', 'V2', 'V2', 0.9935454126325496, 2.05981707572937]
['BV', 28, 'CV', 285, 'openssl', 'factor', 'V1', 'V1', 0.9993011530973893, 2.417661666870117]
['BV', 76, 'CV', 268, 'diff', 'dir', 'V2', 'V1', 0.9650593990216632, 0.40433812141418457]
['UV', 69, 'CV', 117, 'sdiff', 'pinky', 'V0', 'V3', 0.9352112676056338, 0.10700201988220215]
['BV', 78, 'CV', 196, 'make', 'kill', 'V2', 'V0', 0.9921951219512195, 0.28502774238586426]
['CV', 146, 'UV', 64, 'head', 'size', 'V3', 'V1', 0.9703520691785052, 1.2935242652893066]
['BV', 81, 'CV', 39, 'dot', 'whoami', 'V1', 'V2', 0.9922480620155039, 0.02269601821899414]
['CV', 66, 'UV', 71, 'link', 'xargs', 'V2', 'V0', 0.8585365853658536, 0.04420304298400879]
['UV', 66, 'CV', 69, 'diff3', 'csplit', 'V0', 'V2', 0.8956692913385826, 0.1917564868927002]
['CV', 210, 'BV', 78, 'chroot', 'make', 'V0', 'V2', 0.9763079960513327, 0.26138877868652344]
['UV', 2, 'BV', 33, 'find', 'openssl', 'V2', 'V0', 0.9686293913904008, 21.53783416748047]
['CV', 177, 'BV', 75, 'test', 'cmp', 'V0', 'V2', 0.8725274725274725, 0.04779553413391113]
['UV', 85, 'BV', 57, 'elfedit', 'svn', 'V0', 'V2', 0.9276672694394213, 0.476839542388916]
['BV', 74, 'CV', 89, 'git', 'unlink', 'V1', 'V3', 0.9989659807672423, 3.2532060146331787]
['CV', 10, 'UV', 62, 'ptx', 'ar', 'V2', 'V1', 0.9618528610354223, 2.759049654006958]
['CV', 114, 'UV', 60, 'expr', 'gprof', 'V3', 'V1', 0.9632087995448512, 1.4393343925476074]
['UV', 20, 'CV', 143, 'size', 'yes', 'V2', 'V3', 0.9961759082217974, 0.8557333946228027]
['UV', 70, 'CV', 57, 'locate', 'who', 'V0', 'V2', 0.9606986899563319, 0.17173266410827637]
['CV', 312, 'BV', 59, 'printf', 'make', 'V1', 'V1', 0.9707459775719162, 0.35475826263427734]
['BV', 60, 'CV', 151, 'codeblocks', 'md5sum', 'V1', 'V3', 0.9985989938228365, 4.045611143112183]
