['UV', 62, 'CV', 200, 'ar', 'date', 'V1', 'V0', 0.9984139571768438, 1.0608108043670654]
['CV', 258, 'UV', 58, 'rmdir', 'objcopy', 'V0', 'V1', 0.986774673499752, 0.7376182079315186]
['CV', 127, 'BV', 5, 'ls', 'libvlccore.so', 'V3', 'V0', 0.9807668898356665, 5.950491428375244]
['CV', 272, 'BV', 76, 'printenv', 'diff', 'V1', 'V2', 0.9246376811594202, 0.11206412315368652]
['BV', 52, 'CV', 269, 'libSDL2-2.0.so', 'du', 'V2', 'V1', 0.9937019775790402, 2.657374620437622]
['UV', 66, 'CV', 318, 'diff3', 'who', 'V0', 'V1', 0.9463087248322147, 0.07692313194274902]
['BV', 16, 'CV', 221, 'libvlc.so', 'od', 'V3', 'V0', 0.9933428435568236, 0.45308351516723633]
['CV', 290, 'BV', 79, 'tail', 'bash', 'V1', 'V3', 0.9827889692939565, 2.861506700515747]
['CV', 203, 'BV', 4, 'tail', 'geany', 'V0', 'V3', 0.993283860536462, 7.632863283157349]
['BV', 54, 'CV', 125, 'lua', 'split', 'V3', 'V3', 0.9893238434163701, 1.0892541408538818]
['UV', 16, 'CV', 214, 'gprof', 'ls', 'V2', 'V0', 0.9958955223880597, 2.1357994079589844]
['BV', 17, 'UV', 23, 'codeblocks', 'strip', 'V2', 'V3', 0.9877990658659803, 66.67629504203796]
['CV', 344, 'UV', 37, 'tac', 'locate', 'V1', 'V3', 0.9683734939759037, 0.3819277286529541]
['CV', 232, 'UV', 32, 'readlink', 'addr2line', 'V0', 'V3', 0.9788453063023358, 0.6653313636779785]
['CV', 337, 'UV', 51, 'comm', 'nm', 'V1', 'V1', 0.9782107689084433, 0.8112568855285645]
['CV', 207, 'BV', 32, 'sync', 'perl', 'V0', 'V0', 0.9906764342117781, 1.072774887084961]
['CV', 265, 'BV', 56, 'basename', 'ssh', 'V1', 'V3', 0.9854915882080568, 0.8453166484832764]
['UV', 56, 'CV', 126, 'c++filt', 'whoami', 'V1', 'V3', 0.9970136518771331, 0.8207385540008545]
['CV', 154, 'BV', 18, 'uname', 'sort', 'V3', 'V3', 0.8938700823421775, 0.16924118995666504]
['UV', 66, 'CV', 123, 'diff3', 'chroot', 'V0', 'V3', 0.9328467153284672, 0.09668374061584473]
['UV', 10, 'CV', 88, 'as', 'stat', 'V2', 'V3', 0.9953428201811125, 2.8193793296813965]
