['CV', 57, 'UV', 56, 'who', 'c++filt', 'V2', 'V1', 0.9722046746683513, 1.1456530094146729]
['BV', 78, 'UV', 76, 'make', 'as', 'V2', 'V0', 0.9503190519598906, 9.321836709976196]
['UV', 82, 'CV', 96, 'gprof', 'users', 'V0', 'V3', 0.997179125528914, 0.9709126949310303]
['BV', 38, 'CV', 44, 'ruby', 'true', 'V2', 'V2', 0.9895287958115183, 0.009978294372558594]
['CV', 101, 'UV', 17, 'dirname', 'addr2line', 'V3', 'V2', 0.9722577891591976, 0.8977069854736328]
['CV', 87, 'BV', 67, 'touch', 'cluster', 'V3', 'V0', 0.9391424619640387, 0.41581225395202637]
['CV', 70, 'BV', 2, 'vdir', 'cmp', 'V2', 'V1', 0.9630836047774158, 0.1530437469482422]
['UV', 57, 'CV', 211, 'strings', 'seq', 'V1', 'V0', 0.9969931271477663, 0.6327610015869141]
['CV', 130, 'UV', 38, 'chmod', 'xargs', 'V3', 'V3', 0.9723698193411264, 0.22361373901367188]
['CV', 77, 'UV', 66, 'nl', 'diff3', 'V2', 'V0', 0.9331175836030206, 0.1606733798980713]
['CV', 194, 'BV', 0, 'tee', 'bash', 'V0', 'V2', 0.9884393063583815, 1.276249647140503]
['BV', 18, 'CV', 151, 'sort', 'md5sum', 'V3', 'V3', 0.979328165374677, 0.20239949226379395]
['UV', 68, 'BV', 45, 'diff', 'svn', 'V0', 'V3', 0.9840895698291102, 2.0765726566314697]
['BV', 28, 'CV', 149, 'openssl', 'unexpand', 'V1', 'V3', 0.9986106976282624, 4.023999214172363]
['UV', 8, 'CV', 96, 'strip', 'users', 'V2', 'V3', 0.9958297132927889, 1.1745638847351074]
['UV', 37, 'BV', 75, 'locate', 'cmp', 'V3', 'V2', 0.9910313901345291, 0.24500107765197754]
['UV', 76, 'CV', 289, 'as', 'chown', 'V0', 'V1', 0.9969448687682266, 1.7337336540222168]
['CV', 192, 'UV', 59, 'pwd', 'ld', 'V0', 'V1', 0.9858870967741935, 1.123948097229004]
['UV', 63, 'CV', 322, 'elfedit', 'ginstall', 'V1', 'V1', 0.9597315436241611, 0.15143084526062012]
['CV', 239, 'UV', 37, 'env', 'locate', 'V0', 'V3', 0.9706190975865687, 0.13481831550598145]
['CV', 55, 'UV', 9, 'nohup', 'readelf', 'V2', 'V2', 0.9761227970437749, 0.2986917495727539]
['CV', 323, 'BV', 43, 'unexpand', 'lua', 'V1', 'V0', 0.9694410936871733, 0.3597440719604492]
['CV', 127, 'BV', 49, 'ls', 'make', 'V3', 'V3', 0.9511514305652478, 1.4147617816925049]
