['BV', 37, 'CV', 51, 'geany', 'printf', 'V1', 'V2', 0.9989732101185476, 5.244676351547241]
['BV', 4, 'CV', 272, 'geany', 'printenv', 'V3', 'V1', 0.9996661937745139, 2.708007335662842]
['UV', 8, 'BV', 49, 'strip', 'make', 'V2', 'V3', 0.9744034128782829, 7.415132761001587]
['CV', 136, 'UV', 75, 'tsort', 'readelf', 'V3', 'V0', 0.9546061415220294, 0.3053090572357178]
['UV', 30, 'CV', 149, 'ld', 'unexpand', 'V3', 'V3', 0.9971902219724642, 1.4844930171966553]
['UV', 68, 'CV', 44, 'diff', 'true', 'V0', 'V2', 0.9851222104144527, 0.10343241691589355]
['CV', 282, 'UV', 87, 'chgrp', 'objdump', 'V1', 'V0', 0.9786617893613778, 1.7990052700042725]
['BV', 1, 'CV', 340, 'libSDL2-2.0.so', 'fold', 'V3', 'V1', 0.99795151928986, 1.1116313934326172]
['CV', 263, 'UV', 2, 'unlink', 'find', 'V1', 'V2', 0.9405684754521964, 0.17669939994812012]
['BV', 14, 'CV', 126, 'openssl', 'whoami', 'V3', 'V3', 0.9986431478968792, 1.692155122756958]
['CV', 143, 'UV', 11, 'yes', 'ranlib', 'V3', 'V2', 0.9775010044194455, 0.9848177433013916]
['CV', 156, 'BV', 59, 'csplit', 'make', 'V3', 'V1', 0.9346866725507502, 0.6144764423370361]
['CV', 51, 'BV', 11, 'printf', 'bash', 'V2', 'V1', 0.9822193658954584, 2.250730276107788]
['CV', 32, 'BV', 66, 'paste', 'lua', 'V2', 'V1', 0.9744897959183674, 0.4391636848449707]
['BV', 65, 'UV', 24, 'ssh', 'readelf', 'V1', 'V3', 0.9963641085573303, 21.144386291503906]
['BV', 41, 'UV', 17, 'libvlccore.so', 'addr2line', 'V1', 'V2', 0.9850249584026622, 25.866405487060547]
['CV', 222, 'BV', 68, 'df', 'dot', 'V0', 'V0', 1.0, 0.03308248519897461]
['BV', 16, 'UV', 22, 'libvlc.so', 'nm', 'V3', 'V3', 0.9640151515151515, 6.980607509613037]
['BV', 1, 'UV', 50, 'libSDL2-2.0.so', 'find', 'V3', 'V1', 0.985497168967915, 9.616045475006104]
['UV', 25, 'CV', 27, 'as', 'expr', 'V3', 'V2', 0.9961469303878757, 3.001176118850708]
['CV', 158, 'UV', 1, '[', 'xargs', 'V3', 'V2', 0.8853658536585366, 0.13223671913146973]
