['BO', 34, 'CO', 3, 'cp', 'unlink', 'O2', 'O3', 0.976, 0.13972091674804688]
['UO', 9, 'CO', 198, 'strings', 'rm', 'O1', 'O1', 0.9829263450466548, 1.9853615760803223]
['CO', 26, 'UO', 52, 'kill', 'ld', 'O3', 'O3', 0.984837849220834, 1.6836721897125244]
['CO', 241, 'UO', 18, 'chown', 'diff3', 'O2', 'O1', 0.8904761904761904, 0.16400957107543945]
['UO', 65, 'BO', 3, 'sdiff', 'openssl', 'O3', 'O1', 0.9905835979415307, 4.033921480178833]
['UO', 4, 'CO', 134, 'strip', 'expand', 'O1', 'O1', 0.9930963065239903, 1.5003483295440674]
['UO', 69, 'CO', 264, 'as', 'cut', 'O0', 'O2', 0.996823914058851, 3.733264207839966]
['BO', 14, 'CO', 179, 'cmp', 'mv', 'O0', 'O1', 0.8878504672897196, 0.32491588592529297]
['CO', 172, 'UO', 77, 'yes', 'ar', 'O1', 'O0', 0.9904787812840044, 1.6741750240325928]
['CO', 357, 'BO', 82, 'split', 'cp', 'O0', 'O3', 0.9128440366972477, 0.3395524024963379]
['CO', 326, 'BO', 5, 'stty', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9897035999545747, 10.986762285232544]
['UO', 54, 'CO', 231, 'addr2line', 'pr', 'O3', 'O2', 0.9927935565917761, 1.468766212463379]
['CO', 156, 'BO', 63, 'sha256sum', 'cluster', 'O1', 'O0', 0.9553072625698324, 0.4586319923400879]
['UO', 72, 'CO', 144, 'strings', 'sync', 'O0', 'O1', 0.9960074148010837, 1.4559874534606934]
['CO', 280, 'BO', 32, 'head', 'ruby', 'O2', 'O2', 0.9917435837519959, 5.6564109325408936]
['BO', 52, 'CO', 177, 'svn', 'hostid', 'O3', 'O1', 0.9935196435803969, 0.5393047332763672]
['BO', 61, 'CO', 358, 'git', 'whoami', 'O1', 'O0', 0.999479843953186, 3.9313223361968994]
['CO', 365, 'BO', 54, 'chmod', 'lua', 'O0', 'O3', 0.9508196721311475, 1.240157127380371]
['CO', 39, 'BO', 54, 'paste', 'lua', 'O3', 'O3', 0.9741650913673598, 0.6908080577850342]
['BO', 80, 'CO', 169, 'ssh', 'false', 'O3', 'O1', 0.9943569943569943, 1.160609483718872]
['CO', 246, 'UO', 87, 'sha1sum', 'find', 'O2', 'O0', 0.9832383506537044, 0.6947414875030518]
['UO', 37, 'CO', 311, 'ar', 'ln', 'O2', 'O2', 0.991869918699187, 1.9940545558929443]
['UO', 44, 'CO', 185, 'nm', 'cat', 'O3', 'O1', 0.9930795847750865, 0.9406208992004395]
['UO', 36, 'CO', 244, 'addr2line', 'pinky', 'O2', 'O2', 0.9961064243997404, 0.9855742454528809]
['UO', 44, 'CO', 336, 'nm', 'tee', 'O3', 'O0', 0.992306048300919, 1.1557166576385498]
['UO', 2, 'CO', 286, 'find', 'chcon', 'O1', 'O2', 0.9790454016298021, 0.8193783760070801]
['UO', 23, 'CO', 195, 'cmp', 'comm', 'O2', 'O1', 0.9085923217550275, 0.07811617851257324]
['UO', 13, 'BO', 44, 'addr2line', 'cmp', 'O1', 'O2', 0.9946280991735538, 1.146630048751831]
['BO', 64, 'CO', 161, 'dot', 'od', 'O0', 'O1', 0.9825708061002179, 0.05126190185546875]
['BO', 81, 'CO', 387, 'sort', 'mv', 'O3', 'O0', 0.9375582479030755, 0.9383201599121094]
['UO', 4, 'CO', 228, 'strip', 'mkfifo', 'O1', 'O2', 0.993357804579619, 0.930945634841919]
['UO', 87, 'CO', 120, 'find', 'dirname', 'O0', 'O1', 0.9857723577235772, 0.5860595703125]
['UO', 74, 'CO', 235, 'ld', 'wc', 'O0', 'O2', 0.9972348410033577, 2.3612961769104004]
['CO', 182, 'UO', 66, 'chcon', 'nm', 'O1', 'O0', 0.9819601507808293, 3.3271493911743164]
['CO', 141, 'BO', 70, 'truncate', 'diff', 'O1', 'O3', 0.9179039301310044, 0.19722700119018555]
['CO', 124, 'BO', 64, 'mkfifo', 'dot', 'O1', 'O0', 0.9928571428571429, 0.02955174446105957]
