['UV', 61, 'CV', 338, 'addr2line', 'nl', 'V1', 'V1', 0.9944145222421703, 1.7161076068878174]
['UV', 27, 'CV', 238, 'c++filt', 'md5sum', 'V3', 'V0', 0.9968950986915058, 0.7513337135314941]
['UV', 20, 'CV', 99, 'size', 'stty', 'V2', 'V3', 0.9950331125827815, 1.2940926551818848]
['UV', 39, 'BV', 18, 'find', 'sort', 'V3', 'V3', 0.9764705882352941, 1.4795608520507812]
['UV', 26, 'CV', 36, 'ranlib', 'chroot', 'V3', 'V2', 0.9951150010177081, 1.6486055850982666]
['UV', 27, 'CV', 85, 'c++filt', 'mknod', 'V3', 'V2', 0.9964664310954063, 0.7954638004302979]
['BV', 11, 'CV', 268, 'bash', 'dir', 'V1', 'V1', 0.9962370649106302, 3.9027724266052246]
['CV', 20, 'BV', 27, 'tee', 'libSDL2-2.0.so', 'V2', 'V1', 0.9820243362831859, 1.621978759765625]
['BV', 62, 'UV', 11, 'diff', 'ranlib', 'V0', 'V2', 0.9576093183120107, 1.9649338722229004]
['CV', 303, 'BV', 16, 'dircolors', 'libvlc.so', 'V1', 'V3', 0.9892578125, 0.47060155868530273]
['CV', 304, 'BV', 58, 'chmod', 'ruby', 'V1', 'V3', 0.9943820224719101, 0.016570329666137695]
['UV', 18, 'BV', 64, 'ar', 'openssl', 'V2', 'V2', 0.9886585149743045, 27.139565229415894]
['UV', 28, 'CV', 253, 'strings', 'fold', 'V3', 'V0', 0.9968978506536672, 0.6063277721405029]
['BV', 10, 'UV', 53, 'gvmap', 'readelf', 'V2', 'V1', 0.9565916398713826, 1.152921438217163]
['BV', 54, 'CV', 231, 'lua', 'who', 'V3', 'V0', 0.9968183264397072, 0.5838272571563721]
['BV', 49, 'CV', 311, 'make', 'cksum', 'V3', 'V1', 0.994408201304753, 0.2693021297454834]
['CV', 45, 'BV', 39, 'cp', 'svn', 'V2', 'V1', 0.9788199697428139, 1.4681956768035889]
['CV', 66, 'UV', 1, 'link', 'xargs', 'V2', 'V2', 0.8956521739130435, 0.09043502807617188]
['CV', 6, 'UV', 62, 'fmt', 'ar', 'V2', 'V1', 0.9764940239043824, 0.9535150527954102]
['CV', 291, 'BV', 78, 'pinky', 'make', 'V1', 'V2', 0.9695383150880533, 0.4034550189971924]
['CV', 143, 'BV', 70, 'yes', 'ssh', 'V3', 'V0', 0.9858989424206815, 2.408383369445801]
['BV', 21, 'CV', 122, 'cp', 'sum', 'V1', 'V3', 0.9463087248322147, 0.11239385604858398]
