['CV', 74, 'BV', 59, 'pathchk', 'make', 'V2', 'V1', 0.9708313077297035, 0.3425137996673584]
['BV', 31, 'CV', 50, 'codeblocks', 'cksum', 'V0', 'V2', 0.9992077116070249, 2.395261764526367]
['BV', 7, 'CV', 331, 'libSDL2-2.0.so', 'vdir', 'V0', 'V1', 0.9881295574020689, 2.650989294052124]
['BV', 20, 'CV', 180, 'sort', 'fmt', 'V1', 'V0', 0.9596638655462185, 0.06020975112915039]
['BV', 76, 'CV', 256, 'diff', 'sort', 'V2', 'V0', 0.9700551615445232, 0.2563905715942383]
['CV', 200, 'UV', 24, 'date', 'readelf', 'V0', 'V3', 0.9705232129697863, 0.5338418483734131]
['BV', 29, 'CV', 120, 'perl', 'sync', 'V3', 'V3', 0.998257977670441, 2.257956027984619]
['BV', 76, 'CV', 151, 'diff', 'md5sum', 'V2', 'V3', 0.9750623441396509, 0.2166740894317627]
['CV', 157, 'UV', 15, 'vdir', 'ld', 'V3', 'V2', 0.9659997384595266, 4.8297154903411865]
['BV', 74, 'UV', 52, 'git', 'strip', 'V1', 'V1', 0.9917708624615508, 79.36250114440918]
['UV', 75, 'CV', 146, 'readelf', 'head', 'V0', 'V3', 0.98828125, 0.33020448684692383]
['UV', 48, 'BV', 1, 'locate', 'libSDL2-2.0.so', 'V1', 'V3', 0.9667625439437519, 6.007116079330444]
['UV', 79, 'CV', 220, 'strings', 'cut', 'V0', 'V0', 0.9977578475336323, 0.6658740043640137]
['BV', 16, 'UV', 73, 'libvlc.so', 'nm', 'V3', 'V0', 0.9570581637558083, 6.87294602394104]
['BV', 10, 'CV', 177, 'gvmap', 'test', 'V2', 'V0', 0.9824689554419284, 0.19986343383789062]
['BV', 39, 'CV', 276, 'svn', 'uptime', 'V1', 'V1', 0.994368840919756, 0.4257643222808838]
['UV', 65, 'CV', 291, 'objdump', 'pinky', 'V1', 'V1', 0.998501872659176, 1.1996867656707764]
['CV', 78, 'UV', 51, 'rm', 'nm', 'V2', 'V1', 0.9748302037554935, 1.7238714694976807]
['UV', 59, 'CV', 291, 'ld', 'pinky', 'V1', 'V1', 0.9979962788034922, 1.1920359134674072]
['CV', 65, 'UV', 9, 'env', 'readelf', 'V2', 'V2', 0.9755387303436226, 0.241654634475708]
