['UV', 3, 'BV', 59, 'diff3', 'make', 'V2', 'V1', 0.9502885042166, 0.6370487213134766]
['UV', 4, 'CV', 221, 'cmp', 'od', 'V2', 'V0', 0.9276190476190476, 0.06462740898132324]
['BV', 73, 'CV', 265, 'geany', 'basename', 'V0', 'V1', 0.9994600140396349, 2.5310332775115967]
['CV', 74, 'BV', 2, 'pathchk', 'cmp', 'V2', 'V1', 0.8879668049792531, 0.05628705024719238]
['UV', 4, 'CV', 80, 'cmp', 'uniq', 'V2', 'V2', 0.9016393442622951, 0.0687870979309082]
['CV', 340, 'UV', 70, 'fold', 'locate', 'V1', 'V0', 0.9056122448979592, 0.09831619262695312]
['UV', 66, 'CV', 115, 'diff3', 'chown', 'V0', 'V3', 0.9047619047619048, 0.1653761863708496]
['BV', 43, 'CV', 25, 'lua', 'expand', 'V0', 'V2', 0.98973954222573, 0.4249608516693115]
['UV', 84, 'CV', 276, 'ar', 'uptime', 'V0', 'V1', 0.9987392309308678, 0.7303152084350586]
['BV', 25, 'CV', 162, 'git', 'tr', 'V3', 'V3', 0.9991177169228681, 6.755898714065552]
['UV', 12, 'CV', 204, 'c++filt', 'pinky', 'V2', 'V0', 0.9965307892454467, 0.8561465740203857]
['CV', 272, 'UV', 76, 'printenv', 'as', 'V1', 'V0', 0.9877300613496932, 1.1300663948059082]
['CV', 331, 'UV', 32, 'vdir', 'addr2line', 'V1', 'V3', 0.9726865063187933, 2.088000535964966]
['CV', 318, 'UV', 14, 'who', 'objcopy', 'V1', 'V2', 0.9800210304942166, 1.1419320106506348]
['UV', 26, 'CV', 307, 'ranlib', 'cut', 'V3', 'V1', 0.9971205265322912, 0.8045148849487305]
['CV', 204, 'UV', 43, 'pinky', 'sdiff', 'V0', 'V3', 0.9130434782608696, 0.07990336418151855]
['BV', 8, 'CV', 107, 'cluster', 'tee', 'V2', 'V3', 0.9745762711864406, 0.3207206726074219]
['CV', 233, 'BV', 25, 'head', 'git', 'V0', 'V3', 0.9946871913632803, 5.330890655517578]
['CV', 328, 'UV', 48, 'uname', 'locate', 'V1', 'V1', 0.9187358916478555, 0.10605192184448242]
['BV', 55, 'CV', 52, 'codeblocks', 'logname', 'V3', 'V2', 0.9991271276264106, 2.55094575881958]
['BV', 77, 'CV', 115, 'perl', 'chown', 'V2', 'V3', 0.9967712500877378, 4.832981586456299]
['UV', 84, 'CV', 153, 'ar', 'link', 'V0', 'V3', 0.9966756700602535, 0.8504147529602051]
['CV', 163, 'UV', 4, 'comm', 'cmp', 'V3', 'V2', 0.9216354344122657, 0.08010292053222656]
['BV', 82, 'CV', 7, 'gvmap', 'dir', 'V1', 'V2', 0.9673202614379085, 0.6877236366271973]
['UV', 69, 'CV', 14, 'sdiff', 'dirname', 'V0', 'V2', 0.9555555555555556, 0.0649569034576416]
['BV', 75, 'CV', 179, 'cmp', 'mkdir', 'V2', 'V0', 0.9426229508196722, 0.056035757064819336]
['BV', 1, 'UV', 1, 'libSDL2-2.0.so', 'xargs', 'V3', 'V2', 0.9940919037199125, 3.3454430103302]
['UV', 41, 'CV', 274, 'cmp', 'join', 'V3', 'V1', 0.9236641221374046, 0.06304478645324707]
['CV', 270, 'UV', 87, 'users', 'objdump', 'V1', 'V0', 0.9878523594455693, 1.0979456901550293]
['UV', 68, 'CV', 86, 'diff', 'ln', 'V0', 'V2', 0.9732142857142857, 0.21880102157592773]
['BV', 61, 'UV', 46, 'cmp', 'diff', 'V0', 'V1', 0.9526530612244898, 0.13553571701049805]
['UV', 7, 'CV', 0, 'nm', 'touch', 'V2', 'V2', 0.9958540630182421, 1.0678770542144775]
['UV', 75, 'CV', 21, 'readelf', 'chgrp', 'V0', 'V2', 0.9838408949658173, 0.4280414581298828]
['CV', 309, 'BV', 33, 'df', 'openssl', 'V1', 'V0', 0.9878311041174928, 4.821850061416626]
['CV', 179, 'UV', 30, 'mkdir', 'ld', 'V0', 'V3', 0.9846590909090909, 1.3848509788513184]
['CV', 335, 'UV', 69, 'pathchk', 'sdiff', 'V1', 'V0', 0.8862385321100917, 0.05667853355407715]
['UV', 6, 'CV', 63, 'sdiff', 'mv', 'V2', 'V2', 0.9259259259259259, 0.22983717918395996]
['BV', 54, 'CV', 13, 'lua', 'join', 'V3', 'V2', 0.9950540958268933, 0.7344849109649658]
['CV', 69, 'BV', 78, 'csplit', 'make', 'V2', 'V2', 0.9588118811881188, 0.9482178688049316]
['BV', 24, 'CV', 250, 'git', 'comm', 'V0', 'V0', 0.9991556600928774, 2.105053424835205]
['CV', 150, 'BV', 40, 'mv', 'lua', 'V3', 'V2', 0.9494976920988325, 2.0761566162109375]
['BV', 44, 'CV', 116, 'make', 'tail', 'V0', 'V3', 0.9781520254893036, 0.6754014492034912]
['CV', 25, 'BV', 6, 'expand', 'libvlc.so', 'V2', 'V0', 0.9841075794621027, 0.35500097274780273]
['CV', 146, 'UV', 11, 'head', 'ranlib', 'V3', 'V2', 0.9712201852946974, 1.2999768257141113]
['UV', 12, 'CV', 246, 'c++filt', 'id', 'V2', 'V0', 0.996937212863706, 0.6797444820404053]
['CV', 25, 'BV', 39, 'expand', 'svn', 'V2', 'V1', 0.9749419953596288, 0.452711820602417]
['BV', 15, 'CV', 189, 'libvlccore.so', 'uptime', 'V3', 'V0', 0.9993081180811808, 1.4834620952606201]
['CV', 105, 'UV', 64, 'pwd', 'size', 'V3', 'V1', 0.9671517671517671, 1.069979190826416]
['CV', 20, 'BV', 50, 'tee', 'sort', 'V2', 'V0', 0.8716577540106951, 0.06888318061828613]
['CV', 298, 'BV', 32, 'seq', 'perl', 'V1', 'V0', 0.9899459356919283, 1.3259022235870361]
['UV', 31, 'BV', 32, 'gprof', 'perl', 'V3', 'V0', 0.9675418920701939, 37.925715923309326]
['CV', 143, 'UV', 18, 'yes', 'ar', 'V3', 'V2', 0.9775010044194455, 0.9768052101135254]
['BV', 74, 'CV', 199, 'git', 'expand', 'V1', 'V0', 0.9995846744886304, 2.1821205615997314]
['BV', 77, 'CV', 305, 'perl', 'true', 'V2', 'V1', 0.9992789154888952, 1.2644720077514648]
['CV', 303, 'BV', 65, 'dircolors', 'ssh', 'V1', 'V1', 0.9888626134716607, 1.9122822284698486]
