['CO', 171, 'BO', 64, 'nohup', 'dot', 'O1', 'O0', 0.9868421052631579, 0.033754825592041016]
['CO', 25, 'UO', 67, 'chgrp', 'strip', 'O3', 'O0', 0.9840922190201729, 3.6641287803649902]
['CO', 331, 'UO', 87, 'dd', 'find', 'O0', 'O0', 0.9666363360630876, 1.489210844039917]
['CO', 399, 'BO', 74, 'id', 'dot', 'O0', 'O1', 0.99, 0.044852256774902344]
['UO', 34, 'CO', 310, 'ld', 'mknod', 'O2', 'O2', 0.9974399089745413, 1.1218721866607666]
['UO', 55, 'CO', 102, 'ar', 'mknod', 'O3', 'O3', 0.9967186218211649, 1.0194926261901855]
['BO', 3, 'CO', 117, 'openssl', 'printenv', 'O1', 'O1', 0.9968645016797313, 2.0627026557922363]
['BO', 40, 'CO', 295, 'lua', 'id', 'O0', 'O2', 0.9931573802541545, 0.9125185012817383]
['BO', 30, 'CO', 131, 'libvlccore.so.9.0.0', 'wc', 'O2', 'O1', 0.9971480178724214, 2.8650996685028076]
['BO', 28, 'UO', 4, 'ruby', 'strip', 'O0', 'O1', 0.9931002759889604, 109.89129996299744]
['CO', 30, 'UO', 22, 'expand', 'diff3', 'O3', 'O2', 0.9049128367670365, 0.09087681770324707]
['UO', 64, 'BO', 13, 'diff', 'ruby', 'O3', 'O1', 0.9832744719131072, 22.260361671447754]
['CO', 128, 'BO', 66, 'tee', 'svn', 'O1', 'O2', 0.9813235891189607, 0.7596359252929688]
['UO', 8, 'CO', 163, 'c++filt', 'tsort', 'O1', 'O1', 0.9915611814345991, 1.0913183689117432]
['CO', 415, 'BO', 10, 'ln', 'openssl', 'O0', 'O3', 0.9931784267746749, 7.241366863250732]
['BO', 12, 'CO', 294, 'libgeany.so.0.0.0', 'timeout', 'O0', 'O2', 0.9990312424315815, 5.734045028686523]
['BO', 76, 'CO', 226, 'openssl', 'uptime', 'O2', 'O2', 0.9975693293558723, 2.751016616821289]
['CO', 414, 'UO', 37, 'mknod', 'ar', 'O0', 'O2', 0.9664277631082611, 2.7426254749298096]
['UO', 1, 'BO', 41, 'xargs', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.9757810607895374, 4.395845890045166]
['CO', 152, 'UO', 19, 'ls', 'cmp', 'O1', 'O1', 0.9818181818181818, 0.2001805305480957]
['BO', 49, 'CO', 145, 'svn', 'echo', 'O0', 'O1', 0.9886877828054299, 0.5762543678283691]
['CO', 195, 'UO', 82, 'comm', 'cmp', 'O1', 'O0', 0.9198664440734557, 0.0914604663848877]
['UO', 33, 'CO', 348, 'objcopy', 'pinky', 'O2', 'O0', 0.9933403434980722, 1.4859898090362549]
['UO', 51, 'CO', 152, 'objcopy', 'ls', 'O3', 'O1', 0.9828173123682931, 3.5115509033203125]
['BO', 50, 'CO', 118, 'perl', 'stty', 'O2', 'O1', 0.9963194216233979, 3.633275270462036]
['UO', 68, 'BO', 46, 'readelf', 'ruby', 'O0', 'O3', 0.9755209448915272, 93.88126993179321]
['CO', 305, 'UO', 4, 'uniq', 'strip', 'O2', 'O1', 0.9779955303421007, 1.3711841106414795]
['CO', 118, 'UO', 16, 'stty', 'size', 'O1', 'O1', 0.9627430910951894, 1.3899929523468018]
['BO', 50, 'CO', 156, 'perl', 'sha256sum', 'O2', 'O1', 0.9972288202692003, 3.0589077472686768]
['UO', 51, 'CO', 331, 'objcopy', 'dd', 'O3', 'O0', 0.9881295574020689, 2.3702549934387207]
['BO', 33, 'CO', 409, 'sort', 'uniq', 'O2', 'O0', 0.9668508287292817, 0.2363266944885254]
['CO', 103, 'BO', 44, 'ln', 'cmp', 'O3', 'O2', 0.9695906432748538, 0.14435124397277832]
['UO', 59, 'CO', 107, 'locate', 'unlink', 'O3', 'O1', 0.984390243902439, 0.18312573432922363]
['CO', 91, 'BO', 10, 'comm', 'openssl', 'O3', 'O3', 0.989864492673791, 3.1376302242279053]
['BO', 70, 'UO', 52, 'diff', 'ld', 'O3', 'O3', 0.9638043896804005, 5.211426734924316]
['BO', 77, 'UO', 0, 'libSDL2-2.0.so.0.16.0', 'locate', 'O3', 'O1', 0.993658175668534, 5.860788106918335]
['BO', 1, 'CO', 48, 'ssh', 'ls', 'O2', 'O3', 0.9916068769459861, 4.30119252204895]
['UO', 0, 'CO', 109, 'locate', 'basename', 'O1', 'O1', 0.9783588818755635, 0.20100903511047363]
['UO', 36, 'CO', 334, 'addr2line', 'pwd', 'O2', 'O0', 0.990990990990991, 1.1157279014587402]
['CO', 54, 'BO', 41, 'true', 'libSDL2-2.0.so.0.16.0', 'O3', 'O2', 0.9828995347667547, 1.8902416229248047]
['BO', 56, 'CO', 261, 'libvlc.so.12.0.0', 'chmod', 'O3', 'O2', 0.989935956084172, 0.7082662582397461]
['CO', 359, 'UO', 1, 'numfmt', 'xargs', 'O0', 'O1', 0.9408033826638478, 0.26279759407043457]
['BO', 25, 'CO', 200, 'dot', 'fold', 'O3', 'O1', 0.980327868852459, 0.0339350700378418]
