['BV', 23, 'CV', 109, 'diff', 'kill', 'V3', 'V3', 0.969439728353141, 0.1902613639831543]
['UV', 31, 'CV', 216, 'gprof', 'dircolors', 'V3', 'V0', 0.9971700020214271, 0.7564940452575684]
['CV', 89, 'BV', 43, 'unlink', 'lua', 'V3', 'V0', 0.9563012095200937, 0.46036481857299805]
['BV', 82, 'CV', 39, 'gvmap', 'whoami', 'V1', 'V2', 0.984149855907781, 0.20895838737487793]
['CV', 143, 'BV', 29, 'yes', 'perl', 'V3', 'V3', 0.9887417743597875, 2.272334575653076]
['CV', 253, 'UV', 78, 'fold', 'c++filt', 'V0', 'V0', 0.9831358249772105, 0.6866350173950195]
['UV', 19, 'BV', 11, 'elfedit', 'bash', 'V2', 'V1', 0.977851843887754, 1.7742388248443604]
['CV', 226, 'BV', 7, 'logname', 'libSDL2-2.0.so', 'V0', 'V0', 0.9847355987643104, 0.8844254016876221]
['CV', 161, 'BV', 71, 'pathchk', 'ruby', 'V3', 'V1', 0.9931972789115646, 0.012470722198486328]
['CV', 171, 'UV', 7, 'rmdir', 'nm', 'V3', 'V2', 0.9705455299730347, 1.079845905303955]
['CV', 331, 'BV', 8, 'vdir', 'cluster', 'V1', 'V2', 0.9428223844282239, 0.5671370029449463]
['UV', 86, 'CV', 146, 'size', 'head', 'V0', 'V3', 0.9974433893352812, 1.2312767505645752]
['UV', 65, 'CV', 61, 'objdump', 'ginstall', 'V1', 'V2', 0.9918562201628756, 3.370579719543457]
['UV', 24, 'CV', 39, 'readelf', 'whoami', 'V3', 'V2', 0.9954904171364148, 0.3808014392852783]
['BV', 63, 'CV', 317, 'ruby', 'yes', 'V0', 'V1', 0.9994543966536328, 2.3178963661193848]
['BV', 51, 'CV', 142, 'cp', 'nohup', 'V0', 'V3', 0.9373219373219374, 0.09798765182495117]
['BV', 1, 'CV', 46, 'libSDL2-2.0.so', 'cut', 'V3', 'V2', 0.9959532374100719, 1.8540713787078857]
