['UV', 24, 'CV', 196, 'readelf', 'kill', 'V3', 'V0', 0.9962006079027356, 0.34478139877319336]
['BV', 46, 'CV', 247, 'cluster', 'shred', 'V3', 'V0', 0.9783393501805054, 0.30881309509277344]
['CV', 326, 'UV', 30, 'env', 'ld', 'V1', 'V3', 0.9888091822094691, 0.9465391635894775]
['BV', 67, 'UV', 45, 'cluster', 'cmp', 'V0', 'V1', 0.9765441751368257, 0.270122766494751]
['CV', 46, 'BV', 25, 'cut', 'git', 'V2', 'V3', 0.9929981985656504, 6.92356538772583]
['CV', 90, 'BV', 14, 'test', 'openssl', 'V3', 'V3', 0.9930079333064408, 2.5340003967285156]
['BV', 65, 'CV', 340, 'ssh', 'fold', 'V1', 'V1', 0.9990826389419769, 1.533447504043579]
['CV', 260, 'UV', 54, 'ln', 'as', 'V0', 'V1', 0.9794982465605611, 1.369218111038208]
['CV', 88, 'BV', 43, 'stat', 'lua', 'V3', 'V0', 0.9534227240649259, 1.008969783782959]
['CV', 96, 'UV', 57, 'users', 'strings', 'V3', 'V1', 0.97398783301867, 1.1089560985565186]
['UV', 61, 'CV', 275, 'addr2line', 'dirname', 'V1', 'V1', 0.9969963527140099, 0.5786600112915039]
['BV', 62, 'CV', 55, 'diff', 'nohup', 'V0', 'V2', 0.9544159544159544, 0.08961749076843262]
['CV', 214, 'UV', 25, 'ls', 'as', 'V0', 'V3', 0.9707291801580106, 3.238325357437134]
['CV', 173, 'UV', 41, 'ln', 'cmp', 'V3', 'V3', 0.9742990654205608, 0.14345169067382812]
['UV', 29, 'CV', 98, 'objcopy', 'printenv', 'V3', 'V3', 0.9967908718131574, 0.9377956390380859]
['CV', 301, 'BV', 26, 'ls', 'geany', 'V1', 'V2', 0.9903595277053022, 12.981754064559937]
['BV', 60, 'CV', 81, 'codeblocks', 'sleep', 'V1', 'V2', 0.9991032539072509, 2.774319648742676]
['CV', 12, 'UV', 43, 'stty', 'sdiff', 'V2', 'V3', 0.883551673944687, 0.10332298278808594]
['BV', 69, 'CV', 197, 'gvmap', 'wc', 'V0', 'V0', 0.985233798195242, 0.18502426147460938]
['CV', 212, 'BV', 75, 'split', 'cmp', 'V0', 'V2', 0.8544698544698545, 0.05169200897216797]
['CV', 263, 'UV', 16, 'unlink', 'gprof', 'V1', 'V2', 0.9807422266800401, 0.6442606449127197]
['BV', 12, 'UV', 16, 'sort', 'gprof', 'V2', 'V2', 0.9589090909090909, 2.537726879119873]
['CV', 231, 'BV', 69, 'who', 'gvmap', 'V0', 'V0', 0.9636075949367089, 0.2309129238128662]
['CV', 289, 'BV', 56, 'chown', 'ssh', 'V1', 'V3', 0.9750600961538461, 1.776839256286621]
['UV', 84, 'BV', 82, 'ar', 'gvmap', 'V0', 'V1', 0.9806362378976486, 4.084338188171387]
['BV', 65, 'CV', 178, 'ssh', 'basename', 'V1', 'V0', 0.9990808823529411, 1.278968334197998]
['CV', 121, 'UV', 44, 'echo', 'diff3', 'V3', 'V1', 0.8782894736842105, 0.07894492149353027]
['CV', 194, 'UV', 78, 'tee', 'c++filt', 'V0', 'V0', 0.9840619307832422, 0.6985015869140625]
['UV', 36, 'BV', 51, 'objdump', 'cp', 'V3', 'V0', 0.9960222752585521, 2.520845413208008]
['CV', 250, 'BV', 3, 'comm', 'diff', 'V0', 'V1', 0.919661733615222, 0.12114167213439941]
['CV', 85, 'BV', 6, 'mknod', 'libvlc.so', 'V2', 'V0', 0.9792429792429792, 0.36119818687438965]
['UV', 85, 'CV', 155, 'elfedit', 'cat', 'V0', 'V3', 0.9732313575525813, 0.08281922340393066]
['CV', 313, 'BV', 74, 'logname', 'git', 'V1', 'V1', 0.995427146123467, 1.930896282196045]
['BV', 40, 'UV', 39, 'lua', 'find', 'V2', 'V3', 0.9772487887086581, 4.08124303817749]
['CV', 290, 'UV', 85, 'tail', 'elfedit', 'V1', 'V0', 0.9566787003610109, 0.09311580657958984]
['BV', 80, 'CV', 97, 'cluster', 'ptx', 'V1', 'V3', 0.9647798742138365, 0.47960782051086426]
['BV', 72, 'CV', 223, 'perl', 'tsort', 'V1', 'V0', 0.9988200589970502, 1.6189355850219727]
['CV', 283, 'UV', 67, 'kill', 'cmp', 'V1', 'V0', 0.875, 0.04747724533081055]
['CV', 194, 'UV', 3, 'tee', 'diff3', 'V0', 'V2', 0.8642201834862385, 0.05987715721130371]
['UV', 40, 'CV', 314, 'diff3', 'tty', 'V3', 'V1', 0.96309963099631, 0.04878878593444824]
['UV', 41, 'CV', 103, 'cmp', 'dd', 'V3', 'V3', 0.8840579710144928, 0.12934279441833496]
['UV', 49, 'CV', 175, 'xargs', 'stat', 'V1', 'V0', 0.9434343434343434, 0.05730152130126953]
['BV', 1, 'UV', 23, 'libSDL2-2.0.so', 'strip', 'V3', 'V3', 0.9820346474656021, 36.484346866607666]
['UV', 20, 'BV', 7, 'size', 'libSDL2-2.0.so', 'V2', 'V0', 0.9821410451547438, 19.97573685646057]
['BV', 78, 'CV', 251, 'make', 'nl', 'V2', 'V0', 0.9865940511101802, 0.7481918334960938]
['BV', 53, 'CV', 50, 'ssh', 'cksum', 'V2', 'V2', 0.9989355231143552, 1.7722113132476807]
['CV', 145, 'UV', 17, 'readlink', 'addr2line', 'V3', 'V2', 0.9593972373377982, 1.224290132522583]
['CV', 131, 'UV', 71, 'true', 'xargs', 'V3', 'V0', 0.8947368421052632, 0.04989504814147949]
['BV', 7, 'CV', 24, 'libSDL2-2.0.so', 'factor', 'V0', 'V2', 0.9946275071633238, 1.0387670993804932]
['CV', 157, 'UV', 87, 'vdir', 'objdump', 'V3', 'V0', 0.9637436762225969, 4.642378091812134]
['CV', 21, 'BV', 57, 'chgrp', 'svn', 'V2', 'V2', 0.9642553191489361, 0.8625116348266602]
['UV', 25, 'CV', 39, 'as', 'whoami', 'V3', 'V2', 0.9972976624780435, 1.1285736560821533]
['CV', 8, 'UV', 74, 'du', 'strip', 'V2', 'V0', 0.9650558791122305, 3.117398262023926]
['BV', 20, 'CV', 201, 'sort', 'expr', 'V1', 'V0', 0.9166666666666666, 0.1895766258239746]
