['CO', 378, 'BO', 77, 'runcon', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.98367161809729, 2.7939064502716064]
['CO', 357, 'BO', 24, 'split', 'cluster', 'O0', 'O3', 0.9336311423101468, 0.5172886848449707]
['CO', 299, 'UO', 4, 'comm', 'strip', 'O2', 'O1', 0.9771349385068422, 1.1632664203643799]
['UO', 0, 'CO', 108, 'locate', 'test', 'O1', 'O1', 0.9747687132043734, 0.26894307136535645]
['CO', 126, 'BO', 66, 'pwd', 'svn', 'O1', 'O2', 0.9853181076672104, 0.7202260494232178]
['CO', 332, 'UO', 19, 'mkfifo', 'cmp', 'O0', 'O1', 0.9530201342281879, 0.170790433883667]
['UO', 37, 'CO', 390, 'ar', 'chcon', 'O2', 'O0', 0.9875212705615428, 2.567866563796997]
['BO', 48, 'CO', 191, 'libvlccore.so.9.0.0', 'id', 'O0', 'O1', 0.9981380693211114, 3.9305007457733154]
['CO', 255, 'UO', 58, 'numfmt', 'objdump', 'O2', 'O3', 0.9834246758454752, 1.9502291679382324]
['UO', 64, 'CO', 151, 'diff', 'numfmt', 'O3', 'O1', 0.961352657004831, 0.2535977363586426]
['UO', 84, 'CO', 69, 'sdiff', 'who', 'O0', 'O3', 0.9386189258312021, 0.13941597938537598]
['CO', 252, 'UO', 52, 'seq', 'ld', 'O2', 'O3', 0.9859333239555493, 1.621105432510376]
['UO', 6, 'BO', 5, 'as', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9760846876397793, 170.4002230167389]
['BO', 33, 'CO', 2, 'sort', 'stat', 'O2', 'O3', 0.9455128205128205, 0.3144865036010742]
['CO', 345, 'UO', 36, 'chown', 'addr2line', 'O0', 'O2', 0.9610468654899574, 2.2519593238830566]
['CO', 184, 'BO', 12, 'uname', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9960165168812242, 5.983266115188599]
['UO', 29, 'CO', 358, 'as', 'whoami', 'O2', 'O0', 0.9975793437331899, 1.4215593338012695]
['BO', 29, 'CO', 309, 'libvlc.so.12.0.0', 'rmdir', 'O2', 'O2', 0.9926624737945493, 0.4151644706726074]
['CO', 336, 'BO', 68, 'tee', 'git', 'O0', 'O3', 0.9905746033118595, 6.288029432296753]
['CO', 168, 'BO', 10, 'tty', 'openssl', 'O1', 'O3', 0.9924242424242424, 2.429940700531006]
['UO', 3, 'CO', 111, 'nm', 'fmt', 'O1', 'O1', 0.9885480572597137, 1.127753496170044]
['UO', 64, 'CO', 94, 'diff', 'rm', 'O3', 'O3', 0.9638888888888889, 0.3697690963745117]
['CO', 390, 'UO', 3, 'chcon', 'nm', 'O0', 'O1', 0.9611428571428572, 2.587078332901001]
['CO', 299, 'UO', 85, 'comm', 'locate', 'O2', 'O0', 0.963302752293578, 0.31508445739746094]
['UO', 39, 'CO', 274, 'size', 'runcon', 'O2', 'O2', 0.9964873765093304, 0.6551961898803711]
['CO', 48, 'BO', 17, 'ls', 'codeblocks', 'O3', 'O2', 0.9865988632964403, 15.486402034759521]
['CO', 312, 'BO', 42, 'sha384sum', 'cmp', 'O0', 'O1', 0.9223300970873787, 0.10482311248779297]
['CO', 329, 'BO', 83, 'stdbuf', 'lua', 'O0', 'O2', 0.9544615384615385, 0.8370616436004639]
['CO', 392, 'BO', 27, 'uname', 'perl', 'O0', 'O3', 0.9897106109324759, 2.9274919033050537]
['CO', 184, 'BO', 71, 'uname', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.9861185264281901, 2.414459466934204]
['BO', 61, 'CO', 229, 'git', 'mktemp', 'O1', 'O2', 0.9987888749513387, 4.9032769203186035]
['UO', 40, 'CO', 110, 'objdump', 'mkdir', 'O2', 'O1', 0.9962264150943396, 1.956632375717163]
['CO', 255, 'BO', 9, 'numfmt', 'git', 'O2', 'O0', 0.9916147994467497, 5.6033616065979]
['BO', 5, 'CO', 178, 'libgeany.so.0.0.0', 'unexpand', 'O1', 'O1', 0.9992397460751891, 5.997135400772095]
['UO', 53, 'CO', 229, 'gprof', 'mktemp', 'O3', 'O2', 0.9939577039274925, 1.1330113410949707]
['UO', 53, 'CO', 367, 'gprof', 'cp', 'O3', 'O0', 0.984524810765349, 4.791179895401001]
['UO', 36, 'CO', 90, 'addr2line', 'tr', 'O2', 'O3', 0.9961661341853035, 1.1591920852661133]
['CO', 275, 'UO', 66, 'nohup', 'nm', 'O2', 'O0', 0.9924412094064949, 1.7421886920928955]
['CO', 356, 'UO', 56, 'seq', 'elfedit', 'O0', 'O3', 0.9788732394366197, 0.10188841819763184]
['CO', 135, 'UO', 45, 'date', 'strip', 'O1', 'O3', 0.9636929460580913, 1.9705102443695068]
['CO', 269, 'BO', 7, 'cksum', 'sort', 'O2', 'O0', 0.9370339685169843, 0.19739270210266113]
['CO', 352, 'UO', 75, 'sync', 'gprof', 'O0', 'O0', 0.9895090786819098, 2.0029098987579346]
['CO', 154, 'UO', 23, 'dircolors', 'cmp', 'O1', 'O2', 0.9044117647058824, 0.07448649406433105]
['UO', 47, 'CO', 128, 'as', 'tee', 'O3', 'O1', 0.9940387481371088, 1.6086349487304688]
['CO', 28, 'UO', 33, 'factor', 'objcopy', 'O3', 'O2', 0.9693262105807341, 1.910698652267456]
['BO', 38, 'CO', 240, 'acyclic', 'expr', 'O2', 'O2', 0.979381443298969, 0.046723365783691406]
['CO', 399, 'UO', 71, 'id', 'c++filt', 'O0', 'O0', 0.9864521591871296, 2.482229232788086]
['UO', 68, 'CO', 247, 'readelf', 'paste', 'O0', 'O2', 0.9952481520591341, 0.653144359588623]
['CO', 79, 'UO', 61, 'link', 'find', 'O3', 'O3', 0.974267968056788, 0.4565303325653076]
['BO', 40, 'CO', 318, 'lua', 'mkdir', 'O0', 'O0', 0.9859030837004406, 2.3764214515686035]
['CO', 262, 'UO', 44, 'true', 'nm', 'O2', 'O3', 0.9850549450549451, 0.6906237602233887]
['UO', 2, 'BO', 6, 'find', 'codeblocks', 'O1', 'O0', 0.9797801086819158, 46.84222650527954]
['CO', 378, 'UO', 35, 'runcon', 'gprof', 'O0', 'O2', 0.9761526232114467, 1.308746576309204]
['UO', 39, 'BO', 81, 'size', 'sort', 'O2', 'O3', 0.984428408659324, 3.0508086681365967]
['UO', 72, 'CO', 131, 'strings', 'wc', 'O0', 'O1', 0.9960585585585585, 1.9743881225585938]
['CO', 270, 'BO', 15, 'printf', 'diff', 'O2', 'O0', 0.9230177059276367, 0.25707459449768066]
