['BO', 18, 'CO', 231, 'libvlc.so.12.0.0', 'pr', 'O1', 'O2', 0.9849269901083373, 0.7841567993164062]
['CO', 50, 'BO', 19, 'dircolors', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.9923217199347346, 3.089421510696411]
['BO', 7, 'UO', 5, 'sort', 'readelf', 'O0', 'O1', 0.9492753623188406, 2.1713523864746094]
['CO', 103, 'UO', 22, 'ln', 'diff3', 'O3', 'O2', 0.959051724137931, 0.17726898193359375]
['BO', 40, 'CO', 259, 'lua', 'realpath', 'O0', 'O2', 0.9902889050740471, 0.9931559562683105]
['CO', 240, 'UO', 27, 'expr', 'strip', 'O2', 'O2', 0.9726171669299631, 1.5495615005493164]
['CO', 121, 'BO', 66, 'stdbuf', 'svn', 'O1', 'O2', 0.9798468359532446, 0.7918388843536377]
['UO', 48, 'CO', 158, 'ranlib', 'true', 'O3', 'O1', 0.9949968730456535, 0.8486707210540771]
['CO', 321, 'UO', 82, 'du', 'cmp', 'O0', 'O0', 0.9882055602358888, 0.2552359104156494]
['CO', 292, 'BO', 3, 'vdir', 'openssl', 'O2', 'O1', 0.9837997054491899, 7.879431486129761]
['CO', 184, 'UO', 38, 'uname', 'elfedit', 'O1', 'O2', 0.9670103092783505, 0.07982373237609863]
['UO', 73, 'CO', 250, 'objcopy', 'sum', 'O0', 'O2', 0.9971509971509972, 1.8335306644439697]
['UO', 64, 'CO', 275, 'diff', 'nohup', 'O3', 'O2', 0.9839715048975958, 0.1633930206298828]
['UO', 51, 'CO', 393, 'objcopy', 'cat', 'O3', 'O0', 0.9928989881058051, 1.2841897010803223]
['BO', 80, 'UO', 51, 'ssh', 'objcopy', 'O3', 'O3', 0.9685819892473119, 25.16651701927185]
['CO', 121, 'UO', 63, 'stdbuf', 'cmp', 'O1', 'O3', 0.8996415770609318, 0.07665610313415527]
['UO', 52, 'CO', 46, 'ld', 'whoami', 'O3', 'O3', 0.9980262230367969, 1.2263391017913818]
['CO', 257, 'BO', 25, 'nice', 'dot', 'O2', 'O3', 1.0, 0.025625944137573242]
['CO', 394, 'UO', 84, 'shuf', 'sdiff', 'O0', 'O0', 0.9422459893048128, 0.21409225463867188]
['BO', 78, 'CO', 113, 'ssh', 'du', 'O0', 'O1', 0.9904199621254317, 4.977843284606934]
['BO', 51, 'CO', 169, 'lua', 'false', 'O1', 'O1', 0.9921044640145764, 0.5650854110717773]
['UO', 1, 'CO', 6, 'xargs', 'mkdir', 'O1', 'O3', 0.9606025492468134, 0.19051837921142578]
['BO', 34, 'CO', 304, 'cp', 'fold', 'O2', 'O2', 0.9731127197518097, 0.13421154022216797]
['BO', 29, 'CO', 307, 'libvlc.so.12.0.0', 'sort', 'O2', 'O2', 0.9836601307189542, 1.329007863998413]
['UO', 5, 'CO', 208, 'readelf', 'sha384sum', 'O1', 'O2', 0.9899785254115963, 0.5716109275817871]
['CO', 213, 'UO', 25, 'basename', 'sdiff', 'O2', 'O2', 0.8832116788321168, 0.06636500358581543]
['UO', 56, 'CO', 389, 'elfedit', 'env', 'O3', 'O0', 0.967032967032967, 0.10369586944580078]
['UO', 68, 'CO', 139, 'readelf', 'base32', 'O0', 'O1', 0.9895941727367326, 0.8492498397827148]
['BO', 28, 'CO', 4, 'ruby', 'test', 'O0', 'O3', 0.9993904297470283, 5.970490217208862]
['UO', 72, 'BO', 19, 'strings', 'libvlccore.so.9.0.0', 'O0', 'O1', 0.9724846480869155, 56.417067766189575]
['CO', 205, 'UO', 68, 'rmdir', 'readelf', 'O1', 'O0', 0.9786012526096033, 0.8556628227233887]
['CO', 47, 'BO', 2, 'numfmt', 'perl', 'O3', 'O1', 0.9880294134412586, 4.045655965805054]
['BO', 31, 'UO', 67, 'bash', 'strip', 'O2', 'O0', 0.9836206896551725, 63.982189893722534]
['UO', 23, 'BO', 72, 'cmp', 'make', 'O2', 'O2', 0.9572425828970331, 0.5264525413513184]
['UO', 22, 'CO', 377, 'diff3', 'false', 'O2', 'O0', 0.9573712255772646, 0.0790107250213623]
['BO', 1, 'CO', 343, 'ssh', 'date', 'O2', 'O0', 0.9951601423487545, 2.833714723587036]
['CO', 331, 'BO', 82, 'dd', 'cp', 'O0', 'O3', 0.9317851959361393, 0.37738704681396484]
['UO', 15, 'CO', 378, 'elfedit', 'runcon', 'O1', 'O0', 0.9744990892531876, 0.1082310676574707]
['UO', 65, 'CO', 89, 'sdiff', 'pathchk', 'O3', 'O3', 0.9454545454545454, 0.09060287475585938]
['BO', 81, 'CO', 176, 'sort', 'head', 'O3', 'O1', 0.9621342512908778, 0.21462368965148926]
['BO', 53, 'CO', 360, 'bash', 'ls', 'O0', 'O0', 0.9920300406161392, 10.259549856185913]
['UO', 34, 'CO', 282, 'ld', 'unexpand', 'O2', 'O2', 0.9968825279863965, 1.2552695274353027]
