['CO', 43, 'UO', 67, 'chroot', 'strip', 'O3', 'O0', 0.990814884597268, 2.6778106689453125]
['UO', 36, 'CO', 278, 'addr2line', 'b2sum', 'O2', 'O2', 0.9944325481798715, 1.1385993957519531]
['BO', 11, 'UO', 45, 'ssh', 'strip', 'O1', 'O3', 0.96718000504923, 27.51253390312195]
['CO', 151, 'UO', 70, 'numfmt', 'ranlib', 'O1', 'O0', 0.9898273323517601, 2.468881607055664]
['CO', 312, 'UO', 60, 'sha384sum', 'xargs', 'O0', 'O3', 0.9588377723970944, 0.20194387435913086]
['CO', 319, 'BO', 1, 'fmt', 'ssh', 'O0', 'O2', 0.9774226652983433, 1.7366645336151123]
['CO', 79, 'BO', 70, 'link', 'diff', 'O3', 'O3', 0.8804159445407279, 0.1854536533355713]
['BO', 40, 'CO', 174, 'lua', 'b2sum', 'O0', 'O1', 0.9875478927203065, 1.2286927700042725]
['CO', 259, 'BO', 82, 'realpath', 'cp', 'O2', 'O3', 0.9204339963833634, 0.20767593383789062]
['CO', 42, 'UO', 33, 'sum', 'objcopy', 'O3', 'O2', 0.9799964906123881, 2.703568935394287]
['CO', 338, 'BO', 17, 'kill', 'codeblocks', 'O0', 'O2', 0.9908205668920176, 5.486858129501343]
['CO', 136, 'UO', 17, 'expr', 'objdump', 'O1', 'O1', 0.9742221064965499, 2.3202402591705322]
['CO', 146, 'UO', 26, 'sum', 'nm', 'O1', 'O2', 0.9696010132995567, 1.2282569408416748]
['CO', 145, 'BO', 52, 'echo', 'svn', 'O1', 'O3', 0.9845904298459043, 0.5868170261383057]
['UO', 26, 'CO', 271, 'nm', 'logname', 'O2', 'O2', 0.9965472593871385, 0.714850902557373]
['BO', 70, 'CO', 127, 'diff', 'pr', 'O3', 'O1', 0.9587628865979382, 0.3407583236694336]
['CO', 390, 'UO', 43, 'chcon', 'find', 'O0', 'O2', 0.9444652908067542, 1.2278087139129639]
['CO', 156, 'UO', 29, 'sha256sum', 'as', 'O1', 'O2', 0.9764705882352941, 1.8249526023864746]
