['BO', 6, 'CO', 70, 'codeblocks', 'b2sum', 'O0', 'O3', 0.9989066059225512, 7.539597272872925]
['CO', 74, 'UO', 38, 'unexpand', 'elfedit', 'O3', 'O2', 0.9857397504456328, 0.09184598922729492]
['UO', 36, 'CO', 274, 'addr2line', 'runcon', 'O2', 'O2', 0.9964757709251101, 0.6712090969085693]
['BO', 72, 'CO', 213, 'make', 'basename', 'O2', 'O2', 0.9844108207244383, 0.35118603706359863]
['CO', 210, 'BO', 47, 'stat', 'libvlc.so.12.0.0', 'O2', 'O0', 0.9754601226993865, 1.158665657043457]
['CO', 184, 'UO', 78, 'uname', 'elfedit', 'O1', 'O0', 0.9567779960707269, 0.0872800350189209]
['UO', 54, 'CO', 177, 'addr2line', 'hostid', 'O3', 'O1', 0.9933598937583001, 0.8188960552215576]
['CO', 216, 'BO', 66, 'dir', 'svn', 'O2', 'O2', 0.9778225806451613, 2.0221781730651855]
['CO', 163, 'BO', 80, 'tsort', 'ssh', 'O1', 'O3', 0.9767578699617534, 1.5471084117889404]
['UO', 84, 'CO', 249, 'sdiff', 'echo', 'O0', 'O2', 0.940983606557377, 0.07693243026733398]
['UO', 54, 'CO', 80, 'addr2line', 'uname', 'O3', 'O3', 0.9964811963932263, 0.823366641998291]
['BO', 62, 'CO', 286, 'bash', 'chcon', 'O1', 'O2', 0.9950794852384557, 3.5158474445343018]
['BO', 66, 'CO', 135, 'svn', 'date', 'O2', 'O1', 0.9757299962078119, 1.0472066402435303]
['BO', 11, 'CO', 306, 'ssh', 'sleep', 'O1', 'O2', 0.9946308724832215, 1.1073729991912842]
['CO', 216, 'UO', 0, 'dir', 'locate', 'O2', 'O1', 0.9676646706586827, 0.7037558555603027]
['UO', 11, 'BO', 24, 'ld', 'cluster', 'O1', 'O3', 0.986638624273166, 5.6028642654418945]
['UO', 26, 'CO', 367, 'nm', 'cp', 'O2', 'O0', 0.9776223776223776, 4.653521537780762]
['BO', 64, 'CO', 277, 'dot', 'who', 'O0', 'O2', 0.9881305637982196, 0.03741288185119629]
['UO', 52, 'BO', 9, 'ld', 'git', 'O3', 'O0', 0.966483830803917, 123.75619673728943]
['BO', 17, 'CO', 307, 'codeblocks', 'sort', 'O2', 'O2', 0.996265735108113, 10.134038209915161]
['BO', 72, 'CO', 367, 'make', 'cp', 'O2', 'O0', 0.9705250230273258, 2.0940563678741455]
