['CV', 60, 'UV', 68, 'hostid', 'diff', 'V2', 'V0', 0.8979166666666667, 0.12557435035705566]
['CV', 27, 'BV', 17, 'expr', 'codeblocks', 'V2', 'V2', 0.9877467665078284, 9.316753149032593]
['UV', 7, 'CV', 266, 'nm', 'mkdir', 'V2', 'V1', 0.994540109197816, 0.8726599216461182]
['CV', 119, 'BV', 13, 'paste', 'cp', 'V3', 'V2', 0.8823529411764706, 0.1560366153717041]
['UV', 42, 'CV', 228, 'diff', 'false', 'V3', 'V0', 0.9903660886319846, 0.08919715881347656]
['BV', 40, 'CV', 115, 'lua', 'chown', 'V2', 'V3', 0.9863438857852266, 1.1085364818572998]
['CV', 272, 'UV', 43, 'printenv', 'sdiff', 'V1', 'V3', 0.8846153846153846, 0.0509493350982666]
['CV', 145, 'UV', 51, 'readlink', 'nm', 'V3', 'V1', 0.9637622149837134, 1.2621560096740723]
['UV', 38, 'CV', 290, 'xargs', 'tail', 'V3', 'V1', 0.9797979797979798, 0.15791654586791992]
['UV', 73, 'BV', 54, 'nm', 'lua', 'V0', 'V3', 0.9729138166894665, 9.054445505142212]
['BV', 34, 'CV', 172, 'svn', 'mknod', 'V0', 'V3', 0.9923371647509579, 0.501060962677002]
['UV', 19, 'CV', 46, 'elfedit', 'cut', 'V2', 'V2', 0.976878612716763, 0.08533358573913574]
['CV', 59, 'BV', 53, 'head', 'ssh', 'V2', 'V2', 0.9851807046726145, 2.8944811820983887]
['CV', 240, 'UV', 83, 'link', 'addr2line', 'V0', 'V0', 0.9814689265536723, 0.5854988098144531]
['BV', 23, 'CV', 265, 'diff', 'basename', 'V3', 'V1', 0.9868421052631579, 0.10868644714355469]
['UV', 77, 'CV', 98, 'ranlib', 'printenv', 'V0', 'V3', 0.9966645820304357, 0.7939696311950684]
['CV', 314, 'BV', 44, 'tty', 'make', 'V1', 'V0', 0.9663226507332972, 0.22661757469177246]
['BV', 74, 'CV', 51, 'git', 'printf', 'V1', 'V2', 0.9987630778745554, 4.080386638641357]
['BV', 72, 'CV', 324, 'perl', 'mv', 'V1', 'V1', 0.9971241642102237, 4.92521595954895]
['UV', 71, 'CV', 169, 'xargs', 'sort', 'V0', 'V3', 0.9159049360146252, 0.1746668815612793]
['UV', 28, 'CV', 121, 'strings', 'echo', 'V3', 'V3', 0.9969438987120716, 0.8316583633422852]
['CV', 319, 'UV', 29, 'readlink', 'objcopy', 'V1', 'V3', 0.9834293948126801, 0.8697974681854248]
['CV', 55, 'BV', 50, 'nohup', 'sort', 'V2', 'V0', 0.875, 0.06982874870300293]
['CV', 97, 'UV', 35, 'ptx', 'size', 'V3', 'V3', 0.9654818163139511, 1.806272029876709]
['CV', 267, 'BV', 19, 'fmt', 'cp', 'V1', 'V3', 0.9340659340659341, 0.1299583911895752]
['CV', 249, 'UV', 42, 'tr', 'diff', 'V0', 'V3', 0.8766519823788547, 0.16367578506469727]
['CV', 205, 'UV', 33, 'sha1sum', 'ar', 'V0', 'V3', 0.9818892776291418, 0.8747107982635498]
['BV', 54, 'CV', 299, 'lua', 'split', 'V3', 'V1', 0.9968071519795658, 0.5264987945556641]
['BV', 18, 'CV', 299, 'sort', 'split', 'V3', 'V1', 0.981203007518797, 0.13978052139282227]
['UV', 74, 'CV', 253, 'strip', 'fold', 'V0', 'V0', 0.9982876712328768, 0.7177813053131104]
['BV', 14, 'UV', 14, 'openssl', 'objcopy', 'V3', 'V2', 0.9699343302476462, 35.12850904464722]
['CV', 253, 'BV', 69, 'fold', 'gvmap', 'V0', 'V0', 0.9601990049751243, 0.174363374710083]
['BV', 41, 'CV', 136, 'libvlccore.so', 'tsort', 'V1', 'V3', 0.9989793314621077, 1.843853235244751]
['UV', 65, 'CV', 147, 'objdump', 'hostid', 'V1', 'V3', 0.9982057416267942, 1.1824393272399902]
['UV', 59, 'CV', 51, 'ld', 'printf', 'V1', 'V2', 0.9977369165487977, 1.5553748607635498]
['CV', 302, 'BV', 59, 'nice', 'make', 'V1', 'V1', 0.9691081215744893, 0.2679738998413086]
['BV', 0, 'UV', 64, 'bash', 'size', 'V2', 'V1', 0.9893382614258298, 31.03736424446106]
