['CO', 323, 'UO', 71, 'groups', 'c++filt', 'O0', 'O0', 0.9888920535459983, 2.13339900970459]
['CO', 130, 'UO', 56, 'kill', 'elfedit', 'O1', 'O3', 0.9680638722554891, 0.08687758445739746]
['CO', 69, 'UO', 57, 'who', 'size', 'O3', 'O3', 0.9734190782422294, 1.2617080211639404]
['UO', 53, 'BO', 72, 'gprof', 'make', 'O3', 'O2', 0.969859743360191, 6.467003107070923]
['UO', 49, 'CO', 53, 'c++filt', 'chmod', 'O3', 'O3', 0.9936278674596432, 1.5074291229248047]
['BO', 15, 'CO', 94, 'diff', 'rm', 'O0', 'O3', 0.9604591836734694, 0.4409220218658447]
['BO', 71, 'CO', 331, 'libSDL2-2.0.so.0.16.0', 'dd', 'O0', 'O0', 0.9971145919208574, 4.634336233139038]
['BO', 33, 'CO', 259, 'sort', 'realpath', 'O2', 'O2', 0.9645669291338582, 0.17499160766601562]
['CO', 221, 'BO', 15, 'printenv', 'diff', 'O2', 'O0', 0.932062966031483, 0.18230295181274414]
['BO', 24, 'CO', 76, 'cluster', 'md5sum', 'O3', 'O3', 0.9712230215827338, 0.3128843307495117]
['BO', 69, 'CO', 87, 'cmp', 'id', 'O3', 'O3', 0.9347079037800687, 0.07880091667175293]
['BO', 23, 'CO', 83, 'git', 'csplit', 'O2', 'O3', 0.9987958542983701, 6.448851585388184]
['UO', 29, 'CO', 272, 'as', 'tty', 'O2', 'O2', 0.9972896056376203, 1.091470718383789]
['CO', 51, 'UO', 18, 'realpath', 'diff3', 'O3', 'O1', 0.8965986394557823, 0.12698602676391602]
['CO', 212, 'UO', 7, 'test', 'ranlib', 'O2', 'O1', 0.9783805031446541, 1.1000518798828125]
['CO', 43, 'BO', 56, 'chroot', 'libvlc.so.12.0.0', 'O3', 'O3', 0.9847764034253093, 0.6600220203399658]
['BO', 82, 'CO', 165, 'cp', 'cksum', 'O3', 'O1', 0.9524262607040913, 0.16293692588806152]
['CO', 307, 'UO', 2, 'sort', 'find', 'O2', 'O1', 0.9537292817679558, 1.4512784481048584]
['UO', 35, 'CO', 323, 'gprof', 'groups', 'O2', 'O0', 0.9940417080436942, 1.1893155574798584]
['CO', 168, 'UO', 32, 'tty', 'strings', 'O1', 'O2', 0.976759482569612, 0.9108576774597168]
['CO', 400, 'BO', 39, 'shred', 'codeblocks', 'O0', 'O3', 0.9875851262580606, 9.268979549407959]
['CO', 339, 'UO', 72, 'wc', 'strings', 'O0', 'O0', 0.9854647099930118, 2.5428359508514404]
['BO', 9, 'CO', 317, 'git', 'basename', 'O0', 'O0', 0.9994800918504397, 4.1160888671875]
['CO', 46, 'UO', 31, 'whoami', 'c++filt', 'O3', 'O2', 0.9789010989010989, 0.9231679439544678]
['CO', 257, 'BO', 75, 'nice', 'gvmap', 'O2', 'O1', 0.9577874818049491, 0.22359061241149902]
['BO', 70, 'CO', 246, 'diff', 'sha1sum', 'O3', 'O2', 0.9791304347826086, 0.1857929229736328]
['CO', 308, 'BO', 48, 'tac', 'libvlccore.so.9.0.0', 'O2', 'O0', 0.9949741527857553, 4.728849172592163]
['CO', 104, 'UO', 0, 'sha384sum', 'locate', 'O1', 'O1', 0.9452054794520548, 0.274369478225708]
['UO', 56, 'CO', 292, 'elfedit', 'vdir', 'O3', 'O2', 0.9807135969141755, 0.23160147666931152]
['UO', 75, 'CO', 328, 'gprof', 'dirname', 'O0', 'O0', 0.9989219781700579, 1.474599838256836]
['BO', 36, 'CO', 256, 'cluster', 'ls', 'O2', 'O2', 0.9450726978998385, 0.7924199104309082]
['UO', 75, 'CO', 71, 'gprof', 'readlink', 'O0', 'O3', 0.9984027685345401, 1.9059536457061768]
['CO', 209, 'BO', 6, 'touch', 'codeblocks', 'O2', 'O0', 0.9948127587932839, 11.327926635742188]
