['BO', 36, 'CO', 242, 'cluster', 'tail', 'O2', 'O2', 0.952443857331572, 0.44617152214050293]
['BO', 18, 'CO', 350, 'libvlc.so.12.0.0', 'sha1sum', 'O1', 'O0', 0.9902296042989741, 0.686488151550293]
['CO', 238, 'BO', 75, 'expand', 'gvmap', 'O2', 'O1', 0.9574769666902906, 0.2625572681427002]
['CO', 100, 'BO', 37, 'tac', 'gvmap', 'O3', 'O2', 0.9406608226567768, 0.3501780033111572]
['CO', 19, 'BO', 2, 'dd', 'perl', 'O3', 'O1', 0.9844410620666328, 6.051896095275879]
['CO', 313, 'BO', 32, 'touch', 'ruby', 'O0', 'O2', 0.9850158337838881, 10.63044023513794]
['CO', 410, 'BO', 40, 'sleep', 'lua', 'O0', 'O0', 0.9784577723378213, 0.9666218757629395]
['UO', 50, 'CO', 258, 'strings', 'dircolors', 'O3', 'O2', 0.9946961325966851, 0.9039061069488525]
['UO', 45, 'CO', 250, 'strip', 'sum', 'O3', 'O2', 0.9960636965467883, 1.0682203769683838]
['CO', 351, 'UO', 20, 'paste', 'diff', 'O0', 'O1', 0.8887938408896493, 0.23659992218017578]
['UO', 60, 'CO', 24, 'xargs', 'tee', 'O3', 'O3', 0.9847908745247148, 0.15751957893371582]
['BO', 71, 'CO', 360, 'libSDL2-2.0.so.0.16.0', 'ls', 'O0', 'O0', 0.9957064793130367, 9.160536289215088]
['BO', 37, 'UO', 49, 'gvmap', 'c++filt', 'O2', 'O3', 0.9421944035346097, 3.73087739944458]
['BO', 80, 'CO', 174, 'ssh', 'b2sum', 'O3', 'O1', 0.992435263311027, 1.882824182510376]
['BO', 51, 'CO', 250, 'lua', 'sum', 'O1', 'O2', 0.9922155688622755, 0.6971452236175537]
['UO', 37, 'CO', 243, 'ar', 'base32', 'O2', 'O2', 0.9959058341862845, 0.932459831237793]
['CO', 170, 'BO', 38, 'runcon', 'acyclic', 'O1', 'O2', 0.9855072463768116, 0.03245854377746582]
['BO', 43, 'CO', 307, 'diff', 'sort', 'O1', 'O2', 0.9296543359611886, 0.5681161880493164]
['CO', 152, 'BO', 57, 'ls', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.9839913661300477, 8.278029203414917]
['UO', 35, 'BO', 69, 'gprof', 'cmp', 'O2', 'O3', 0.9972315602135654, 1.186497449874878]
['CO', 379, 'BO', 21, 'nohup', 'cp', 'O0', 'O1', 0.9125475285171103, 0.2056577205657959]
['UO', 77, 'CO', 377, 'ar', 'false', 'O0', 'O0', 0.9989123045547247, 1.3661980628967285]
['CO', 269, 'UO', 53, 'cksum', 'gprof', 'O2', 'O3', 0.9811204596757644, 0.8124117851257324]
['CO', 90, 'UO', 54, 'tr', 'addr2line', 'O3', 'O3', 0.9693436960276338, 1.169449806213379]
['CO', 223, 'UO', 47, 'join', 'as', 'O2', 'O3', 0.9786860920005396, 1.6878974437713623]
