['UO', 32, 'CO', 401, 'strings', 'pathchk', 'O2', 'O0', 0.9926167209554831, 0.9790318012237549]
['CO', 207, 'BO', 64, 'ln', 'dot', 'O1', 'O0', 0.9932088285229203, 0.06183171272277832]
['CO', 196, 'BO', 75, 'sha512sum', 'gvmap', 'O1', 'O1', 0.9439890710382514, 0.3238804340362549]
['BO', 48, 'CO', 137, 'libvlccore.so.9.0.0', 'chown', 'O0', 'O1', 0.9967514124293785, 6.093188047409058]
['BO', 44, 'CO', 124, 'cmp', 'mkfifo', 'O2', 'O1', 0.9107505070993915, 0.0615839958190918]
['CO', 256, 'BO', 36, 'ls', 'cluster', 'O2', 'O2', 0.9418416801292407, 0.7652466297149658]
['UO', 77, 'BO', 6, 'ar', 'codeblocks', 'O0', 'O0', 0.9808629088378567, 141.6776316165924]
['CO', 346, 'UO', 69, 'tail', 'as', 'O0', 'O0', 0.9812460553602019, 5.972110271453857]
['BO', 81, 'UO', 34, 'sort', 'ld', 'O3', 'O2', 0.9626313740755158, 4.940902471542358]
['UO', 43, 'CO', 302, 'find', 'rm', 'O2', 'O2', 0.976218787158145, 0.8350808620452881]
['BO', 9, 'CO', 210, 'git', 'stat', 'O0', 'O2', 0.9983704275483511, 7.823704242706299]
['UO', 48, 'CO', 293, 'ranlib', '[', 'O3', 'O2', 0.9913793103448276, 1.0236544609069824]
['BO', 12, 'CO', 142, 'libgeany.so.0.0.0', 'sha1sum', 'O0', 'O1', 0.998934418289257, 5.617104530334473]
['CO', 350, 'BO', 42, 'sha1sum', 'cmp', 'O0', 'O1', 0.9243421052631579, 0.09388303756713867]
['UO', 45, 'CO', 170, 'strip', 'runcon', 'O3', 'O1', 0.9935100054083288, 0.9093565940856934]
['BO', 60, 'CO', 39, 'openssl', 'paste', 'O0', 'O3', 0.9985971943887776, 2.532376289367676]
['BO', 4, 'CO', 177, 'libgeany.so.0.0.0', 'hostid', 'O2', 'O1', 0.9990128331688055, 4.825757026672363]
['UO', 20, 'CO', 362, 'diff', 'dircolors', 'O1', 'O0', 0.981418918918919, 0.2380838394165039]
